folder1_image,folder2_image,similarity
1_001,2_001,0.6106915473937988
1_001,2_002,0.08089639246463776
1_001,2_003,-0.0335090234875679
1_001,2_004,-0.06322293728590012
1_001,2_005,0.037110913544893265
1_001,2_006,0.027253063395619392
1_001,2_007,0.05709703639149666
1_001,2_008,0.07630481570959091
1_001,2_009,0.029358364641666412
1_001,2_010,0.04877738654613495
1_001,2_011,0.09627892822027206
1_001,2_012,0.1738070845603943
1_001,2_013,0.08272535353899002
1_001,2_014,0.0890258252620697
1_001,2_015,0.05985850840806961
1_001,2_016,0.06874606013298035
1_001,2_017,-0.032513901591300964
1_001,2_018,-0.07619009166955948
1_001,2_019,0.0446423776447773
1_001,2_020,0.06822125613689423
1_001,2_021,-0.04757898300886154
1_001,2_022,0.07206106185913086
1_001,2_023,0.07422427088022232
1_001,2_024,0.18895572423934937
1_001,2_025,0.14292924106121063
1_002,2_001,0.10481791198253632
1_002,2_002,0.7170219421386719
1_002,2_003,0.04194609448313713
1_002,2_004,-0.006684664636850357
1_002,2_005,0.06692585349082947
1_002,2_006,0.05660289525985718
1_002,2_007,0.012937407940626144
1_002,2_008,0.024594461545348167
1_002,2_009,-0.0109484251588583
1_002,2_010,0.09476197510957718
1_002,2_011,0.0739939883351326
1_002,2_012,0.07918156683444977
1_002,2_013,0.1264546513557434
1_002,2_014,-0.011916818097233772
1_002,2_015,0.00032427161931991577
1_002,2_016,-0.022336198017001152
1_002,2_017,0.051165882498025894
1_002,2_018,0.04297177493572235
1_002,2_019,0.1160489171743393
1_002,2_020,0.038136985152959824
1_002,2_021,0.030769169330596924
1_002,2_022,0.08312621712684631
1_002,2_023,-0.008551102131605148
1_002,2_024,-0.061217065900564194
1_002,2_025,0.07829965651035309
1_003,2_001,-0.003894716501235962
1_003,2_002,0.06539523601531982
1_003,2_003,0.6734441518783569
1_003,2_004,-0.03405589982867241
1_003,2_005,0.039357904344797134
1_003,2_006,-0.022283460944890976
1_003,2_007,-0.05033577233552933
1_003,2_008,-0.021120967343449593
1_003,2_009,-0.07430855929851532
1_003,2_010,0.08890184015035629
1_003,2_011,0.05848768353462219
1_003,2_012,0.015569068491458893
1_003,2_013,-0.048683591187000275
