folder1_image,folder2_image,similarity
1_001,2_001,0.7910407781600952
1_001,2_002,0.534102737903595
1_001,2_003,0.5520486235618591
1_001,2_004,0.44516000151634216
1_001,2_005,0.6630303263664246
1_001,2_006,0.5622161030769348
1_001,2_007,0.3543424606323242
1_001,2_008,0.5052695274353027
1_001,2_009,0.49354609847068787
1_001,2_010,0.5490633249282837
1_001,2_011,0.5676013231277466
1_001,2_012,0.6152585744857788
1_001,2_013,0.14162854850292206
1_001,2_014,0.38076451420783997
1_001,2_015,0.14700862765312195
1_001,2_016,0.6949185729026794
1_001,2_017,0.2128964513540268
1_001,2_018,0.24146971106529236
1_001,2_019,0.27592772245407104
1_001,2_020,0.5729625225067139
1_001,2_021,0.47948789596557617
1_001,2_022,0.6795331239700317
1_001,2_023,0.5064170360565186
1_001,2_024,0.6114909052848816
1_001,2_025,0.4646063446998596
1_002,2_001,0.5181419253349304
1_002,2_002,0.8191792964935303
1_002,2_003,0.5824004411697388
1_002,2_004,0.5805594325065613
1_002,2_005,0.6789034008979797
1_002,2_006,0.6128101944923401
1_002,2_007,0.5342401266098022
1_002,2_008,0.6327155828475952
1_002,2_009,0.5741600394248962
1_002,2_010,0.6715872287750244
1_002,2_011,0.2369251698255539
1_002,2_012,0.4641067385673523
1_002,2_013,0.20101945102214813
1_002,2_014,0.22036263346672058
1_002,2_015,0.24182213842868805
1_002,2_016,0.4592728316783905
1_002,2_017,0.3010798394680023
1_002,2_018,0.24814268946647644
1_002,2_019,0.20681403577327728
1_002,2_020,0.29190632700920105
1_002,2_021,0.3468271791934967
1_002,2_022,0.4530191123485565
1_002,2_023,0.24805563688278198
1_002,2_024,0.5120030641555786
1_002,2_025,0.4775473475456238
1_003,2_001,0.7580170631408691
1_003,2_002,0.5837650895118713
1_003,2_003,0.7551369667053223
1_003,2_004,0.6352120637893677
1_003,2_005,0.618925154209137
1_003,2_006,0.6118419766426086
1_003,2_007,0.36066240072250366
1_003,2_008,0.5980215072631836
1_003,2_009,0.6462985277175903
1_003,2_010,0.7034903764724731
1_003,2_011,0.5692178606987
1_003,2_012,0.4894334375858307
1_003,2_013,0.3051825761795044
1_003,2_014,0.3921842575073242
1_003,2_015,0.20665960013866425
1_003,2_016,0.7942685484886169
1_003,2_017,0.4044032096862793
1_003,2_018,0.3649391233921051
1_003,2_019,0.36624833941459656
1_003,2_020,0.5754868984222412
1_003,2_021,0.3745896816253662
1_003,2_022,0.5884871482849121
1_003,2_023,0.34053099155426025
