folder1_image,folder2_image,similarity
1_001,2_002,0.534102737903595
1_001,2_003,0.5520486235618591
1_001,2_004,0.4451600015163421
1_001,2_005,0.6630303263664246
1_001,2_006,0.5622161030769348
1_001,2_007,0.3543424606323242
1_001,2_008,0.5052695274353027
1_001,2_009,0.4935460984706878
1_001,2_010,0.5490633249282837
1_001,2_011,0.5676013231277466
1_001,2_012,0.6152585744857788
1_001,2_013,0.141628548502922
1_001,2_014,0.3807645142078399
1_001,2_015,0.1470086276531219
1_001,2_016,0.6949185729026794
1_001,2_017,0.2128964513540268
1_001,2_018,0.2414697110652923
1_001,2_019,0.275927722454071
1_001,2_020,0.5729625225067139
1_001,2_021,0.4794878959655761
1_001,2_022,0.6795331239700317
1_001,2_023,0.5064170360565186
1_001,2_024,0.6114909052848816
1_001,2_025,0.4646063446998596
1_002,2_001,0.5181419253349304
1_002,2_003,0.5824004411697388
1_002,2_004,0.5805594325065613
1_002,2_005,0.6789034008979797
1_002,2_006,0.6128101944923401
1_002,2_007,0.5342401266098022
1_002,2_008,0.6327155828475952
1_002,2_009,0.5741600394248962
1_002,2_010,0.6715872287750244
1_002,2_011,0.2369251698255539
1_002,2_012,0.4641067385673523
1_002,2_013,0.2010194510221481
1_002,2_014,0.2203626334667205
1_002,2_015,0.241822138428688
1_002,2_016,0.4592728316783905
1_002,2_017,0.3010798394680023
1_002,2_018,0.2481426894664764
1_002,2_019,0.2068140357732772
1_002,2_020,0.291906327009201
1_002,2_021,0.3468271791934967
1_002,2_022,0.4530191123485565
1_002,2_023,0.2480556368827819
1_002,2_024,0.5120030641555786
1_002,2_025,0.4775473475456238
1_003,2_001,0.7580170631408691
1_003,2_002,0.5837650895118713
1_003,2_004,0.6352120637893677
1_003,2_005,0.618925154209137
1_003,2_006,0.6118419766426086
1_003,2_007,0.3606624007225036
1_003,2_008,0.5980215072631836
1_003,2_009,0.6462985277175903
1_003,2_010,0.7034903764724731
1_003,2_011,0.5692178606987
1_003,2_012,0.4894334375858307
1_003,2_013,0.3051825761795044
1_003,2_014,0.3921842575073242
1_003,2_015,0.2066596001386642
1_003,2_016,0.7942685484886169
1_003,2_017,0.4044032096862793
1_003,2_018,0.3649391233921051
1_003,2_019,0.3662483394145965
1_003,2_020,0.5754868984222412
1_003,2_021,0.3745896816253662
1_003,2_022,0.5884871482849121
1_003,2_023,0.3405309915542602
1_003,2_024,0.4243261814117431
1_003,2_025,0.3653296828269958
1_004,2_001,0.5380035638809204
1_004,2_002,0.7566775679588318
1_004,2_003,0.648677408695221
1_004,2_005,0.6141553521156311
1_004,2_006,0.6638637185096741
1_004,2_007,0.5162241458892822
1_004,2_008,0.6859709024429321
1_004,2_009,0.6743786334991455
1_004,2_010,0.7502231001853943
1_004,2_011,0.306183248758316
1_004,2_012,0.3829472959041595
1_004,2_013,0.2398224622011184
1_004,2_014,0.3161230683326721
1_004,2_015,0.2872548699378967
1_004,2_016,0.5566377639770508
1_004,2_017,0.4182178974151611
1_004,2_018,0.4332559704780578
1_004,2_019,0.3545420169830322
1_004,2_020,0.3535302579402923
1_004,2_021,0.2520182728767395
1_004,2_022,0.3788784146308899
1_004,2_023,0.1390313953161239
1_004,2_024,0.3728007972240448
1_004,2_025,0.4272712469100952
1_005,2_001,0.6305518746376038
1_005,2_002,0.6536604166030884
1_005,2_003,0.4747249484062195
1_005,2_004,0.7333910465240479
1_005,2_006,0.6803749799728394
1_005,2_007,0.6946224570274353
1_005,2_008,0.712782084941864
1_005,2_009,0.7498941421508789
1_005,2_010,0.6312916874885559
1_005,2_011,0.2811803519725799
1_005,2_012,0.5574253797531128
1_005,2_013,0.2650681734085083
1_005,2_014,0.1554578691720962
1_005,2_015,0.3601827919483185
1_005,2_016,0.4498830735683441
1_005,2_017,0.5117033123970032
1_005,2_018,0.4891506433486938
1_005,2_019,0.4777081906795501
1_005,2_020,0.2855252027511596
1_005,2_021,0.2783346772193908
1_005,2_022,0.47477787733078
1_005,2_023,0.2926847338676452
1_005,2_024,0.4852500259876251
1_005,2_025,0.5683512091636658
1_006,2_001,0.6117233633995056
1_006,2_002,0.7566984295845032
1_006,2_003,0.737328827381134
1_006,2_004,0.8375561237335205
1_006,2_005,0.5521605014801025
1_006,2_007,0.7302659749984741
1_006,2_008,0.6495360732078552
1_006,2_009,0.7720447778701782
1_006,2_010,0.7087862491607666
1_006,2_011,0.3229676187038421
1_006,2_012,0.4884890913963318
1_006,2_013,0.446066677570343
1_006,2_014,0.2659817636013031
1_006,2_015,0.3121846318244934
1_006,2_016,0.5654209852218628
1_006,2_017,0.5946489572525024
1_006,2_018,0.4436889588832855
1_006,2_019,0.5157203674316406
1_006,2_020,0.3464506268501282
1_006,2_021,0.3367979824542999
1_006,2_022,0.469185471534729
1_006,2_023,0.2103025168180465
1_006,2_024,0.4923553764820099
1_006,2_025,0.496928334236145
1_007,2_001,0.7638323903083801
1_007,2_002,0.6927606463432312
1_007,2_003,0.7821061015129089
1_007,2_004,0.6892524361610413
1_007,2_005,0.604853630065918
1_007,2_006,0.7792063355445862
1_007,2_008,0.5542795658111572
1_007,2_009,0.6854921579360962
1_007,2_010,0.6794929504394531
1_007,2_011,0.3962231874465942
1_007,2_012,0.531928539276123
1_007,2_013,0.3677253127098083
1_007,2_014,0.369506299495697
1_007,2_015,0.2547116875648498
1_007,2_016,0.7327935695648193
1_007,2_017,0.443981409072876
1_007,2_018,0.3156214654445648
1_007,2_019,0.3293782472610473
1_007,2_020,0.5302553772926331
1_007,2_021,0.4888865053653717
1_007,2_022,0.6479226350784302
1_007,2_023,0.3773352801799774
1_007,2_024,0.6810068488121033
1_007,2_025,0.4124095439910888
1_008,2_001,0.5694276094436646
1_008,2_002,0.7264201641082764
1_008,2_003,0.6937492489814758
1_008,2_004,0.550102949142456
1_008,2_005,0.5280860066413879
1_008,2_006,0.5888346433639526
1_008,2_007,0.3915310502052307
1_008,2_009,0.545332670211792
1_008,2_010,0.6765400171279907
1_008,2_011,0.4066713154315948
1_008,2_012,0.3695883452892303
1_008,2_013,0.2371164560317993
1_008,2_014,0.3604674041271209
1_008,2_015,0.1531595140695572
1_008,2_016,0.6568624973297119
1_008,2_017,0.326399564743042
1_008,2_018,0.3280318975448608
1_008,2_019,0.2980838119983673
1_008,2_020,0.4430853128433227
1_008,2_021,0.3136205077171325
1_008,2_022,0.4319954216480255
1_008,2_023,0.1977957636117935
1_008,2_024,0.3877790570259094
1_008,2_025,0.3633134961128235
1_009,2_001,0.6431915163993835
1_009,2_002,0.7957237362861633
