folder1_image,folder2_image,similarity
1_001,2_002,0.5889384
1_001,2_003,0.4467698
1_001,2_004,0.5391608
1_001,2_005,0.53801095
1_001,2_006,0.5433879
1_001,2_007,0.3768365
1_001,2_008,0.411199
1_001,2_009,0.49554646
1_001,2_010,0.5536567
1_001,2_011,0.52881444
1_001,2_012,0.48348427
1_001,2_013,0.46528405
1_001,2_014,0.4988523
1_001,2_015,0.40787372
1_001,2_016,0.59687364
1_001,2_017,0.43678176
1_001,2_018,0.42446893
1_001,2_019,0.46097642
1_001,2_020,0.6428701
1_001,2_021,0.48596618
1_001,2_022,0.5560909
1_001,2_023,0.43912682
1_001,2_024,0.55155087
1_001,2_025,0.4780048
1_002,2_001,0.5627306
1_002,2_003,0.5412251
1_002,2_004,0.68889576
1_002,2_005,0.6347707
1_002,2_006,0.6382457
1_002,2_007,0.5063031
1_002,2_008,0.4368645
1_002,2_009,0.58013225
1_002,2_010,0.6042021
1_002,2_011,0.5579177
1_002,2_012,0.5533978
1_002,2_013,0.53322697
1_002,2_014,0.54774946
1_002,2_015,0.48973638
1_002,2_016,0.553816
1_002,2_017,0.5452999
1_002,2_018,0.44818494
1_002,2_019,0.44110623
1_002,2_020,0.61204606
1_002,2_021,0.5626247
1_002,2_022,0.6157118
1_002,2_023,0.49495465
1_002,2_024,0.6287365
1_002,2_025,0.59508276
1_003,2_001,0.56750834
1_003,2_002,0.6068381
1_003,2_004,0.6349858
1_003,2_005,0.47616866
1_003,2_006,0.56990904
1_003,2_007,0.50575036
1_003,2_008,0.5422985
1_003,2_009,0.5492922
1_003,2_010,0.5940455
1_003,2_011,0.5476924
1_003,2_012,0.46211433
1_003,2_013,0.561872
1_003,2_014,0.50501144
1_003,2_015,0.48433083
1_003,2_016,0.4649778
1_003,2_017,0.5420191
1_003,2_018,0.54290825
1_003,2_019,0.48518205
1_003,2_020,0.6529591
1_003,2_021,0.4640663
1_003,2_022,0.5777075
1_003,2_023,0.47155678
1_003,2_024,0.5497666
1_003,2_025,0.5103651
1_004,2_001,0.5815055
1_004,2_002,0.56453836
1_004,2_003,0.5263311
1_004,2_005,0.54063195
1_004,2_006,0.5928501
1_004,2_007,0.57930154
1_004,2_008,0.49158657
1_004,2_009,0.59037805
1_004,2_010,0.57783276
1_004,2_011,0.50493336
1_004,2_012,0.517111
1_004,2_013,0.5720135
1_004,2_014,0.63074327
1_004,2_015,0.5001213
1_004,2_016,0.5546709
1_004,2_017,0.6423274
1_004,2_018,0.470059
1_004,2_019,0.4989684
1_004,2_020,0.64577997
1_004,2_021,0.4834917
1_004,2_022,0.5683737
1_004,2_023,0.45163912
1_004,2_024,0.5313919
1_004,2_025,0.53001964
1_005,2_001,0.49611643
1_005,2_002,0.52567214
1_005,2_003,0.6381509
1_005,2_004,0.5825368
1_005,2_006,0.48511872
1_005,2_007,0.8140569
1_005,2_008,0.75535965
1_005,2_009,0.62182313
1_005,2_010,0.45632547
1_005,2_011,0.4861607
1_005,2_012,0.4855861
1_005,2_013,0.4561032
1_005,2_014,0.424969
1_005,2_015,0.59534466
1_005,2_016,0.55724
1_005,2_017,0.54886585
1_005,2_018,0.43328267
1_005,2_019,0.54391295
1_005,2_020,0.50231415
1_005,2_021,0.5544033
1_005,2_022,0.50186855
1_005,2_023,0.5183625
1_005,2_024,0.39123833
1_005,2_025,0.47033125
1_006,2_001,0.5700651
1_006,2_002,0.62256265
1_006,2_003,0.5546116
1_006,2_004,0.64305735
1_006,2_005,0.59246206
1_006,2_007,0.53866917
1_006,2_008,0.5042075
1_006,2_009,0.6118712
1_006,2_010,0.58803284
1_006,2_011,0.5951921
1_006,2_012,0.5431828
1_006,2_013,0.566687
1_006,2_014,0.5301802
1_006,2_015,0.53492707
1_006,2_016,0.47235295
1_006,2_017,0.55345464
1_006,2_018,0.45378977
1_006,2_019,0.51881087
1_006,2_020,0.5648538
1_006,2_021,0.51232755
1_006,2_022,0.60670567
1_006,2_023,0.43932638
1_006,2_024,0.51599723
1_006,2_025,0.54866564
1_007,2_001,0.5015403
1_007,2_002,0.6650956
1_007,2_003,0.54547095
1_007,2_004,0.5646609
1_007,2_005,0.52966523
1_007,2_006,0.6073935
1_007,2_008,0.44924608
1_007,2_009,0.4926783
1_007,2_010,0.65071976
1_007,2_011,0.5117004
1_007,2_012,0.49928564
1_007,2_013,0.5028807
1_007,2_014,0.47721136
1_007,2_015,0.4147086
1_007,2_016,0.5322978
1_007,2_017,0.46933153
1_007,2_018,0.45846382
1_007,2_019,0.39514178
1_007,2_020,0.6712942
1_007,2_021,0.5058749
1_007,2_022,0.5882079
1_007,2_023,0.43368798
1_007,2_024,0.56232363
1_007,2_025,0.5139117
1_008,2_001,0.5247897
1_008,2_002,0.65148264
1_008,2_003,0.5073467
1_008,2_004,0.60663146
1_008,2_005,0.5064469
1_008,2_006,0.57188773
1_008,2_007,0.48064074
1_008,2_009,0.51805633
1_008,2_010,0.6451989
1_008,2_011,0.49594188
1_008,2_012,0.4798976
1_008,2_013,0.52497756
1_008,2_014,0.51139367
