folder1_image,folder2_image,similarity
1_001,2_001,0.6106915473937988
1_002,2_002,0.7170219421386719
1_003,2_003,0.6734441518783569
1_004,2_004,0.7016610503196716
1_005,2_005,0.6389137506484985
1_006,2_006,0.7438526153564453
1_007,2_007,0.4849086403846741
1_008,2_008,0.6582779884338379
1_009,2_009,0.6534416675567627
1_010,2_010,0.7852170467376709
1_011,2_011,0.713716983795166
1_012,2_012,0.7028281688690186
1_013,2_013,0.8146737217903137
1_014,2_014,0.6188387870788574
1_015,2_015,0.6045764684677124
1_016,2_016,0.6682478785514832
1_017,2_017,0.7004401683807373
1_018,2_018,0.7057721614837646
1_019,2_019,0.6598252654075623
1_020,2_020,0.7329692244529724
1_021,2_021,0.4833685457706451
1_022,2_022,0.4481486082077026
1_023,2_023,0.7027261257171631
1_024,2_024,0.4491943120956421
1_025,2_025,0.51300448179245
