folder1_image,folder2_image,similarity
1_001,2_001,0.9180498123168944
1_002,2_002,0.8862372636795044
1_003,2_003,0.8995011448860168
1_004,2_004,0.8428221940994263
1_005,2_005,0.7846066951751709
1_006,2_006,0.9100188612937928
1_007,2_007,0.8552898168563843
1_008,2_008,0.8746507167816162
1_009,2_009,0.8694124221801758
1_010,2_010,0.9498436450958252
1_011,2_011,0.8869544863700867
1_012,2_012,0.8842436671257019
1_013,2_013,0.912979245185852
1_014,2_014,0.8988758325576782
1_015,2_015,0.8928396105766296
1_016,2_016,0.8801419734954834
1_017,2_017,0.8664546012878418
1_018,2_018,0.8716239929199219
1_019,2_019,0.9078537821769714
1_020,2_020,0.904159426689148
1_021,2_021,0.929556369781494
1_022,2_022,0.8174182176589966
1_023,2_023,0.78528892993927
1_024,2_024,0.9234519004821776
1_025,2_025,0.8616493344306946
