folder1_image,folder2_image,similarity
1_001,2_001,0.5563456
1_002,2_002,0.6588498
1_003,2_003,0.5422537
1_004,2_004,0.7191465
1_005,2_005,0.47372946
1_006,2_006,0.63888764
1_007,2_007,0.48101607
1_008,2_008,0.47862345
1_009,2_009,0.5641785
1_010,2_010,0.56904817
1_011,2_011,0.6443795
1_012,2_012,0.6302988
1_013,2_013,0.56805927
1_014,2_014,0.5898286
1_015,2_015,0.55452466
1_016,2_016,0.78773975
1_017,2_017,0.64326096
1_018,2_018,0.58557045
1_019,2_019,0.5687887
1_020,2_020,0.59270966
1_021,2_021,0.5853618
1_022,2_022,0.54922533
1_023,2_023,0.41641104
1_024,2_024,0.5944314
1_025,2_025,0.65820074
