folder1_image,folder2_image,similarity
1_001,2_002,0.5089000997062477
1_001,2_003,0.19875684055650067
1_001,2_004,0.400309404597395
1_001,2_005,0.39780098694023763
1_001,2_006,0.4095308963385524
1_001,2_007,0.04619613738366924
1_001,2_008,0.1211585252986742
1_001,2_009,0.30516396774801213
1_001,2_010,0.43193246109727484
1_001,2_011,0.3777386413575757
1_001,2_012,0.27885009169462555
1_001,2_013,0.23914599706302328
1_001,2_014,0.3123757148695819
1_001,2_015,0.11390436948096574
1_001,2_016,0.5262109629751794
1_001,2_017,0.176967758592424
1_001,2_018,0.15010710704519922
1_001,2_019,0.22974882773441466
1_001,2_020,0.6265530357940086
1_001,2_021,0.2842644212745494
1_001,2_022,0.43724271048724095
1_001,2_023,0.1820835475310623
1_001,2_024,0.42733855654018343
1_001,2_025,0.2668965331436286
1_002,2_001,0.4517273308448765
1_002,2_003,0.4048127107413876
1_002,2_004,0.7269588089177372
1_002,2_005,0.6088840546465719
1_002,2_006,0.616464827233102
1_002,2_007,0.3286297639020189
1_002,2_008,0.17714825733308853
1_002,2_009,0.48968933121333486
1_002,2_010,0.5421981251822248
1_002,2_011,0.44122790627459996
1_002,2_012,0.43136766627061235
1_002,2_013,0.38736465185001934
1_002,2_014,0.4190457148946693
1_002,2_015,0.2924891777654086
1_002,2_016,0.43227997680174507
1_002,2_017,0.4137019573991121
1_002,2_018,0.20184399293581065
1_002,2_019,0.18640166467221445
1_002,2_020,0.559309859552826
1_002,2_021,0.4514963081637503
1_002,2_022,0.5673067347474584
1_002,2_023,0.3038729239999734
1_002,2_024,0.5957203430086898
1_002,2_025,0.5223041272889162
1_003,2_001,0.4621500532671983
1_003,2_002,0.5479486047615325
1_003,2_004,0.609353299015885
1_003,2_005,0.26289096198477063
1_003,2_006,0.4673872218279129
1_003,2_007,0.32742395203454294
1_003,2_008,0.40715435140164125
1_003,2_009,0.4224112288803221
1_003,2_010,0.5200413266635624
1_003,2_011,0.4189212375180397
1_003,2_012,0.23223119807511644
1_003,2_013,0.44985428009874867
1_003,2_014,0.32581198527781235
1_003,2_015,0.2806968769725688
1_003,2_016,0.2384779073926276
1_003,2_017,0.40654483547051123
1_003,2_018,0.40848453156988196
1_003,2_019,0.28255382812108853
1_003,2_020,0.6485623637437935
1_003,2_021,0.23648945438180105
1_003,2_022,0.4843996971617697
1_003,2_023,0.2528300660203486
1_003,2_024,0.4234461406832141
1_003,2_025,0.33749108713841763
1_004,2_001,0.4926850998333212
1_004,2_002,0.4556709905430135
1_004,2_003,0.37232119220792576
1_004,2_005,0.40351874376017877
1_004,2_006,0.5174335408937961
1_004,2_007,0.4878771229844553
1_004,2_008,0.29652539924220633
1_004,2_009,0.5120407210743624
1_004,2_010,0.4846729540176512
1_004,2_011,0.32564165240772425
1_004,2_012,0.35220738463236684
1_004,2_013,0.4719781377063155
1_004,2_014,0.600098146462926
1_004,2_015,0.31514406031197223
1_004,2_016,0.434144955933896
1_004,2_017,0.6253691263601351
1_004,2_018,0.24956263305210302
1_004,2_019,0.31262898902707703
1_004,2_020,0.6329009675138262
1_004,2_021,0.27886630036809834
1_004,2_022,0.46403785107021417
1_004,2_023,0.20937934633234043
1_004,2_024,0.3833614149146629
1_004,2_025,0.3803678059967947
1_005,2_001,0.3064073671584134
1_005,2_002,0.3708836595737903
1_005,2_003,0.6162580193939068
1_005,2_004,0.49493489861561996
1_005,2_006,0.282415672631044
1_005,2_007,1.0
1_005,2_008,0.8719509341856959
1_005,2_009,0.580638706814002
1_005,2_010,0.21960269988942982
1_005,2_011,0.2846887700180117
1_005,2_012,0.28343527018255266
1_005,2_013,0.21911781404113967
1_005,2_014,0.15119801839695343
1_005,2_015,0.522875466667452
1_005,2_016,0.4397494920064297
1_005,2_017,0.4214811389832668
1_005,2_018,0.16933443325435144
1_005,2_019,0.41067630199223787
1_005,2_020,0.3199278005037342
1_005,2_021,0.4335611819068011
1_005,2_022,0.31895571639882536
1_005,2_023,0.35493755352216316
1_005,2_024,0.07761397855197648
1_005,2_025,0.2501565511346016
1_006,2_001,0.4677276694163601
1_006,2_002,0.5822519824811072
1_006,2_003,0.43401559195853456
1_006,2_004,0.6269615249067646
1_006,2_005,0.5165870249241623
1_006,2_007,0.39923690525157757
1_006,2_008,0.3240581762668153
1_006,2_009,0.5589283994393064
1_006,2_010,0.5069246049081303
1_006,2_011,0.5225426543895236
