folder1_image,folder2_image,similarity
1_001,2_001,0.44347012841034333
1_002,2_002,0.7335741098416382
1_003,2_003,0.6146796912999932
1_004,2_004,0.6916645891846367
1_005,2_005,0.5204694995553132
1_006,2_006,0.8067769333958449
1_007,2_007,0.10029335184609701
1_008,2_008,0.573301453131599
1_009,2_009,0.5601063930992797
1_010,2_010,0.9196325873424671
1_011,2_011,0.7245571060374474
1_012,2_012,0.6948488690773265
1_013,2_013,1.0
1_014,2_014,0.46569845433710766
1_015,2_015,0.4267861995348718
1_016,2_016,0.6005025636372182
1_017,2_017,0.6883336252378535
1_018,2_018,0.7028810406957183
1_019,2_019,0.5775229291407064
1_020,2_020,0.7770834949378552
1_021,2_021,0.09609147165574584
1_022,2_022,0.0
1_023,2_023,0.6945704620921732
1_024,2_024,0.0028530211142102743
1_025,2_025,0.17694796667767623
