,celeb,reference_image_id,avg_similarity
0,IshiharaSatomi,3,0.5743128810204081
1,IshiharaSatomi,4,0.4877246130612245
2,IshiharaSatomi,9,0.5881088204081633
3,IshiharaSatomi,10,0.48642367755102045
4,IshiharaSatomi,11,0.5601183134693878
5,IshiharaSatomi,12,0.583999823877551
6,IshiharaSatomi,14,0.5661226612244897
7,IshiharaSatomi,15,0.5569257336734694
8,IshiharaSatomi,17,0.5094195708163266
9,IshiharaSatomi,19,0.5275870173469387
10,IshiharaSatomi,20,0.5183554397959184
11,IshiharaSatomi,21,0.541024280612245
12,IshiharaSatomi,22,0.5186944375510203
13,IshiharaSatomi,23,0.56559702
14,IshiharaSatomi,25,0.5556539928571429
15,IshiharaSatomi,26,0.5380025681632653
16,IshiharaSatomi,29,0.5907158526530613
17,IshiharaSatomi,31,0.554678046122449
18,IshiharaSatomi,33,0.5680422610204081
19,IshiharaSatomi,35,0.5673597126530612
20,IshiharaSatomi,39,0.5445349659183674
21,IshiharaSatomi,42,0.5769552908163265
22,IshiharaSatomi,45,0.5696635132653061
23,IshiharaSatomi,47,0.5483372236734694
24,IshiharaSatomi,48,0.5302477148979592
25,IshiharaSatomi,49,0.5622425557142857
26,IshiharaSatomi,51,0.5381372263265306
27,IshiharaSatomi,52,0.5174699373469388
28,IshiharaSatomi,54,0.5656557940816327
29,IshiharaSatomi,59,0.5370311804081632
30,IshiharaSatomi,60,0.5404669887755101
31,IshiharaSatomi,61,0.5770151036734694
32,IshiharaSatomi,63,0.537326526122449
33,IshiharaSatomi,65,0.5980129330612245
34,IshiharaSatomi,66,0.5139104553061224
35,IshiharaSatomi,69,0.5641034957142858
36,IshiharaSatomi,70,0.5965211767346938
37,IshiharaSatomi,71,0.5862290642857143
38,IshiharaSatomi,76,0.5707557963265306
39,IshiharaSatomi,79,0.5720793051020409
40,IshiharaSatomi,81,0.5465910202040817
41,IshiharaSatomi,82,0.5628677893877551
42,IshiharaSatomi,83,0.5673446789795918
43,IshiharaSatomi,84,0.5387637059183674
44,IshiharaSatomi,86,0.5449718030612245
45,IshiharaSatomi,89,0.5683101457142857
46,IshiharaSatomi,95,0.4850861159183673
47,IshiharaSatomi,97,0.5629313555102041
48,IshiharaSatomi,100,0.5630183771428572
49,IshiharaSatomi,101,0.4796839040816327
