celeb,image_id
BrunoMars,000001
BrunoMars,000002
BrunoMars,000005
BrunoMars,000006
BrunoMars,000008
BrunoMars,000024
BrunoMars,000025
BrunoMars,000030
BrunoMars,000031
BrunoMars,000033
BrunoMars,000034
BrunoMars,000038
BrunoMars,000044
BrunoMars,000048
BrunoMars,000049
BrunoMars,000051
BrunoMars,000054
BrunoMars,000057
BrunoMars,000059
BrunoMars,000063
BrunoMars,000064
BrunoMars,000071
BrunoMars,000083
BrunoMars,000085
BrunoMars,000094
BrunoMars,000096
BrunoMars,000098
BrunoMars,000116
BrunoMars,000151
BrunoMars,159
BrunoMars,161
BrunoMars,162
BrunoMars,166
BrunoMars,168
BrunoMars,170
BrunoMars,171
BrunoMars,172
BrunoMars,174
BrunoMars,175
BrunoMars,179
BrunoMars,181
BrunoMars,182
BrunoMars,185
BrunoMars,189
BrunoMars,190
BrunoMars,191
BrunoMars,193
BrunoMars,194
BrunoMars,197
BrunoMars,198
