celeb,image_id
Dicaprio,000001
Dicaprio,000002
Dicaprio,000003
Dicaprio,000005
Dicaprio,000006
Dicaprio,000007
Dicaprio,000008
Dicaprio,000009
Dicaprio,000010
Dicaprio,000012
Dicaprio,000013
Dicaprio,000015
Dicaprio,000016
Dicaprio,000018
Dicaprio,000019
Dicaprio,000020
Dicaprio,000021
Dicaprio,000022
Dicaprio,000024
Dicaprio,000026
Dicaprio,000027
Dicaprio,000029
Dicaprio,000033
Dicaprio,000038
Dicaprio,000039
Dicaprio,000040
Dicaprio,000043
Dicaprio,000045
Dicaprio,000049
Dicaprio,000050
Dicaprio,000053
Dicaprio,000068
Dicaprio,000069
Dicaprio,000070
Dicaprio,000071
Dicaprio,000074
Dicaprio,000075
Dicaprio,000078
Dicaprio,000081
Dicaprio,000082
Dicaprio,000084
Dicaprio,000085
Dicaprio,000086
Dicaprio,000089
Dicaprio,000091
Dicaprio,000096
Dicaprio,000097
Dicaprio,000100
Dicaprio,000101
Dicaprio,000106
