celeb,image_id
EunwooCha,000001_0
EunwooCha,000003_0
EunwooCha,000005_0
EunwooCha,000007_0
EunwooCha,000008_0
EunwooCha,000009_0
EunwooCha,000010_0
EunwooCha,000011_0
EunwooCha,000012_0
EunwooCha,000013_0
EunwooCha,000014_0
EunwooCha,000015_0
EunwooCha,000016_0
EunwooCha,000017_0
EunwooCha,000018_0
EunwooCha,000020_0
EunwooCha,000021_0
EunwooCha,000022_0
EunwooCha,000023_0
EunwooCha,000024_0
EunwooCha,000025_0
EunwooCha,000026_0
EunwooCha,000027_0
EunwooCha,000028_0
EunwooCha,000029_0
EunwooCha,000030_0
EunwooCha,000032_0
EunwooCha,000037_0
EunwooCha,000042_0
EunwooCha,000043_0
EunwooCha,000044_0
EunwooCha,000050_0
EunwooCha,000052_0
EunwooCha,000053_0
EunwooCha,000055_0
EunwooCha,000057_0
EunwooCha,000058_0
EunwooCha,000060_0
EunwooCha,000065_0
EunwooCha,000066_0
EunwooCha,000067_0
EunwooCha,000069_0
EunwooCha,000072_0
EunwooCha,000073_0
EunwooCha,000077_1
EunwooCha,000079_0
EunwooCha,000081_0
EunwooCha,000086_0
EunwooCha,000094_0
EunwooCha,000101_0
