celeb,image_id
FanBingbing,000001
FanBingbing,000003
FanBingbing,000004
FanBingbing,000007
FanBingbing,000008
FanBingbing,000009
FanBingbing,000012
FanBingbing,000013
FanBingbing,000019
FanBingbing,000020
FanBingbing,000025
FanBingbing,000026
FanBingbing,000027
FanBingbing,000031
FanBingbing,000034
FanBingbing,000035
FanBingbing,000036
FanBingbing,000037
FanBingbing,000041
FanBingbing,000042
FanBingbing,000044
FanBingbing,000046
FanBingbing,000047
FanBingbing,000049
FanBingbing,000050
FanBingbing,000053
FanBingbing,000056
FanBingbing,000058
FanBingbing,000059
FanBingbing,000070
FanBingbing,000071
FanBingbing,000072
FanBingbing,000078
FanBingbing,000082
FanBingbing,000085
FanBingbing,000086
FanBingbing,000088
FanBingbing,000090
FanBingbing,000094
FanBingbing,000095
FanBingbing,000112
FanBingbing,000118
FanBingbing,000120
FanBingbing,000121
FanBingbing,000122
FanBingbing,123
FanBingbing,124
FanBingbing,125
FanBingbing,127
FanBingbing,128
