celeb,image_id
JKRowling,000005
JKRowling,000008
JKRowling,000009
JKRowling,000010
JKRowling,000012
JKRowling,000014
JKRowling,000015
JKRowling,000017
JKRowling,000018
JKRowling,000021
JKRowling,000022
JKRowling,000027
JKRowling,000029
JKRowling,000030
JKRowling,000031
JKRowling,000032
JKRowling,000035
JKRowling,000036
JKRowling,000038
JKRowling,000041
JKRowling,000044
JKRowling,000045
JKRowling,000047
JKRowling,000049
JKRowling,000051
JKRowling,000053
JKRowling,000055
JKRowling,000057
JKRowling,000060
JKRowling,000063
JKRowling,000065
JKRowling,000068
JKRowling,000071
JKRowling,000075
JKRowling,000076
JKRowling,000078
JKRowling,000079
JKRowling,000082
JKRowling,000085
JKRowling,000087
JKRowling,000090
JKRowling,000092
JKRowling,000094
JKRowling,000096
JKRowling,000097
JKRowling,000101
JKRowling,000102
JKRowling,106
JKRowling,110
JKRowling,111
