celeb,image_id
Obama,000001
Obama,000003
Obama,000005
Obama,000006
Obama,000011
Obama,000012
Obama,000013
Obama,000014
Obama,000016
Obama,000017
Obama,000024
Obama,000029
Obama,000030
Obama,000031
Obama,000033
Obama,000037
Obama,000041
Obama,000043
Obama,000044
Obama,000046
Obama,000049
Obama,000052
Obama,000053
Obama,000054
Obama,000059
Obama,000060
Obama,000067
Obama,000069
Obama,000070
Obama,000073
Obama,000074
Obama,000075
Obama,000079
Obama,000082
Obama,000083
Obama,000084
Obama,000087
Obama,000088
Obama,000089
Obama,000093
Obama,000094
Obama,000095
Obama,000096
Obama,000097
Obama,000098
Obama,000099
Obama,000100
Obama,000101
Obama,000102
Obama,000105
