celeb,image_id
TaylorSwift,000001
TaylorSwift,000003
TaylorSwift,000005
TaylorSwift,000006
TaylorSwift,000008
TaylorSwift,000009
TaylorSwift,000010
TaylorSwift,000012
TaylorSwift,000013
TaylorSwift,000014
TaylorSwift,000019
TaylorSwift,000020
TaylorSwift,000021
TaylorSwift,000031
TaylorSwift,000032
TaylorSwift,000035
TaylorSwift,000036
TaylorSwift,000037
TaylorSwift,000038
TaylorSwift,000039
TaylorSwift,000046
TaylorSwift,000047
TaylorSwift,000048
TaylorSwift,000052
TaylorSwift,000054
TaylorSwift,000056
TaylorSwift,000057
TaylorSwift,000058
TaylorSwift,000062
TaylorSwift,000064
TaylorSwift,000066
TaylorSwift,000069
TaylorSwift,000070
TaylorSwift,000080
TaylorSwift,000091
TaylorSwift,000096
TaylorSwift,000097
TaylorSwift,000098
TaylorSwift,000101
TaylorSwift,000103
TaylorSwift,108
TaylorSwift,109
TaylorSwift,111
TaylorSwift,113
TaylorSwift,114
TaylorSwift,115
TaylorSwift,116
TaylorSwift,117
TaylorSwift,118
TaylorSwift,200
