celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
BrunoMars,000001,000002,0.5788586,11
BrunoMars,000001,000005,0.6162507,7
BrunoMars,000001,000006,0.5634048,6
BrunoMars,000001,000008,0.5929073,9
BrunoMars,000001,000024,0.6271893,10
BrunoMars,000001,000025,0.49970135,9
BrunoMars,000001,000030,0.67468935,8
BrunoMars,000001,000031,0.5773833,8
BrunoMars,000001,000033,0.5764199,10
BrunoMars,000001,000034,0.37355185,8
BrunoMars,000001,000038,0.6130073,8
BrunoMars,000001,000044,0.56179863,10
BrunoMars,000001,000048,0.53186697,11
BrunoMars,000001,000049,0.39392248,7
BrunoMars,000001,000051,0.6550805,9
BrunoMars,000001,000054,0.5052646,9
BrunoMars,000001,000057,0.64950156,8
BrunoMars,000001,000059,0.5657748,6
BrunoMars,000001,000063,0.4864943,10
BrunoMars,000001,000064,0.39462706,6
BrunoMars,000001,000071,0.4849609,8
BrunoMars,000001,000083,0.569481,9
BrunoMars,000001,000085,0.5065128,7
BrunoMars,000001,000094,0.5896436,8
BrunoMars,000001,000096,0.43587813,10
BrunoMars,000001,000098,0.5233663,5
BrunoMars,000001,000116,0.42997035,9
BrunoMars,000001,000151,0.5718069,9
BrunoMars,000001,159,0.5180977,8
BrunoMars,000001,161,0.46869585,9
BrunoMars,000001,162,0.4751083,8
BrunoMars,000001,166,0.41666582,8
BrunoMars,000001,168,0.58068764,9
BrunoMars,000001,170,0.42613444,9
BrunoMars,000001,171,0.5393811,10
BrunoMars,000001,172,0.62958467,11
BrunoMars,000001,174,0.48859513,9
BrunoMars,000001,175,0.49163875,8
BrunoMars,000001,179,0.5039417,10
BrunoMars,000001,181,0.475432,10
BrunoMars,000001,182,0.613681,9
BrunoMars,000001,185,0.6097384,10
BrunoMars,000001,189,0.58921146,9
BrunoMars,000001,190,0.4816227,11
BrunoMars,000001,191,0.59798366,10
BrunoMars,000001,193,0.45088664,11
BrunoMars,000001,194,0.56392074,9
BrunoMars,000001,197,0.48184967,9
BrunoMars,000001,198,0.6166097,10
BrunoMars,000002,000005,0.5527452,7
BrunoMars,000002,000006,0.5455267,6
BrunoMars,000002,000008,0.5936812,9
BrunoMars,000002,000024,0.7340096,10
BrunoMars,000002,000025,0.69666487,9
BrunoMars,000002,000030,0.5838654,8
BrunoMars,000002,000031,0.5739474,8
BrunoMars,000002,000033,0.6152731,10
BrunoMars,000002,000034,0.41911674,8
BrunoMars,000002,000038,0.5091777,8
BrunoMars,000002,000044,0.65552574,10
BrunoMars,000002,000048,0.6660008,11
BrunoMars,000002,000049,0.4755016,7
BrunoMars,000002,000051,0.5595685,9
BrunoMars,000002,000054,0.62584823,9
BrunoMars,000002,000057,0.60471344,8
BrunoMars,000002,000059,0.58765197,6
BrunoMars,000002,000063,0.48521918,10
BrunoMars,000002,000064,0.44623157,6
BrunoMars,000002,000071,0.5094429,8
BrunoMars,000002,000083,0.5567479,9
BrunoMars,000002,000085,0.54722965,7
BrunoMars,000002,000094,0.51018,8
BrunoMars,000002,000096,0.52818435,10
