celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
Dicaprio,000001,000002,0.6757836,9
Dicaprio,000001,000003,0.56235266,10
Dicaprio,000001,000005,0.60578513,9
Dicaprio,000001,000006,0.6116886,8
Dicaprio,000001,000007,0.6309569,9
Dicaprio,000001,000008,0.5245072,10
Dicaprio,000001,000009,0.52649826,9
Dicaprio,000001,000010,0.5616133,9
Dicaprio,000001,000012,0.48966512,10
Dicaprio,000001,000013,0.52354145,10
Dicaprio,000001,000015,0.59347975,10
Dicaprio,000001,000016,0.561438,9
Dicaprio,000001,000018,0.59886783,10
Dicaprio,000001,000019,0.48559782,9
Dicaprio,000001,000020,0.45596334,9
Dicaprio,000001,000021,0.59426254,11
Dicaprio,000001,000022,0.5447616,8
Dicaprio,000001,000024,0.615427,10
Dicaprio,000001,000026,0.42989156,9
Dicaprio,000001,000027,0.5174361,10
Dicaprio,000001,000029,0.5010238,9
Dicaprio,000001,000033,0.51971626,8
Dicaprio,000001,000038,0.56422055,8
Dicaprio,000001,000039,0.43714264,6
Dicaprio,000001,000040,0.5240135,8
Dicaprio,000001,000043,0.5511906,10
Dicaprio,000001,000045,0.59041166,9
Dicaprio,000001,000049,0.57391924,9
Dicaprio,000001,000050,0.64029074,10
Dicaprio,000001,000053,0.48803312,10
Dicaprio,000001,000068,0.5063116,11
Dicaprio,000001,000069,0.6521599,9
Dicaprio,000001,000070,0.45490903,10
Dicaprio,000001,000071,0.48096767,7
Dicaprio,000001,000074,0.53995734,11
Dicaprio,000001,000075,0.5451729,11
Dicaprio,000001,000078,0.58434355,10
Dicaprio,000001,000081,0.5603434,10
Dicaprio,000001,000082,0.5560558,11
Dicaprio,000001,000084,0.6215164,9
Dicaprio,000001,000085,0.5658324,9
Dicaprio,000001,000086,0.5183731,7
Dicaprio,000001,000089,0.59089553,10
Dicaprio,000001,000091,0.5666301,8
Dicaprio,000001,000096,0.5480108,10
Dicaprio,000001,000097,0.52610815,9
Dicaprio,000001,000100,0.61988795,10
Dicaprio,000001,000101,0.5341495,10
Dicaprio,000001,000106,0.44353178,9
Dicaprio,000002,000003,0.5915485,9
Dicaprio,000002,000005,0.6892657,8
Dicaprio,000002,000006,0.7079871,8
Dicaprio,000002,000007,0.6653491,8
Dicaprio,000002,000008,0.5731951,9
Dicaprio,000002,000009,0.6844568,8
Dicaprio,000002,000010,0.5851226,8
Dicaprio,000002,000012,0.5104117,9
Dicaprio,000002,000013,0.6666717,9
Dicaprio,000002,000015,0.634845,9
Dicaprio,000002,000016,0.6358957,8
Dicaprio,000002,000018,0.5879222,9
Dicaprio,000002,000019,0.579851,8
Dicaprio,000002,000020,0.5285059,8
Dicaprio,000002,000021,0.5876626,9
Dicaprio,000002,000022,0.5866951,8
Dicaprio,000002,000024,0.6218041,9
Dicaprio,000002,000026,0.4042378,9
Dicaprio,000002,000027,0.5184135,9
Dicaprio,000002,000029,0.5038924,8
Dicaprio,000002,000033,0.4870708,8
Dicaprio,000002,000038,0.56769,8
Dicaprio,000002,000039,0.49567935,6
Dicaprio,000002,000040,0.5112165,8
Dicaprio,000002,000043,0.54727566,8
Dicaprio,000002,000045,0.60813797,9
Dicaprio,000002,000049,0.67365414,8
Dicaprio,000002,000050,0.64654744,9
Dicaprio,000002,000053,0.45884302,9
Dicaprio,000002,000068,0.5115866,9
Dicaprio,000002,000069,0.58303964,9
Dicaprio,000002,000070,0.53274184,9
Dicaprio,000002,000071,0.4760108,7
Dicaprio,000002,000074,0.56711745,9
Dicaprio,000002,000075,0.55266,9
Dicaprio,000002,000078,0.5732505,9
Dicaprio,000002,000081,0.59798145,9
Dicaprio,000002,000082,0.5855301,9
Dicaprio,000002,000084,0.6667901,8
Dicaprio,000002,000085,0.60419893,8
Dicaprio,000002,000086,0.5642075,7
Dicaprio,000002,000089,0.61822367,9
Dicaprio,000002,000091,0.6095351,7
Dicaprio,000002,000096,0.5128527,9
Dicaprio,000002,000097,0.51208806,9
Dicaprio,000002,000100,0.65239304,8
Dicaprio,000002,000101,0.53299177,8
Dicaprio,000002,000106,0.44770628,9
Dicaprio,000003,000005,0.5813102,9
Dicaprio,000003,000006,0.56487525,8
Dicaprio,000003,000007,0.49637836,9
Dicaprio,000003,000008,0.5551154,10
Dicaprio,000003,000009,0.57305074,9
Dicaprio,000003,000010,0.5138784,9
Dicaprio,000003,000012,0.46411705,10
Dicaprio,000003,000013,0.58209765,10
Dicaprio,000003,000015,0.4791413,10
Dicaprio,000003,000016,0.53227913,9
Dicaprio,000003,000018,0.5350725,10
Dicaprio,000003,000019,0.44378036,9
Dicaprio,000003,000020,0.45335585,9
Dicaprio,000003,000021,0.53303194,10
Dicaprio,000003,000022,0.4999653,8
Dicaprio,000003,000024,0.60917515,10
Dicaprio,000003,000026,0.452116,9
Dicaprio,000003,000027,0.5473671,10
Dicaprio,000003,000029,0.45253003,8
Dicaprio,000003,000033,0.4941383,8
Dicaprio,000003,000038,0.50534177,8
Dicaprio,000003,000039,0.48003945,6
Dicaprio,000003,000040,0.4895253,8
Dicaprio,000003,000043,0.49934196,9
Dicaprio,000003,000045,0.4865799,9
Dicaprio,000003,000049,0.49950784,9
Dicaprio,000003,000050,0.5655104,10
Dicaprio,000003,000053,0.5211546,9
Dicaprio,000003,000068,0.5320099,10
Dicaprio,000003,000069,0.5732959,9
Dicaprio,000003,000070,0.54279464,10
Dicaprio,000003,000071,0.57524174,7
Dicaprio,000003,000074,0.6281048,10
Dicaprio,000003,000075,0.5565231,10
Dicaprio,000003,000078,0.5295039,9
Dicaprio,000003,000081,0.55927366,10
Dicaprio,000003,000082,0.5967317,10
Dicaprio,000003,000084,0.59047246,9
Dicaprio,000003,000085,0.5619735,9
Dicaprio,000003,000086,0.51532084,7
Dicaprio,000003,000089,0.54242647,9
Dicaprio,000003,000091,0.539512,7
Dicaprio,000003,000096,0.52140206,9
Dicaprio,000003,000097,0.53562725,9
Dicaprio,000003,000100,0.5622623,9
Dicaprio,000003,000101,0.55556995,9
Dicaprio,000003,000106,0.40482152,9
Dicaprio,000005,000006,0.70807874,8
Dicaprio,000005,000007,0.6134009,9
Dicaprio,000005,000008,0.54962695,9
Dicaprio,000005,000009,0.700897,9
Dicaprio,000005,000010,0.61949104,9
Dicaprio,000005,000012,0.5208385,9
Dicaprio,000005,000013,0.67083704,9
Dicaprio,000005,000015,0.6008419,9
Dicaprio,000005,000016,0.5923657,9
Dicaprio,000005,000018,0.59892696,9
Dicaprio,000005,000019,0.62137985,9
Dicaprio,000005,000020,0.5667979,9
Dicaprio,000005,000021,0.5022198,9
Dicaprio,000005,000022,0.5929556,8
Dicaprio,000005,000024,0.64748764,9
Dicaprio,000005,000026,0.39765,8
Dicaprio,000005,000027,0.5497413,9
Dicaprio,000005,000029,0.46849972,8
Dicaprio,000005,000033,0.47103053,7
Dicaprio,000005,000038,0.5148029,8
Dicaprio,000005,000039,0.42664397,6
Dicaprio,000005,000040,0.5226364,8
Dicaprio,000005,000043,0.48953146,9
Dicaprio,000005,000045,0.6287743,8
Dicaprio,000005,000049,0.6765224,9
Dicaprio,000005,000050,0.5397519,9
Dicaprio,000005,000053,0.4467067,8
Dicaprio,000005,000068,0.47917277,9
Dicaprio,000005,000069,0.54280734,8
Dicaprio,000005,000070,0.5380933,9
Dicaprio,000005,000071,0.47823718,6
Dicaprio,000005,000074,0.5764881,9
Dicaprio,000005,000075,0.5263318,9
Dicaprio,000005,000078,0.5606163,8
Dicaprio,000005,000081,0.6332605,9
Dicaprio,000005,000082,0.58785033,9
Dicaprio,000005,000084,0.65158075,9
Dicaprio,000005,000085,0.63884544,9
Dicaprio,000005,000086,0.5393496,6
Dicaprio,000005,000089,0.5571331,8
Dicaprio,000005,000091,0.57641447,6
Dicaprio,000005,000096,0.48863378,8
Dicaprio,000005,000097,0.4886588,8
Dicaprio,000005,000100,0.582323,9
Dicaprio,000005,000101,0.542617,9
Dicaprio,000005,000106,0.43319714,8
Dicaprio,000006,000007,0.6353334,8
Dicaprio,000006,000008,0.54698867,8
Dicaprio,000006,000009,0.6504132,8
Dicaprio,000006,000010,0.62133926,8
Dicaprio,000006,000012,0.57490313,8
Dicaprio,000006,000013,0.6327126,8
Dicaprio,000006,000015,0.62094164,8
Dicaprio,000006,000016,0.60895634,8
Dicaprio,000006,000018,0.5563617,8
Dicaprio,000006,000019,0.6100421,8
Dicaprio,000006,000020,0.5919072,8
Dicaprio,000006,000021,0.55123746,8
Dicaprio,000006,000022,0.6147406,8
Dicaprio,000006,000024,0.6065459,8
Dicaprio,000006,000026,0.3793413,8
Dicaprio,000006,000027,0.5386929,8
Dicaprio,000006,000029,0.44018382,8
Dicaprio,000006,000033,0.43900242,7
Dicaprio,000006,000038,0.53437877,8
Dicaprio,000006,000039,0.473303,6
Dicaprio,000006,000040,0.5172112,8
Dicaprio,000006,000043,0.49321073,8
Dicaprio,000006,000045,0.6127953,8
Dicaprio,000006,000049,0.6835147,8
Dicaprio,000006,000050,0.5941143,8
Dicaprio,000006,000053,0.39141276,8
Dicaprio,000006,000068,0.51848894,8
Dicaprio,000006,000069,0.5147127,8
