celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
EunwooCha,000001_0,000003_0,0.543548,8
EunwooCha,000001_0,000005_0,0.47032624,8
EunwooCha,000001_0,000007_0,0.4481905,7
EunwooCha,000001_0,000008_0,0.42026353,8
EunwooCha,000001_0,000009_0,0.5188101,8
EunwooCha,000001_0,000010_0,0.5324439,7
EunwooCha,000001_0,000011_0,0.62332976,6
EunwooCha,000001_0,000012_0,0.59710467,9
EunwooCha,000001_0,000013_0,0.49484068,9
EunwooCha,000001_0,000014_0,0.4479972,8
EunwooCha,000001_0,000015_0,0.4932411,7
EunwooCha,000001_0,000016_0,0.6204016,10
EunwooCha,000001_0,000017_0,0.4886142,6
EunwooCha,000001_0,000018_0,0.45136648,7
EunwooCha,000001_0,000020_0,0.42403728,8
EunwooCha,000001_0,000021_0,0.57275033,9
EunwooCha,000001_0,000022_0,0.43261403,8
EunwooCha,000001_0,000023_0,0.51595485,9
EunwooCha,000001_0,000024_0,0.4346345,8
EunwooCha,000001_0,000025_0,0.6262164,8
EunwooCha,000001_0,000026_0,0.43425363,7
EunwooCha,000001_0,000027_0,0.5111224,6
EunwooCha,000001_0,000028_0,0.5086131,7
EunwooCha,000001_0,000029_0,0.51329935,8
EunwooCha,000001_0,000030_0,0.4309965,8
EunwooCha,000001_0,000032_0,0.47272235,8
EunwooCha,000001_0,000037_0,0.47995353,8
EunwooCha,000001_0,000042_0,0.48779923,8
EunwooCha,000001_0,000043_0,0.5093078,7
EunwooCha,000001_0,000044_0,0.44094804,6
EunwooCha,000001_0,000050_0,0.43839455,8
EunwooCha,000001_0,000052_0,0.4712146,7
EunwooCha,000001_0,000053_0,0.462709,8
EunwooCha,000001_0,000055_0,0.56086254,9
EunwooCha,000001_0,000057_0,0.51493776,10
EunwooCha,000001_0,000058_0,0.54625714,7
EunwooCha,000001_0,000060_0,0.46286902,9
EunwooCha,000001_0,000065_0,0.5405347,10
EunwooCha,000001_0,000066_0,0.45544562,9
EunwooCha,000001_0,000067_0,0.35524654,8
EunwooCha,000001_0,000069_0,0.59196645,7
EunwooCha,000001_0,000072_0,0.55251455,8
EunwooCha,000001_0,000073_0,0.5825508,8
EunwooCha,000001_0,000077_1,0.47160363,8
EunwooCha,000001_0,000079_0,0.48424593,9
EunwooCha,000001_0,000081_0,0.64078873,7
EunwooCha,000001_0,000086_0,0.43818396,5
EunwooCha,000001_0,000094_0,0.51812565,8
EunwooCha,000001_0,000101_0,0.51409864,8
EunwooCha,000003_0,000005_0,0.5669007,7
EunwooCha,000003_0,000007_0,0.60858184,7
EunwooCha,000003_0,000008_0,0.60872805,8
EunwooCha,000003_0,000009_0,0.5043897,7
EunwooCha,000003_0,000010_0,0.5832825,6
EunwooCha,000003_0,000011_0,0.5606976,6
EunwooCha,000003_0,000012_0,0.6107204,8
EunwooCha,000003_0,000013_0,0.54378384,8
EunwooCha,000003_0,000014_0,0.6280648,7
EunwooCha,000003_0,000015_0,0.6015329,7
EunwooCha,000003_0,000016_0,0.51131326,8
EunwooCha,000003_0,000017_0,0.5303108,5
EunwooCha,000003_0,000018_0,0.64783376,6
EunwooCha,000003_0,000020_0,0.57434005,7
EunwooCha,000003_0,000021_0,0.53035986,7
EunwooCha,000003_0,000022_0,0.58908176,7
EunwooCha,000003_0,000023_0,0.5782414,7
EunwooCha,000003_0,000024_0,0.5827722,7
EunwooCha,000003_0,000025_0,0.5759076,7
EunwooCha,000003_0,000026_0,0.5518518,6
EunwooCha,000003_0,000027_0,0.5706759,6
EunwooCha,000003_0,000028_0,0.57623345,7
EunwooCha,000003_0,000029_0,0.572108,7
EunwooCha,000003_0,000030_0,0.4417582,7
EunwooCha,000003_0,000032_0,0.5632118,7
EunwooCha,000003_0,000037_0,0.53678936,7
EunwooCha,000003_0,000042_0,0.5870623,6
EunwooCha,000003_0,000043_0,0.64825815,7
EunwooCha,000003_0,000044_0,0.52434534,6
EunwooCha,000003_0,000050_0,0.53703606,7
EunwooCha,000003_0,000052_0,0.5517207,7
EunwooCha,000003_0,000053_0,0.54216903,7
EunwooCha,000003_0,000055_0,0.6225065,8
EunwooCha,000003_0,000057_0,0.6169504,8
EunwooCha,000003_0,000058_0,0.6068237,6
EunwooCha,000003_0,000060_0,0.6347648,8
EunwooCha,000003_0,000065_0,0.56406164,8
EunwooCha,000003_0,000066_0,0.6155953,7
EunwooCha,000003_0,000067_0,0.478227,7
EunwooCha,000003_0,000069_0,0.51446813,7
EunwooCha,000003_0,000072_0,0.54211706,7
EunwooCha,000003_0,000073_0,0.46503782,7
EunwooCha,000003_0,000077_1,0.5541783,7
EunwooCha,000003_0,000079_0,0.6359075,8
EunwooCha,000003_0,000081_0,0.545963,7
EunwooCha,000003_0,000086_0,0.50215894,5
EunwooCha,000003_0,000094_0,0.72273904,7
EunwooCha,000003_0,000101_0,0.55267847,7
EunwooCha,000005_0,000007_0,0.65070766,7
EunwooCha,000005_0,000008_0,0.48108578,7
EunwooCha,000005_0,000009_0,0.5414928,8
EunwooCha,000005_0,000010_0,0.5578279,7
EunwooCha,000005_0,000011_0,0.6957341,6
EunwooCha,000005_0,000012_0,0.48064265,7
EunwooCha,000005_0,000013_0,0.52819014,7
EunwooCha,000005_0,000014_0,0.3934389,6
EunwooCha,000005_0,000015_0,0.58714986,6
EunwooCha,000005_0,000016_0,0.4425896,8
EunwooCha,000005_0,000017_0,0.51654965,6
EunwooCha,000005_0,000018_0,0.56279486,7
EunwooCha,000005_0,000020_0,0.4872139,8
EunwooCha,000005_0,000021_0,0.5577705,7
EunwooCha,000005_0,000022_0,0.3776114,6
EunwooCha,000005_0,000023_0,0.664896,7
EunwooCha,000005_0,000024_0,0.5219429,6
EunwooCha,000005_0,000025_0,0.48083624,6
EunwooCha,000005_0,000026_0,0.5842282,7
EunwooCha,000005_0,000027_0,0.5816299,6
EunwooCha,000005_0,000028_0,0.61576474,7
EunwooCha,000005_0,000029_0,0.6109462,7
EunwooCha,000005_0,000030_0,0.5824452,7
EunwooCha,000005_0,000032_0,0.5288106,8
EunwooCha,000005_0,000037_0,0.5152256,7
EunwooCha,000005_0,000042_0,0.5573709,7
EunwooCha,000005_0,000043_0,0.5511201,6
EunwooCha,000005_0,000044_0,0.57740664,6
EunwooCha,000005_0,000050_0,0.48567927,8
EunwooCha,000005_0,000052_0,0.5959753,7
EunwooCha,000005_0,000053_0,0.57101136,6
EunwooCha,000005_0,000055_0,0.5409027,7
EunwooCha,000005_0,000057_0,0.4247817,8
EunwooCha,000005_0,000058_0,0.59527576,5
EunwooCha,000005_0,000060_0,0.55114394,7
EunwooCha,000005_0,000065_0,0.6175996,8
EunwooCha,000005_0,000066_0,0.41072795,7
EunwooCha,000005_0,000067_0,0.4154714,6
EunwooCha,000005_0,000069_0,0.55199474,7
EunwooCha,000005_0,000072_0,0.49980912,6
EunwooCha,000005_0,000073_0,0.46554533,7
EunwooCha,000005_0,000077_1,0.6431312,6
EunwooCha,000005_0,000079_0,0.6745351,7
EunwooCha,000005_0,000081_0,0.455931,7
EunwooCha,000005_0,000086_0,0.42860293,5
EunwooCha,000005_0,000094_0,0.5110946,6
EunwooCha,000005_0,000101_0,0.5805011,7
EunwooCha,000007_0,000008_0,0.6148301,7
EunwooCha,000007_0,000009_0,0.7779315,7
EunwooCha,000007_0,000010_0,0.6707886,6
EunwooCha,000007_0,000011_0,0.6284767,6
EunwooCha,000007_0,000012_0,0.49684018,7
EunwooCha,000007_0,000013_0,0.59786844,7
EunwooCha,000007_0,000014_0,0.4932973,6
EunwooCha,000007_0,000015_0,0.7282288,6
EunwooCha,000007_0,000016_0,0.5262051,7
EunwooCha,000007_0,000017_0,0.6679781,5
EunwooCha,000007_0,000018_0,0.7058758,6
EunwooCha,000007_0,000020_0,0.6247563,7
EunwooCha,000007_0,000021_0,0.57370263,6
EunwooCha,000007_0,000022_0,0.4872409,6
EunwooCha,000007_0,000023_0,0.67596763,6
EunwooCha,000007_0,000024_0,0.60258204,6
EunwooCha,000007_0,000025_0,0.5053242,6
EunwooCha,000007_0,000026_0,0.6845455,6
EunwooCha,000007_0,000027_0,0.63768786,6
EunwooCha,000007_0,000028_0,0.66269696,7
EunwooCha,000007_0,000029_0,0.74695426,7
EunwooCha,000007_0,000030_0,0.7893834,6
EunwooCha,000007_0,000032_0,0.75490963,7
EunwooCha,000007_0,000037_0,0.5479725,6
EunwooCha,000007_0,000042_0,0.61954314,6
EunwooCha,000007_0,000043_0,0.6213937,6
EunwooCha,000007_0,000044_0,0.6672525,6
EunwooCha,000007_0,000050_0,0.6066551,7
EunwooCha,000007_0,000052_0,0.7720724,7
EunwooCha,000007_0,000053_0,0.51412815,6
EunwooCha,000007_0,000055_0,0.5129663,7
EunwooCha,000007_0,000057_0,0.50929826,7
EunwooCha,000007_0,000058_0,0.5364559,5
EunwooCha,000007_0,000060_0,0.6043764,7
EunwooCha,000007_0,000065_0,0.5909036,7
EunwooCha,000007_0,000066_0,0.5195623,6
EunwooCha,000007_0,000067_0,0.48371172,6
EunwooCha,000007_0,000069_0,0.5944933,7
EunwooCha,000007_0,000072_0,0.5033128,6
EunwooCha,000007_0,000073_0,0.6544669,6
EunwooCha,000007_0,000077_1,0.6738878,6
EunwooCha,000007_0,000079_0,0.70401096,7
EunwooCha,000007_0,000081_0,0.50396883,7
EunwooCha,000007_0,000086_0,0.4971497,5
EunwooCha,000007_0,000094_0,0.57660866,6
EunwooCha,000007_0,000101_0,0.756464,7
EunwooCha,000008_0,000009_0,0.5885919,7
EunwooCha,000008_0,000010_0,0.50371486,6
EunwooCha,000008_0,000011_0,0.4803411,6
EunwooCha,000008_0,000012_0,0.47806618,9
EunwooCha,000008_0,000013_0,0.4318234,9
EunwooCha,000008_0,000014_0,0.5885561,7
EunwooCha,000008_0,000015_0,0.6042162,7
EunwooCha,000008_0,000016_0,0.48155397,8
EunwooCha,000008_0,000017_0,0.5480155,5
EunwooCha,000008_0,000018_0,0.5766149,6
EunwooCha,000008_0,000020_0,0.5687885,7
EunwooCha,000008_0,000021_0,0.49618784,7
EunwooCha,000008_0,000022_0,0.5678838,7
EunwooCha,000008_0,000023_0,0.55097145,7
EunwooCha,000008_0,000024_0,0.5444492,8
EunwooCha,000008_0,000025_0,0.5148796,7
EunwooCha,000008_0,000026_0,0.57170624,6
EunwooCha,000008_0,000027_0,0.50741345,6
EunwooCha,000008_0,000028_0,0.53070766,7
EunwooCha,000008_0,000029_0,0.5226277,8
EunwooCha,000008_0,000030_0,0.5090197,7
EunwooCha,000008_0,000032_0,0.63899165,7
