celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
FanBingbing,000001,000003,0.67721236,8
FanBingbing,000001,000004,0.67057073,8
FanBingbing,000001,000007,0.48557845,8
FanBingbing,000001,000008,0.5465777,8
FanBingbing,000001,000009,0.61575234,8
FanBingbing,000001,000012,0.5246936,8
FanBingbing,000001,000013,0.57657045,8
FanBingbing,000001,000019,0.65479195,8
FanBingbing,000001,000020,0.6567576,8
FanBingbing,000001,000025,0.5878539,8
FanBingbing,000001,000026,0.59234095,8
FanBingbing,000001,000027,0.5812252,8
FanBingbing,000001,000031,0.644606,8
FanBingbing,000001,000034,0.52086926,8
FanBingbing,000001,000035,0.61307406,8
FanBingbing,000001,000036,0.6534374,8
FanBingbing,000001,000037,0.5353563,8
FanBingbing,000001,000041,0.4805921,6
FanBingbing,000001,000042,0.62615275,8
FanBingbing,000001,000044,0.5517094,8
FanBingbing,000001,000046,0.6238078,8
FanBingbing,000001,000047,0.8965676,8
FanBingbing,000001,000049,0.6373366,8
FanBingbing,000001,000050,0.5033883,8
FanBingbing,000001,000053,0.6711403,8
FanBingbing,000001,000056,0.43331006,7
FanBingbing,000001,000058,0.651136,8
FanBingbing,000001,000059,0.60013014,8
FanBingbing,000001,000070,0.6206072,8
FanBingbing,000001,000071,0.6196115,8
FanBingbing,000001,000072,0.5354197,6
FanBingbing,000001,000078,0.5525928,8
FanBingbing,000001,000082,0.53931946,8
FanBingbing,000001,000085,0.64327234,8
FanBingbing,000001,000086,0.6788423,8
FanBingbing,000001,000088,0.6173642,8
FanBingbing,000001,000090,0.55805343,8
FanBingbing,000001,000094,0.55893487,8
FanBingbing,000001,000095,0.58234084,8
FanBingbing,000001,000112,0.60383725,8
FanBingbing,000001,000118,0.49322975,6
FanBingbing,000001,000120,0.47817674,8
FanBingbing,000001,000121,0.5792137,8
FanBingbing,000001,000122,0.4691245,8
FanBingbing,000001,123,0.4732182,8
FanBingbing,000001,124,0.5666375,8
FanBingbing,000001,125,0.5451067,8
FanBingbing,000001,127,0.48884103,8
FanBingbing,000001,128,0.5920988,6
FanBingbing,000003,000004,0.65823466,10
FanBingbing,000003,000007,0.51001024,10
FanBingbing,000003,000008,0.573869,9
FanBingbing,000003,000009,0.59907866,10
FanBingbing,000003,000012,0.5026129,9
FanBingbing,000003,000013,0.5986408,10
FanBingbing,000003,000019,0.61002004,10
FanBingbing,000003,000020,0.687212,9
FanBingbing,000003,000025,0.67247003,10
FanBingbing,000003,000026,0.5620479,10
FanBingbing,000003,000027,0.5935172,10
FanBingbing,000003,000031,0.65908265,9
FanBingbing,000003,000034,0.613949,10
FanBingbing,000003,000035,0.6038653,9
FanBingbing,000003,000036,0.6379501,10
FanBingbing,000003,000037,0.55247927,8
FanBingbing,000003,000041,0.49455324,6
FanBingbing,000003,000042,0.5409076,9
FanBingbing,000003,000044,0.55309635,8
FanBingbing,000003,000046,0.5859082,10
FanBingbing,000003,000047,0.6785742,8
FanBingbing,000003,000049,0.5643394,9
FanBingbing,000003,000050,0.4765013,10
FanBingbing,000003,000053,0.6252708,11
FanBingbing,000003,000056,0.45475432,8
FanBingbing,000003,000058,0.64519477,8
FanBingbing,000003,000059,0.5899406,9
FanBingbing,000003,000070,0.5921846,9
FanBingbing,000003,000071,0.6691548,9
FanBingbing,000003,000072,0.49604073,6
FanBingbing,000003,000078,0.56672704,8
FanBingbing,000003,000082,0.54525137,10
FanBingbing,000003,000085,0.62912476,10
FanBingbing,000003,000086,0.63089645,9
FanBingbing,000003,000088,0.56805533,9
FanBingbing,000003,000090,0.57673657,9
FanBingbing,000003,000094,0.5611598,8
FanBingbing,000003,000095,0.5817412,10
FanBingbing,000003,000112,0.6644442,10
FanBingbing,000003,000118,0.52702445,7
FanBingbing,000003,000120,0.44959855,8
FanBingbing,000003,000121,0.5944324,9
FanBingbing,000003,000122,0.51483077,10
FanBingbing,000003,123,0.4865861,10
FanBingbing,000003,124,0.59356236,9
FanBingbing,000003,125,0.57490605,10
FanBingbing,000003,127,0.47723028,9
FanBingbing,000003,128,0.5679305,7
FanBingbing,000004,000007,0.587837,10
FanBingbing,000004,000008,0.60922974,8
FanBingbing,000004,000009,0.718777,9
FanBingbing,000004,000012,0.5707934,9
FanBingbing,000004,000013,0.60836786,9
FanBingbing,000004,000019,0.6001303,9
FanBingbing,000004,000020,0.7026102,8
FanBingbing,000004,000025,0.7299954,9
FanBingbing,000004,000026,0.6012486,9
FanBingbing,000004,000027,0.61928755,9
FanBingbing,000004,000031,0.639747,9
FanBingbing,000004,000034,0.62819135,9
FanBingbing,000004,000035,0.6963282,9
FanBingbing,000004,000036,0.6544826,9
FanBingbing,000004,000037,0.63239074,8
FanBingbing,000004,000041,0.5334715,6
FanBingbing,000004,000042,0.7343404,9
FanBingbing,000004,000044,0.5437393,8
FanBingbing,000004,000046,0.6034539,10
FanBingbing,000004,000047,0.68088543,8
FanBingbing,000004,000049,0.6492923,8
FanBingbing,000004,000050,0.49846506,9
FanBingbing,000004,000053,0.61358285,10
FanBingbing,000004,000056,0.49897707,8
FanBingbing,000004,000058,0.70311075,8
FanBingbing,000004,000059,0.7269188,8
FanBingbing,000004,000070,0.65884316,9
FanBingbing,000004,000071,0.7133993,8
FanBingbing,000004,000072,0.51516306,6
FanBingbing,000004,000078,0.57083464,8
FanBingbing,000004,000082,0.62171924,9
