celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
IshiharaSatomi,000003,000004,0.60223156,7
IshiharaSatomi,000003,000009,0.6115494,6
IshiharaSatomi,000003,000010,0.54041374,6
IshiharaSatomi,000003,000011,0.60186255,7
IshiharaSatomi,000003,000012,0.50737953,7
IshiharaSatomi,000003,000014,0.7554813,6
IshiharaSatomi,000003,000015,0.7299692,6
IshiharaSatomi,000003,000017,0.519861,7
IshiharaSatomi,000003,000019,0.48789978,7
IshiharaSatomi,000003,000020,0.5642652,7
IshiharaSatomi,000003,000021,0.43639925,7
IshiharaSatomi,000003,000022,0.7133029,7
IshiharaSatomi,000003,000023,0.5312589,5
IshiharaSatomi,000003,000025,0.7022765,7
IshiharaSatomi,000003,000026,0.43103686,7
IshiharaSatomi,000003,000029,0.6624026,7
IshiharaSatomi,000003,000031,0.499818,6
IshiharaSatomi,000003,000033,0.634492,7
IshiharaSatomi,000003,000035,0.60524356,7
IshiharaSatomi,000003,000039,0.5550422,6
IshiharaSatomi,000003,000042,0.52372354,6
IshiharaSatomi,000003,000045,0.61651826,6
IshiharaSatomi,000003,000047,0.56401217,5
IshiharaSatomi,000003,000048,0.51682764,7
IshiharaSatomi,000003,000049,0.5281845,6
IshiharaSatomi,000003,000051,0.47007683,7
IshiharaSatomi,000003,000052,0.5476844,7
IshiharaSatomi,000003,000054,0.5844784,6
IshiharaSatomi,000003,000059,0.48619363,7
IshiharaSatomi,000003,000060,0.4755489,7
IshiharaSatomi,000003,000061,0.56221926,6
IshiharaSatomi,000003,000063,0.58773303,6
IshiharaSatomi,000003,000065,0.66553277,6
IshiharaSatomi,000003,000066,0.51041573,6
IshiharaSatomi,000003,000069,0.62575,6
IshiharaSatomi,000003,000070,0.66417354,6
IshiharaSatomi,000003,000071,0.5914771,7
IshiharaSatomi,000003,000076,0.67606217,7
IshiharaSatomi,000003,000079,0.6269614,7
IshiharaSatomi,000003,000081,0.53003556,6
IshiharaSatomi,000003,000082,0.5060769,7
IshiharaSatomi,000003,000083,0.5618602,6
IshiharaSatomi,000003,000084,0.5223136,7
IshiharaSatomi,000003,000086,0.5681188,7
IshiharaSatomi,000003,000089,0.6522467,6
IshiharaSatomi,000003,000095,0.47813988,7
IshiharaSatomi,000003,000097,0.7028246,6
IshiharaSatomi,000003,000100,0.63824123,7
IshiharaSatomi,000003,000101,0.4657144,7
IshiharaSatomi,000004,000009,0.4521807,6
IshiharaSatomi,000004,000010,0.45811486,8
IshiharaSatomi,000004,000011,0.5915497,9
IshiharaSatomi,000004,000012,0.5292278,9
IshiharaSatomi,000004,000014,0.531015,8
IshiharaSatomi,000004,000015,0.57600033,8
IshiharaSatomi,000004,000017,0.42850918,7
IshiharaSatomi,000004,000019,0.35496816,7
IshiharaSatomi,000004,000020,0.5536797,9
IshiharaSatomi,000004,000021,0.4477886,9
IshiharaSatomi,000004,000022,0.57233113,7
IshiharaSatomi,000004,000023,0.46435556,7
IshiharaSatomi,000004,000025,0.56904733,7
IshiharaSatomi,000004,000026,0.44378364,9
IshiharaSatomi,000004,000029,0.43942967,7
IshiharaSatomi,000004,000031,0.50050986,8
IshiharaSatomi,000004,000033,0.5648366,9
IshiharaSatomi,000004,000035,0.5409952,9
IshiharaSatomi,000004,000039,0.4776186,8
IshiharaSatomi,000004,000042,0.46012408,8
IshiharaSatomi,000004,000045,0.5752487,8
IshiharaSatomi,000004,000047,0.48037726,7
IshiharaSatomi,000004,000048,0.50868946,9
