celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
JKRowling,000005,000008,0.640318,9
JKRowling,000005,000009,0.58371425,9
JKRowling,000005,000010,0.6354202,10
JKRowling,000005,000012,0.6193413,8
JKRowling,000005,000014,0.6219349,9
JKRowling,000005,000015,0.56183916,9
JKRowling,000005,000017,0.520885,8
JKRowling,000005,000018,0.7430803,9
JKRowling,000005,000021,0.6285933,9
JKRowling,000005,000022,0.6174549,10
JKRowling,000005,000027,0.54446626,10
JKRowling,000005,000029,0.5620822,10
JKRowling,000005,000030,0.56182593,9
JKRowling,000005,000031,0.58811194,10
JKRowling,000005,000032,0.5170636,9
JKRowling,000005,000035,0.5373365,7
JKRowling,000005,000036,0.54979765,9
JKRowling,000005,000038,0.6193146,9
JKRowling,000005,000041,0.6233097,9
JKRowling,000005,000044,0.54853827,9
JKRowling,000005,000045,0.73498774,9
JKRowling,000005,000047,0.6387497,10
JKRowling,000005,000049,0.59487116,10
JKRowling,000005,000051,0.6200938,10
JKRowling,000005,000053,0.6077522,8
JKRowling,000005,000055,0.6285458,9
JKRowling,000005,000057,0.67504066,9
JKRowling,000005,000060,0.49712178,7
JKRowling,000005,000063,0.67624855,8
JKRowling,000005,000065,0.73722124,9
JKRowling,000005,000068,0.55365115,9
JKRowling,000005,000071,0.544147,9
JKRowling,000005,000075,0.6481859,6
JKRowling,000005,000076,0.59608436,9
JKRowling,000005,000078,0.5400552,8
JKRowling,000005,000079,0.50736505,6
JKRowling,000005,000082,0.4977026,9
JKRowling,000005,000085,0.5637277,7
JKRowling,000005,000087,0.58149844,9
JKRowling,000005,000090,0.57804537,10
JKRowling,000005,000092,0.58077663,10
JKRowling,000005,000094,0.613324,10
JKRowling,000005,000096,0.69406134,10
JKRowling,000005,000097,0.56979483,9
JKRowling,000005,000101,0.60486346,9
JKRowling,000005,000102,0.54512537,8
JKRowling,000005,106,0.5905242,9
JKRowling,000005,110,0.4601953,7
JKRowling,000005,111,0.46543324,6
JKRowling,000008,000009,0.51271576,8
JKRowling,000008,000010,0.5431782,9
JKRowling,000008,000012,0.59004724,8
JKRowling,000008,000014,0.68716514,9
JKRowling,000008,000015,0.48118418,8
JKRowling,000008,000017,0.5692853,8
JKRowling,000008,000018,0.6152507,8
JKRowling,000008,000021,0.63886905,9
JKRowling,000008,000022,0.58441234,9
JKRowling,000008,000027,0.5035517,9
JKRowling,000008,000029,0.6114317,9
JKRowling,000008,000030,0.63784933,8
JKRowling,000008,000031,0.55303955,9
JKRowling,000008,000032,0.5134463,9
JKRowling,000008,000035,0.5587685,6
JKRowling,000008,000036,0.61318034,9
JKRowling,000008,000038,0.57508457,8
JKRowling,000008,000041,0.62337756,8
JKRowling,000008,000044,0.58759904,9
JKRowling,000008,000045,0.62931395,8
JKRowling,000008,000047,0.6825378,9
JKRowling,000008,000049,0.57362914,9
JKRowling,000008,000051,0.6748946,9
JKRowling,000008,000053,0.6145806,8
JKRowling,000008,000055,0.67108124,9
JKRowling,000008,000057,0.5879034,8
JKRowling,000008,000060,0.48865888,6
JKRowling,000008,000063,0.6878448,8
JKRowling,000008,000065,0.64051515,8
JKRowling,000008,000068,0.6259613,9
JKRowling,000008,000071,0.5964185,9
JKRowling,000008,000075,0.5934691,6
JKRowling,000008,000076,0.70870984,8
JKRowling,000008,000078,0.6077797,8
