celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
Jennie,000001,000003,0.5585487,7
Jennie,000001,000004,0.48768243,6
Jennie,000001,000005,0.5333601,9
Jennie,000001,000006,0.4666409,8
Jennie,000001,000007,0.58859724,9
Jennie,000001,000010,0.61715734,8
Jennie,000001,000011,0.6453985,8
Jennie,000001,000012,0.53682053,8
Jennie,000001,000013,0.566682,8
Jennie,000001,000014,0.5387126,9
Jennie,000001,000015,0.6439605,8
Jennie,000001,000023,0.5034723,9
Jennie,000001,000024,0.696845,8
Jennie,000001,000025,0.7542918,8
Jennie,000001,000026,0.65589577,9
Jennie,000001,000028,0.6166206,9
Jennie,000001,000030,0.52797246,9
Jennie,000001,000033,0.5697072,9
Jennie,000001,000035,0.56867385,9
Jennie,000001,000036,0.4587957,9
Jennie,000001,000037,0.645176,9
Jennie,000001,000038,0.5479773,8
Jennie,000001,000039,0.528131,8
Jennie,000001,000042,0.5317801,9
Jennie,000001,000045,0.6439343,6
Jennie,000001,000054,0.4061543,8
Jennie,000001,000060,0.5536808,9
Jennie,000001,000062,0.53161687,7
Jennie,000001,000063,0.5595555,8
Jennie,000001,000068,0.5082186,9
Jennie,000001,000069,0.57735014,8
Jennie,000001,000071,0.6858876,9
Jennie,000001,000073,0.54576886,8
Jennie,000001,000074,0.669294,8
Jennie,000001,000077,0.5415896,8
Jennie,000001,000082,0.6495046,7
Jennie,000001,000083,0.54427123,9
Jennie,000001,000094,0.5910293,9
Jennie,000001,000096,0.57255316,9
Jennie,000001,000098,0.5450221,9
Jennie,000001,000099,0.5702703,9
Jennie,000001,000100,0.5072183,7
Jennie,000001,000104,0.5444576,9
Jennie,000001,000105,0.6269604,9
Jennie,000001,000106,0.69171727,8
Jennie,000001,000107,0.5796455,9
Jennie,000001,000111,0.4772074,7
Jennie,000001,000112,0.5348776,9
Jennie,000001,000114,0.6340521,9
Jennie,000003,000004,0.45871785,6
Jennie,000003,000005,0.4779065,7
Jennie,000003,000006,0.52569115,7
Jennie,000003,000007,0.5170667,7
Jennie,000003,000010,0.48587832,6
Jennie,000003,000011,0.5550027,6
Jennie,000003,000012,0.51282555,7
Jennie,000003,000013,0.51949304,6
Jennie,000003,000014,0.48748812,7
Jennie,000003,000015,0.49570906,6
Jennie,000003,000023,0.5794867,7
Jennie,000003,000024,0.52943605,6
Jennie,000003,000025,0.55464816,6
Jennie,000003,000026,0.5159156,7
Jennie,000003,000028,0.49229187,7
Jennie,000003,000030,0.44597033,7
Jennie,000003,000033,0.46967492,7
Jennie,000003,000035,0.51521206,7
Jennie,000003,000036,0.5629213,7
Jennie,000003,000037,0.595438,7
Jennie,000003,000038,0.51215535,6
Jennie,000003,000039,0.6525548,6
Jennie,000003,000042,0.5738754,7
Jennie,000003,000045,0.47673956,5
Jennie,000003,000054,0.45489308,7
Jennie,000003,000060,0.48342317,7
Jennie,000003,000062,0.4919216,7
Jennie,000003,000063,0.5527145,6
Jennie,000003,000068,0.40266472,7
Jennie,000003,000069,0.49458042,6
Jennie,000003,000071,0.644656,7
Jennie,000003,000073,0.6130849,7
Jennie,000003,000074,0.5592018,6
Jennie,000003,000077,0.5200605,7
Jennie,000003,000082,0.5675426,6
Jennie,000003,000083,0.46751073,7
Jennie,000003,000094,0.4925042,7
Jennie,000003,000096,0.62373084,7
Jennie,000003,000098,0.5341338,7
Jennie,000003,000099,0.42391524,7
Jennie,000003,000100,0.4236409,7
Jennie,000003,000104,0.5036529,7
Jennie,000003,000105,0.5863065,7
Jennie,000003,000106,0.57562566,6
Jennie,000003,000107,0.49079376,7
Jennie,000003,000111,0.60829747,7
Jennie,000003,000112,0.446295,7
Jennie,000003,000114,0.58878165,7
Jennie,000004,000005,0.397183,7
Jennie,000004,000006,0.57007253,6
Jennie,000004,000007,0.47651345,7
Jennie,000004,000010,0.5364236,6
Jennie,000004,000011,0.58481866,6
Jennie,000004,000012,0.517903,7
Jennie,000004,000013,0.5488961,6
Jennie,000004,000014,0.53311235,6
Jennie,000004,000015,0.5206392,6
Jennie,000004,000023,0.48759982,6
Jennie,000004,000024,0.47016972,7
Jennie,000004,000025,0.49266836,6
Jennie,000004,000026,0.5521665,6
Jennie,000004,000028,0.49092358,7
Jennie,000004,000030,0.4632268,6
Jennie,000004,000033,0.5470126,6
Jennie,000004,000035,0.48130608,6
Jennie,000004,000036,0.51450294,7
Jennie,000004,000037,0.49071968,6
Jennie,000004,000038,0.6002861,6
Jennie,000004,000039,0.5306862,6
Jennie,000004,000042,0.5458933,6
Jennie,000004,000045,0.4038639,5
Jennie,000004,000054,0.46330407,6
Jennie,000004,000060,0.48004475,6
Jennie,000004,000062,0.45651528,6
Jennie,000004,000063,0.54739374,6
Jennie,000004,000068,0.3799889,6
Jennie,000004,000069,0.5616338,6
Jennie,000004,000071,0.5437546,6
Jennie,000004,000073,0.4412071,7
Jennie,000004,000074,0.49535617,6
Jennie,000004,000077,0.4902233,6
Jennie,000004,000082,0.5858153,6
Jennie,000004,000083,0.5496824,6
Jennie,000004,000094,0.47131404,6
Jennie,000004,000096,0.51060563,6
Jennie,000004,000098,0.48139733,7
Jennie,000004,000099,0.42247358,7
Jennie,000004,000100,0.44079673,6
Jennie,000004,000104,0.46671677,6
Jennie,000004,000105,0.56840163,6
Jennie,000004,000106,0.58212453,6
Jennie,000004,000107,0.5207564,7
Jennie,000004,000111,0.47707102,6
Jennie,000004,000112,0.53090507,6
Jennie,000004,000114,0.56929034,6
Jennie,000005,000006,0.38644665,8
Jennie,000005,000007,0.48054144,11
Jennie,000005,000010,0.5974982,8
Jennie,000005,000011,0.54610324,8
Jennie,000005,000012,0.45936334,9
Jennie,000005,000013,0.49723506,8
Jennie,000005,000014,0.4422292,9
Jennie,000005,000015,0.4935776,8
Jennie,000005,000023,0.4070417,9
Jennie,000005,000024,0.49151438,10
Jennie,000005,000025,0.51405895,8
Jennie,000005,000026,0.64509356,9
Jennie,000005,000028,0.65520805,11
Jennie,000005,000030,0.55312675,9
Jennie,000005,000033,0.43226096,9
Jennie,000005,000035,0.485784,9
Jennie,000005,000036,0.40597266,10
Jennie,000005,000037,0.56930727,9
Jennie,000005,000038,0.43242258,8
Jennie,000005,000039,0.5094445,8
Jennie,000005,000042,0.5215895,9
Jennie,000005,000045,0.69454694,6
Jennie,000005,000054,0.31913468,8
Jennie,000005,000060,0.6390432,9
Jennie,000005,000062,0.41185042,7
Jennie,000005,000063,0.5808753,8
Jennie,000005,000068,0.5730114,9
Jennie,000005,000069,0.49897465,8
Jennie,000005,000071,0.5603783,9
Jennie,000005,000073,0.4385792,9
Jennie,000005,000074,0.69391274,8
Jennie,000005,000077,0.5716687,8
Jennie,000005,000082,0.5452146,7
Jennie,000005,000083,0.54278594,9
Jennie,000005,000094,0.4770441,9
Jennie,000005,000096,0.47837013,9
Jennie,000005,000098,0.71064496,10
Jennie,000005,000099,0.7289947,10
Jennie,000005,000100,0.4308637,7
Jennie,000005,000104,0.51398,9
Jennie,000005,000105,0.52624154,9
Jennie,000005,000106,0.5430213,8
Jennie,000005,000107,0.60840935,10
Jennie,000005,000111,0.37754458,7
Jennie,000005,000112,0.42653376,9
Jennie,000005,000114,0.49555868,9
Jennie,000006,000007,0.43874773,8
Jennie,000006,000010,0.49215743,7
Jennie,000006,000011,0.51607877,7
Jennie,000006,000012,0.5127392,7
Jennie,000006,000013,0.50039536,7
Jennie,000006,000014,0.4635095,8
Jennie,000006,000015,0.5012631,7
Jennie,000006,000023,0.5215299,8
Jennie,000006,000024,0.49869195,7
Jennie,000006,000025,0.4893035,7
Jennie,000006,000026,0.5028385,8
Jennie,000006,000028,0.45917112,8
Jennie,000006,000030,0.36431828,8
Jennie,000006,000033,0.50155616,8
Jennie,000006,000035,0.4242692,8
Jennie,000006,000036,0.496868,8
Jennie,000006,000037,0.4795214,8
Jennie,000006,000038,0.5176202,7
Jennie,000006,000039,0.59622186,7
Jennie,000006,000042,0.42643017,8
Jennie,000006,000045,0.3814476,5
Jennie,000006,000054,0.5901858,7
Jennie,000006,000060,0.3716961,8
Jennie,000006,000062,0.44669393,7
Jennie,000006,000063,0.41540685,7
Jennie,000006,000068,0.3986568,8
Jennie,000006,000069,0.4802463,7
Jennie,000006,000071,0.49662074,8
Jennie,000006,000073,0.51914215,8
Jennie,000006,000074,0.49389753,7
Jennie,000006,000077,0.4047612,8
Jennie,000006,000082,0.54232883,7
Jennie,000006,000083,0.41367966,8
Jennie,000006,000094,0.5108603,8
Jennie,000006,000096,0.5882629,8
Jennie,000006,000098,0.4385969,8
