celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
Obama,000001,000003,0.5146125,7
Obama,000001,000005,0.57944614,6
Obama,000001,000006,0.626085,7
Obama,000001,000011,0.5425758,6
Obama,000001,000012,0.59574276,7
Obama,000001,000013,0.50150216,8
Obama,000001,000014,0.51568425,8
Obama,000001,000016,0.622622,6
Obama,000001,000017,0.52322507,8
Obama,000001,000024,0.6332914,6
Obama,000001,000029,0.68745375,6
Obama,000001,000030,0.69095594,6
Obama,000001,000031,0.48784888,8
Obama,000001,000033,0.5244871,8
Obama,000001,000037,0.42384845,8
Obama,000001,000041,0.52258945,8
Obama,000001,000043,0.5116148,8
Obama,000001,000044,0.4327512,8
Obama,000001,000046,0.5676823,8
Obama,000001,000049,0.4764767,8
Obama,000001,000052,0.5007504,8
Obama,000001,000053,0.69322664,6
Obama,000001,000054,0.57521284,8
Obama,000001,000059,0.64206094,6
Obama,000001,000060,0.5582415,6
Obama,000001,000067,0.5432923,8
Obama,000001,000069,0.54005885,8
Obama,000001,000070,0.46908966,8
Obama,000001,000073,0.7728729,6
Obama,000001,000074,0.5467614,8
Obama,000001,000075,0.5180661,7
Obama,000001,000079,0.6582735,6
Obama,000001,000082,0.4940235,8
Obama,000001,000083,0.55258065,6
Obama,000001,000084,0.529789,8
Obama,000001,000087,0.53842175,7
Obama,000001,000088,0.73018503,8
Obama,000001,000089,0.5444182,8
Obama,000001,000093,0.6544079,7
Obama,000001,000094,0.6299221,6
Obama,000001,000095,0.6511439,7
Obama,000001,000096,0.55883235,6
Obama,000001,000097,0.6338798,6
Obama,000001,000098,0.5054566,6
Obama,000001,000099,0.60763997,8
Obama,000001,000100,0.5931261,8
Obama,000001,000101,0.5179299,8
Obama,000001,000102,0.512022,8
Obama,000001,000105,0.5518352,8
Obama,000003,000005,0.7607636,8
Obama,000003,000006,0.5547056,8
Obama,000003,000011,0.7447719,8
Obama,000003,000012,0.41708362,9
Obama,000003,000013,0.44612205,9
Obama,000003,000014,0.57980585,8
Obama,000003,000016,0.60927033,6
Obama,000003,000017,0.4517591,8
Obama,000003,000024,0.48007926,8
Obama,000003,000029,0.57868874,8
Obama,000003,000030,0.48602587,8
Obama,000003,000031,0.4745407,8
Obama,000003,000033,0.51147324,9
Obama,000003,000037,0.4511662,8
Obama,000003,000041,0.55005014,9
Obama,000003,000043,0.49109283,8
Obama,000003,000044,0.62972885,9
Obama,000003,000046,0.45302662,7
Obama,000003,000049,0.48945317,8
Obama,000003,000052,0.49379355,8
Obama,000003,000053,0.5810094,7
Obama,000003,000054,0.46995997,8
Obama,000003,000059,0.5807495,7
Obama,000003,000060,0.69694895,7
Obama,000003,000067,0.48969704,8
Obama,000003,000069,0.3885911,8
Obama,000003,000070,0.5257042,8
Obama,000003,000073,0.57658815,7
Obama,000003,000074,0.523738,9
Obama,000003,000075,0.40443662,8
Obama,000003,000079,0.5761086,8
Obama,000003,000082,0.51925856,7
Obama,000003,000083,0.6607176,8
Obama,000003,000084,0.438021,8
Obama,000003,000087,0.55854595,8
Obama,000003,000088,0.43713623,7
Obama,000003,000089,0.4568941,8
Obama,000003,000093,0.6186023,8
Obama,000003,000094,0.5640309,8
Obama,000003,000095,0.50439274,8
Obama,000003,000096,0.58003736,8
Obama,000003,000097,0.52021646,6
Obama,000003,000098,0.4835733,7
Obama,000003,000099,0.6341847,9
Obama,000003,000100,0.6035397,9
Obama,000003,000101,0.52468705,9
Obama,000003,000102,0.5802402,8
Obama,000003,000105,0.4532237,9
Obama,000005,000006,0.6132594,7
Obama,000005,000011,0.91295207,8
Obama,000005,000012,0.5176563,8
Obama,000005,000013,0.4376669,8
Obama,000005,000014,0.5556591,7
Obama,000005,000016,0.6528476,6
Obama,000005,000017,0.56962043,7
Obama,000005,000024,0.53250736,8
Obama,000005,000029,0.56831974,8
Obama,000005,000030,0.545625,8
Obama,000005,000031,0.47860482,7
Obama,000005,000033,0.47351506,8
Obama,000005,000037,0.49491724,7
Obama,000005,000041,0.53156024,8
Obama,000005,000043,0.50242597,7
Obama,000005,000044,0.60080695,8
Obama,000005,000046,0.44163337,6
Obama,000005,000049,0.5358699,7
Obama,000005,000052,0.51667243,7
Obama,000005,000053,0.70126057,7
