celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
TaylorSwift,000001,000003,0.5750757,11
TaylorSwift,000001,000005,0.48528802,9
TaylorSwift,000001,000006,0.5365353,7
TaylorSwift,000001,000008,0.5877832,9
TaylorSwift,000001,000009,0.51459014,8
TaylorSwift,000001,000010,0.57489395,5
TaylorSwift,000001,000012,0.56333417,11
TaylorSwift,000001,000013,0.6074875,11
TaylorSwift,000001,000014,0.47074714,7
TaylorSwift,000001,000019,0.48459172,7
TaylorSwift,000001,000020,0.46671718,8
TaylorSwift,000001,000021,0.64207596,9
TaylorSwift,000001,000031,0.5478355,10
TaylorSwift,000001,000032,0.49949804,6
TaylorSwift,000001,000035,0.59535235,8
TaylorSwift,000001,000036,0.5509193,8
TaylorSwift,000001,000037,0.43142217,8
TaylorSwift,000001,000038,0.55286086,10
TaylorSwift,000001,000039,0.56227326,9
TaylorSwift,000001,000046,0.48743096,7
TaylorSwift,000001,000047,0.52819616,8
TaylorSwift,000001,000048,0.62304896,11
TaylorSwift,000001,000052,0.53325677,8
TaylorSwift,000001,000054,0.52229667,8
TaylorSwift,000001,000056,0.5524692,8
TaylorSwift,000001,000057,0.51972127,9
TaylorSwift,000001,000058,0.48772892,8
TaylorSwift,000001,000062,0.58859587,7
TaylorSwift,000001,000064,0.5404173,8
TaylorSwift,000001,000066,0.49331835,7
TaylorSwift,000001,000069,0.46811858,7
TaylorSwift,000001,000070,0.45664304,8
TaylorSwift,000001,000080,0.46528035,8
TaylorSwift,000001,000091,0.56780374,7
TaylorSwift,000001,000096,0.5820971,8
TaylorSwift,000001,000097,0.59358525,9
TaylorSwift,000001,000098,0.419924,8
TaylorSwift,000001,000101,0.50953233,8
TaylorSwift,000001,000103,0.48912472,7
TaylorSwift,000001,108,0.531043,6
TaylorSwift,000001,109,0.4724832,8
TaylorSwift,000001,111,0.48715183,8
TaylorSwift,000001,113,0.4569313,7
TaylorSwift,000001,114,0.5410872,5
TaylorSwift,000001,115,0.4579599,8
TaylorSwift,000001,116,0.52329874,10
TaylorSwift,000001,117,0.6170832,9
TaylorSwift,000001,118,0.52744955,7
TaylorSwift,000001,200,0.49153072,7
TaylorSwift,000003,000005,0.55805326,9
TaylorSwift,000003,000006,0.57577854,7
TaylorSwift,000003,000008,0.6602619,9
TaylorSwift,000003,000009,0.541958,8
TaylorSwift,000003,000010,0.5579123,5
TaylorSwift,000003,000012,0.54050976,11
TaylorSwift,000003,000013,0.709423,11
TaylorSwift,000003,000014,0.5144983,7
TaylorSwift,000003,000019,0.4764223,7
TaylorSwift,000003,000020,0.5746647,8
TaylorSwift,000003,000021,0.54351366,9
TaylorSwift,000003,000031,0.46664548,10
TaylorSwift,000003,000032,0.57472926,6
TaylorSwift,000003,000035,0.6397277,8
TaylorSwift,000003,000036,0.5531527,8
TaylorSwift,000003,000037,0.5506127,8
TaylorSwift,000003,000038,0.6283277,10
TaylorSwift,000003,000039,0.50738746,9
TaylorSwift,000003,000046,0.5954023,7
TaylorSwift,000003,000047,0.53524506,8
TaylorSwift,000003,000048,0.63446194,11
TaylorSwift,000003,000052,0.51130927,8
TaylorSwift,000003,000054,0.56128275,8
TaylorSwift,000003,000056,0.57558364,8
TaylorSwift,000003,000057,0.5733719,9
TaylorSwift,000003,000058,0.57803357,8
TaylorSwift,000003,000062,0.63113564,7
TaylorSwift,000003,000064,0.5938716,8
TaylorSwift,000003,000066,0.5249095,7
TaylorSwift,000003,000069,0.5288558,7
