celeb,reference_image_id,compare_image_id,cosine_similarity,num_features_compared
TomHolland,000001,000003,0.56104064,9
TomHolland,000001,000008,0.62829155,10
TomHolland,000001,000009,0.53265584,10
TomHolland,000001,000010,0.46033168,10
TomHolland,000001,000013,0.53442925,10
TomHolland,000001,000016,0.53063595,9
TomHolland,000001,000021,0.5326432,10
TomHolland,000001,000022,0.50204074,10
TomHolland,000001,000024,0.52243996,8
TomHolland,000001,000026,0.47783002,10
TomHolland,000001,000027,0.39560118,10
TomHolland,000001,000029,0.4288594,7
TomHolland,000001,000030,0.44340092,8
TomHolland,000001,000034,0.48599666,8
TomHolland,000001,000035,0.4573357,10
TomHolland,000001,000038,0.5414977,10
TomHolland,000001,000040,0.50187397,10
TomHolland,000001,000041,0.49636638,9
TomHolland,000001,000042,0.5291227,10
TomHolland,000001,000044,0.5615929,10
TomHolland,000001,000046,0.4297959,8
TomHolland,000001,000047,0.5345186,10
TomHolland,000001,000049,0.6933242,10
TomHolland,000001,000050,0.49191502,9
TomHolland,000001,000055,0.44382176,10
TomHolland,000001,000058,0.51654565,8
TomHolland,000001,000060,0.44108045,8
TomHolland,000001,000062,0.49325258,10
TomHolland,000001,000063,0.68061584,10
TomHolland,000001,000065,0.5305135,9
TomHolland,000001,000069,0.49289656,9
TomHolland,000001,000073,0.45495278,10
TomHolland,000001,000075,0.50704175,10
TomHolland,000001,000076,0.60352206,9
TomHolland,000001,000079,0.45780456,9
TomHolland,000001,000083,0.48284596,10
TomHolland,000001,000091,0.46534237,9
TomHolland,000001,000092,0.59253407,10
TomHolland,000001,000096,0.5256515,9
TomHolland,000001,000097,0.48185033,10
TomHolland,000001,000100,0.4544633,10
TomHolland,000001,105,0.3954222,9
TomHolland,000001,106,0.5317391,10
TomHolland,000001,107,0.54296184,9
TomHolland,000001,108,0.5313598,10
TomHolland,000001,110,0.5012542,10
TomHolland,000001,111,0.6319972,10
TomHolland,000001,113,0.5269679,10
TomHolland,000001,114,0.56202716,10
TomHolland,000003,000008,0.60714686,9
TomHolland,000003,000009,0.5240428,9
TomHolland,000003,000010,0.58225113,9
TomHolland,000003,000013,0.6444895,9
TomHolland,000003,000016,0.5787842,8
TomHolland,000003,000021,0.59204894,9
TomHolland,000003,000022,0.5921259,9
TomHolland,000003,000024,0.5518473,7
TomHolland,000003,000026,0.5783315,9
TomHolland,000003,000027,0.48735347,9
TomHolland,000003,000029,0.5484089,6
TomHolland,000003,000030,0.55517507,8
TomHolland,000003,000034,0.56597483,7
TomHolland,000003,000035,0.536765,9
TomHolland,000003,000038,0.64466834,9
TomHolland,000003,000040,0.5501248,9
TomHolland,000003,000041,0.48499817,9
TomHolland,000003,000042,0.5682211,9
TomHolland,000003,000044,0.6362258,9
TomHolland,000003,000046,0.5930196,8
TomHolland,000003,000047,0.57216114,9
TomHolland,000003,000049,0.57132614,9
TomHolland,000003,000050,0.55828846,8
TomHolland,000003,000055,0.44162312,9
TomHolland,000003,000058,0.57425463,8
TomHolland,000003,000060,0.5955269,7
TomHolland,000003,000062,0.57348907,9
TomHolland,000003,000063,0.6539793,9
TomHolland,000003,000065,0.59885395,9
