celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
BrunoMars,Dicaprio,000001,000001,0.50672877,11
BrunoMars,Dicaprio,000001,000002,0.5219885,9
BrunoMars,Dicaprio,000001,000003,0.481685,10
BrunoMars,Dicaprio,000001,000005,0.59928447,9
BrunoMars,Dicaprio,000001,000006,0.588784,8
BrunoMars,Dicaprio,000001,000007,0.5711257,9
BrunoMars,Dicaprio,000001,000008,0.53111917,10
BrunoMars,Dicaprio,000001,000009,0.5238366,9
BrunoMars,Dicaprio,000001,000010,0.5993139,9
BrunoMars,Dicaprio,000001,000012,0.5040244,10
BrunoMars,Dicaprio,000001,000013,0.53818595,10
BrunoMars,Dicaprio,000001,000015,0.5193455,10
BrunoMars,Dicaprio,000001,000016,0.586735,9
BrunoMars,Dicaprio,000001,000018,0.42015672,10
BrunoMars,Dicaprio,000001,000019,0.5504022,9
BrunoMars,Dicaprio,000001,000020,0.5178182,9
BrunoMars,Dicaprio,000001,000021,0.4416872,11
BrunoMars,Dicaprio,000001,000022,0.5806419,8
BrunoMars,Dicaprio,000001,000024,0.52689046,10
BrunoMars,Dicaprio,000001,000026,0.38745832,9
BrunoMars,Dicaprio,000001,000027,0.5658009,10
BrunoMars,Dicaprio,000001,000029,0.3998884,9
BrunoMars,Dicaprio,000001,000033,0.42587662,8
BrunoMars,Dicaprio,000001,000038,0.53495824,8
BrunoMars,Dicaprio,000001,000039,0.39934072,6
BrunoMars,Dicaprio,000001,000040,0.50910187,8
BrunoMars,Dicaprio,000001,000043,0.41808605,10
BrunoMars,Dicaprio,000001,000045,0.55479133,9
BrunoMars,Dicaprio,000001,000049,0.56546175,9
BrunoMars,Dicaprio,000001,000050,0.47861308,10
BrunoMars,Dicaprio,000001,000053,0.38423675,10
BrunoMars,Dicaprio,000001,000068,0.4346914,11
BrunoMars,Dicaprio,000001,000069,0.51232797,9
BrunoMars,Dicaprio,000001,000070,0.5752518,10
BrunoMars,Dicaprio,000001,000071,0.42137384,7
BrunoMars,Dicaprio,000001,000074,0.53250474,11
BrunoMars,Dicaprio,000001,000075,0.5303394,11
BrunoMars,Dicaprio,000001,000078,0.48575473,10
BrunoMars,Dicaprio,000001,000081,0.5816814,10
BrunoMars,Dicaprio,000001,000082,0.4657754,11
BrunoMars,Dicaprio,000001,000084,0.63681924,9
BrunoMars,Dicaprio,000001,000085,0.6001906,9
BrunoMars,Dicaprio,000001,000086,0.5262547,7
BrunoMars,Dicaprio,000001,000089,0.4861106,10
BrunoMars,Dicaprio,000001,000091,0.47207305,8
BrunoMars,Dicaprio,000001,000096,0.49194032,10
BrunoMars,Dicaprio,000001,000097,0.47834232,9
BrunoMars,Dicaprio,000001,000100,0.46743876,10
BrunoMars,Dicaprio,000001,000101,0.44979945,10
BrunoMars,Dicaprio,000001,000106,0.49227154,9
BrunoMars,Dicaprio,000002,000001,0.5580269,11
BrunoMars,Dicaprio,000002,000002,0.6030923,9
BrunoMars,Dicaprio,000002,000003,0.5725164,10
BrunoMars,Dicaprio,000002,000005,0.5618938,9
BrunoMars,Dicaprio,000002,000006,0.5513927,8
BrunoMars,Dicaprio,000002,000007,0.56682366,9
BrunoMars,Dicaprio,000002,000008,0.56947386,10
BrunoMars,Dicaprio,000002,000009,0.5449226,9
BrunoMars,Dicaprio,000002,000010,0.51917756,9
BrunoMars,Dicaprio,000002,000012,0.44824868,10
BrunoMars,Dicaprio,000002,000013,0.5410306,10
BrunoMars,Dicaprio,000002,000015,0.5396992,10
BrunoMars,Dicaprio,000002,000016,0.6323109,9
BrunoMars,Dicaprio,000002,000018,0.45068106,10
BrunoMars,Dicaprio,000002,000019,0.4633178,9
BrunoMars,Dicaprio,000002,000020,0.4199711,9
BrunoMars,Dicaprio,000002,000021,0.53162754,11
BrunoMars,Dicaprio,000002,000022,0.5719053,8
BrunoMars,Dicaprio,000002,000024,0.57905436,10
BrunoMars,Dicaprio,000002,000026,0.41196418,9
BrunoMars,Dicaprio,000002,000027,0.5148426,10
BrunoMars,Dicaprio,000002,000029,0.43874127,9
BrunoMars,Dicaprio,000002,000033,0.4975791,8
BrunoMars,Dicaprio,000002,000038,0.55784994,8
BrunoMars,Dicaprio,000002,000039,0.43070567,6
BrunoMars,Dicaprio,000002,000040,0.45748657,8
BrunoMars,Dicaprio,000002,000043,0.4939874,10
BrunoMars,Dicaprio,000002,000045,0.5618572,9
BrunoMars,Dicaprio,000002,000049,0.5281253,9
BrunoMars,Dicaprio,000002,000050,0.5974585,10
BrunoMars,Dicaprio,000002,000053,0.42373496,10
BrunoMars,Dicaprio,000002,000068,0.49913302,11
BrunoMars,Dicaprio,000002,000069,0.6554149,9
BrunoMars,Dicaprio,000002,000070,0.51510054,10
BrunoMars,Dicaprio,000002,000071,0.4703901,7
BrunoMars,Dicaprio,000002,000074,0.5551525,11
BrunoMars,Dicaprio,000002,000075,0.55862695,11
BrunoMars,Dicaprio,000002,000078,0.6188461,10
BrunoMars,Dicaprio,000002,000081,0.5816798,10
BrunoMars,Dicaprio,000002,000082,0.5356274,11
BrunoMars,Dicaprio,000002,000084,0.5902588,9
BrunoMars,Dicaprio,000002,000085,0.58467346,9
BrunoMars,Dicaprio,000002,000086,0.52351373,7
BrunoMars,Dicaprio,000002,000089,0.623749,10
BrunoMars,Dicaprio,000002,000091,0.56736255,8
BrunoMars,Dicaprio,000002,000096,0.536469,10
BrunoMars,Dicaprio,000002,000097,0.5227701,9
BrunoMars,Dicaprio,000002,000100,0.5380187,10
BrunoMars,Dicaprio,000002,000101,0.5024404,10
BrunoMars,Dicaprio,000002,000106,0.45725483,9
BrunoMars,Dicaprio,000005,000001,0.5174624,7
BrunoMars,Dicaprio,000005,000002,0.4488999,6
BrunoMars,Dicaprio,000005,000003,0.45994976,6
BrunoMars,Dicaprio,000005,000005,0.44148955,6
BrunoMars,Dicaprio,000005,000006,0.4366744,6
BrunoMars,Dicaprio,000005,000007,0.43578336,6
BrunoMars,Dicaprio,000005,000008,0.48047817,6
BrunoMars,Dicaprio,000005,000009,0.430095,6
BrunoMars,Dicaprio,000005,000010,0.49174717,6
BrunoMars,Dicaprio,000005,000012,0.55592394,6
BrunoMars,Dicaprio,000005,000013,0.42913124,6
BrunoMars,Dicaprio,000005,000015,0.47373354,6
BrunoMars,Dicaprio,000005,000016,0.5032228,6
BrunoMars,Dicaprio,000005,000018,0.57245487,6
BrunoMars,Dicaprio,000005,000019,0.380937,6
BrunoMars,Dicaprio,000005,000020,0.37057638,6
BrunoMars,Dicaprio,000005,000021,0.53876954,7
BrunoMars,Dicaprio,000005,000022,0.6252773,6
BrunoMars,Dicaprio,000005,000024,0.46083537,6
BrunoMars,Dicaprio,000005,000026,0.54738253,6
BrunoMars,Dicaprio,000005,000027,0.5446162,6
BrunoMars,Dicaprio,000005,000029,0.39590782,7
BrunoMars,Dicaprio,000005,000033,0.64352864,6
BrunoMars,Dicaprio,000005,000038,0.46603748,6
BrunoMars,Dicaprio,000005,000039,0.5579531,6
BrunoMars,Dicaprio,000005,000040,0.6577017,6
BrunoMars,Dicaprio,000005,000043,0.4315737,7
BrunoMars,Dicaprio,000005,000045,0.47201887,6
BrunoMars,Dicaprio,000005,000049,0.4021953,6
BrunoMars,Dicaprio,000005,000050,0.4724724,6
BrunoMars,Dicaprio,000005,000053,0.41998282,7
