celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
BrunoMars,EunwooCha,000001,000001_0,0.42830926,10
BrunoMars,EunwooCha,000001,000003_0,0.52934766,8
BrunoMars,EunwooCha,000001,000005_0,0.3737492,8
BrunoMars,EunwooCha,000001,000007_0,0.4317112,7
BrunoMars,EunwooCha,000001,000008_0,0.41292733,9
BrunoMars,EunwooCha,000001,000009_0,0.3469133,8
BrunoMars,EunwooCha,000001,000010_0,0.37258294,7
BrunoMars,EunwooCha,000001,000011_0,0.4334465,6
BrunoMars,EunwooCha,000001,000012_0,0.44329405,10
BrunoMars,EunwooCha,000001,000013_0,0.4992581,10
BrunoMars,EunwooCha,000001,000014_0,0.4109109,8
BrunoMars,EunwooCha,000001,000015_0,0.47442546,7
BrunoMars,EunwooCha,000001,000016_0,0.33202562,10
BrunoMars,EunwooCha,000001,000017_0,0.42780587,6
BrunoMars,EunwooCha,000001,000018_0,0.5645449,7
BrunoMars,EunwooCha,000001,000020_0,0.4526294,8
BrunoMars,EunwooCha,000001,000021_0,0.39020512,9
BrunoMars,EunwooCha,000001,000022_0,0.41402572,8
BrunoMars,EunwooCha,000001,000023_0,0.38471723,9
BrunoMars,EunwooCha,000001,000024_0,0.5324563,9
BrunoMars,EunwooCha,000001,000025_0,0.4894893,8
BrunoMars,EunwooCha,000001,000026_0,0.38166207,7
BrunoMars,EunwooCha,000001,000027_0,0.4495599,6
BrunoMars,EunwooCha,000001,000028_0,0.5157453,7
BrunoMars,EunwooCha,000001,000029_0,0.4157267,9
BrunoMars,EunwooCha,000001,000030_0,0.31119752,8
BrunoMars,EunwooCha,000001,000032_0,0.3715986,8
BrunoMars,EunwooCha,000001,000037_0,0.41690806,8
BrunoMars,EunwooCha,000001,000042_0,0.3981858,8
BrunoMars,EunwooCha,000001,000043_0,0.5175421,7
BrunoMars,EunwooCha,000001,000044_0,0.39663073,6
BrunoMars,EunwooCha,000001,000050_0,0.54279613,8
BrunoMars,EunwooCha,000001,000052_0,0.4066279,7
BrunoMars,EunwooCha,000001,000053_0,0.387739,8
BrunoMars,EunwooCha,000001,000055_0,0.46392408,9
BrunoMars,EunwooCha,000001,000057_0,0.4794919,10
BrunoMars,EunwooCha,000001,000058_0,0.41936466,7
BrunoMars,EunwooCha,000001,000060_0,0.44078732,9
BrunoMars,EunwooCha,000001,000065_0,0.4143117,10
BrunoMars,EunwooCha,000001,000066_0,0.4042776,9
BrunoMars,EunwooCha,000001,000067_0,0.3997656,9
BrunoMars,EunwooCha,000001,000069_0,0.3876476,7
