celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
BrunoMars,FanBingbing,000001,000001,0.5220778,8
BrunoMars,FanBingbing,000001,000003,0.5395868,11
BrunoMars,FanBingbing,000001,000004,0.5997368,10
BrunoMars,FanBingbing,000001,000007,0.4841702,10
BrunoMars,FanBingbing,000001,000008,0.5651178,9
BrunoMars,FanBingbing,000001,000009,0.5869224,10
BrunoMars,FanBingbing,000001,000012,0.68070936,9
BrunoMars,FanBingbing,000001,000013,0.5685522,10
BrunoMars,FanBingbing,000001,000019,0.58723164,10
BrunoMars,FanBingbing,000001,000020,0.58075666,9
BrunoMars,FanBingbing,000001,000025,0.59634507,10
BrunoMars,FanBingbing,000001,000026,0.49405304,10
BrunoMars,FanBingbing,000001,000027,0.49131888,10
BrunoMars,FanBingbing,000001,000031,0.55512255,9
BrunoMars,FanBingbing,000001,000034,0.51728404,10
BrunoMars,FanBingbing,000001,000035,0.48854297,9
BrunoMars,FanBingbing,000001,000036,0.5638529,10
BrunoMars,FanBingbing,000001,000037,0.6373913,8
BrunoMars,FanBingbing,000001,000041,0.4467461,6
BrunoMars,FanBingbing,000001,000042,0.5524111,9
BrunoMars,FanBingbing,000001,000044,0.4845876,8
BrunoMars,FanBingbing,000001,000046,0.50387585,10
BrunoMars,FanBingbing,000001,000047,0.54229116,8
BrunoMars,FanBingbing,000001,000049,0.54251313,9
BrunoMars,FanBingbing,000001,000050,0.46199417,10
BrunoMars,FanBingbing,000001,000053,0.5987942,11
BrunoMars,FanBingbing,000001,000056,0.3912144,8
BrunoMars,FanBingbing,000001,000058,0.59540606,8
BrunoMars,FanBingbing,000001,000059,0.61598206,9
BrunoMars,FanBingbing,000001,000070,0.5941707,9
BrunoMars,FanBingbing,000001,000071,0.6271627,9
BrunoMars,FanBingbing,000001,000072,0.386627,6
BrunoMars,FanBingbing,000001,000078,0.45610544,8
BrunoMars,FanBingbing,000001,000082,0.47220126,10
BrunoMars,FanBingbing,000001,000085,0.49899045,10
BrunoMars,FanBingbing,000001,000086,0.59397286,9
BrunoMars,FanBingbing,000001,000088,0.543068,9
BrunoMars,FanBingbing,000001,000090,0.45944732,9
BrunoMars,FanBingbing,000001,000094,0.5011413,8
BrunoMars,FanBingbing,000001,000095,0.4817769,10
BrunoMars,FanBingbing,000001,000112,0.5156373,10
BrunoMars,FanBingbing,000001,000118,0.43392703,7
BrunoMars,FanBingbing,000001,000120,0.41677707,8
BrunoMars,FanBingbing,000001,000121,0.60816264,9
BrunoMars,FanBingbing,000001,000122,0.5041669,10
BrunoMars,FanBingbing,000001,123,0.46248394,10
BrunoMars,FanBingbing,000001,124,0.5034465,9
BrunoMars,FanBingbing,000001,125,0.42030603,10
BrunoMars,FanBingbing,000001,127,0.48980248,9
BrunoMars,FanBingbing,000001,128,0.44105682,7
BrunoMars,FanBingbing,000002,000001,0.5116125,8
BrunoMars,FanBingbing,000002,000003,0.556272,11
BrunoMars,FanBingbing,000002,000004,0.513181,10
BrunoMars,FanBingbing,000002,000007,0.50532347,10
BrunoMars,FanBingbing,000002,000008,0.5736054,9
BrunoMars,FanBingbing,000002,000009,0.5135581,10
BrunoMars,FanBingbing,000002,000012,0.45214292,9
BrunoMars,FanBingbing,000002,000013,0.5305735,10
BrunoMars,FanBingbing,000002,000019,0.57523614,10
BrunoMars,FanBingbing,000002,000020,0.6287416,9
BrunoMars,FanBingbing,000002,000025,0.5033504,10
BrunoMars,FanBingbing,000002,000026,0.55056703,10
BrunoMars,FanBingbing,000002,000027,0.58623725,10
BrunoMars,FanBingbing,000002,000031,0.517022,9
BrunoMars,FanBingbing,000002,000034,0.5758405,10
BrunoMars,FanBingbing,000002,000035,0.5000621,9
BrunoMars,FanBingbing,000002,000036,0.570731,10
BrunoMars,FanBingbing,000002,000037,0.48800445,8
BrunoMars,FanBingbing,000002,000041,0.45908102,6
BrunoMars,FanBingbing,000002,000042,0.4464817,9
BrunoMars,FanBingbing,000002,000044,0.4921627,8
BrunoMars,FanBingbing,000002,000046,0.54520965,10
BrunoMars,FanBingbing,000002,000047,0.48092803,8
BrunoMars,FanBingbing,000002,000049,0.5317443,9
BrunoMars,FanBingbing,000002,000050,0.4857025,10
BrunoMars,FanBingbing,000002,000053,0.59880394,11
BrunoMars,FanBingbing,000002,000056,0.43138605,8
BrunoMars,FanBingbing,000002,000058,0.49334508,8
BrunoMars,FanBingbing,000002,000059,0.51416135,9
BrunoMars,FanBingbing,000002,000070,0.5455024,9
BrunoMars,FanBingbing,000002,000071,0.5789806,9
BrunoMars,FanBingbing,000002,000072,0.47205222,6
BrunoMars,FanBingbing,000002,000078,0.5322952,8
BrunoMars,FanBingbing,000002,000082,0.5559384,10
BrunoMars,FanBingbing,000002,000085,0.5673115,10
BrunoMars,FanBingbing,000002,000086,0.54116356,9
BrunoMars,FanBingbing,000002,000088,0.5305236,9
BrunoMars,FanBingbing,000002,000090,0.5504781,9
BrunoMars,FanBingbing,000002,000094,0.558556,8
BrunoMars,FanBingbing,000002,000095,0.52442783,10
BrunoMars,FanBingbing,000002,000112,0.5746977,10
BrunoMars,FanBingbing,000002,000118,0.47681126,7
BrunoMars,FanBingbing,000002,000120,0.5016317,8
BrunoMars,FanBingbing,000002,000121,0.6020521,9
BrunoMars,FanBingbing,000002,000122,0.40355524,10
BrunoMars,FanBingbing,000002,123,0.51930165,10
BrunoMars,FanBingbing,000002,124,0.5412297,9
BrunoMars,FanBingbing,000002,125,0.4817005,10
BrunoMars,FanBingbing,000002,127,0.42063925,9
BrunoMars,FanBingbing,000002,128,0.5096148,7
BrunoMars,FanBingbing,000005,000001,0.47049198,6
BrunoMars,FanBingbing,000005,000003,0.49598172,7
BrunoMars,FanBingbing,000005,000004,0.407512,7
BrunoMars,FanBingbing,000005,000007,0.3556328,7
BrunoMars,FanBingbing,000005,000008,0.47966635,6
BrunoMars,FanBingbing,000005,000009,0.4026961,6
BrunoMars,FanBingbing,000005,000012,0.5005039,7
BrunoMars,FanBingbing,000005,000013,0.46137294,7
BrunoMars,FanBingbing,000005,000019,0.47356597,7
BrunoMars,FanBingbing,000005,000020,0.51874405,6
BrunoMars,FanBingbing,000005,000025,0.40097252,6
BrunoMars,FanBingbing,000005,000026,0.41850218,6
BrunoMars,FanBingbing,000005,000027,0.424305,7
BrunoMars,FanBingbing,000005,000031,0.49793324,6
BrunoMars,FanBingbing,000005,000034,0.41926128,7
BrunoMars,FanBingbing,000005,000035,0.44504485,7
BrunoMars,FanBingbing,000005,000036,0.48627862,6
BrunoMars,FanBingbing,000005,000037,0.45607653,6
BrunoMars,FanBingbing,000005,000041,0.5468798,6
BrunoMars,FanBingbing,000005,000042,0.38914755,6
BrunoMars,FanBingbing,000005,000044,0.616255,6
BrunoMars,FanBingbing,000005,000046,0.43374795,7
BrunoMars,FanBingbing,000005,000047,0.47731325,6
BrunoMars,FanBingbing,000005,000049,0.45986712,6
BrunoMars,FanBingbing,000005,000050,0.6125986,6
BrunoMars,FanBingbing,000005,000053,0.5485465,7
BrunoMars,FanBingbing,000005,000056,0.525751,7
BrunoMars,FanBingbing,000005,000058,0.44064942,6
BrunoMars,FanBingbing,000005,000059,0.40439272,6
BrunoMars,FanBingbing,000005,000070,0.46993837,7
BrunoMars,FanBingbing,000005,000071,0.51472324,6
BrunoMars,FanBingbing,000005,000072,0.5243659,6
BrunoMars,FanBingbing,000005,000078,0.45951283,6
BrunoMars,FanBingbing,000005,000082,0.37484878,7
BrunoMars,FanBingbing,000005,000085,0.45339662,7
BrunoMars,FanBingbing,000005,000086,0.5680987,7
BrunoMars,FanBingbing,000005,000088,0.4497342,6
BrunoMars,FanBingbing,000005,000090,0.4110963,6
BrunoMars,FanBingbing,000005,000094,0.44616783,6
BrunoMars,FanBingbing,000005,000095,0.40349197,7
BrunoMars,FanBingbing,000005,000112,0.46264404,7
BrunoMars,FanBingbing,000005,000118,0.5648169,6
BrunoMars,FanBingbing,000005,000120,0.5252268,6
BrunoMars,FanBingbing,000005,000121,0.4777672,6
BrunoMars,FanBingbing,000005,000122,0.37080523,6
BrunoMars,FanBingbing,000005,123,0.39054558,6
BrunoMars,FanBingbing,000005,124,0.42514956,6
BrunoMars,FanBingbing,000005,125,0.5286979,7
BrunoMars,FanBingbing,000005,127,0.38911733,6
BrunoMars,FanBingbing,000005,128,0.60972637,7
BrunoMars,FanBingbing,000006,000001,0.51615596,4
BrunoMars,FanBingbing,000006,000003,0.5307639,6
BrunoMars,FanBingbing,000006,000004,0.3701724,5
BrunoMars,FanBingbing,000006,000007,0.32080206,5
BrunoMars,FanBingbing,000006,000008,0.45173302,5
BrunoMars,FanBingbing,000006,000009,0.415785,5
BrunoMars,FanBingbing,000006,000012,0.49027386,5
BrunoMars,FanBingbing,000006,000013,0.4890662,6
BrunoMars,FanBingbing,000006,000019,0.47851968,6
BrunoMars,FanBingbing,000006,000020,0.53370345,5
BrunoMars,FanBingbing,000006,000025,0.41157573,5
BrunoMars,FanBingbing,000006,000026,0.3912416,5
BrunoMars,FanBingbing,000006,000027,0.44812903,6
BrunoMars,FanBingbing,000006,000031,0.5564508,4
BrunoMars,FanBingbing,000006,000034,0.4109942,6
BrunoMars,FanBingbing,000006,000035,0.41223612,5
BrunoMars,FanBingbing,000006,000036,0.5533558,5
BrunoMars,FanBingbing,000006,000037,0.44483438,4
BrunoMars,FanBingbing,000006,000041,0.41342336,4
BrunoMars,FanBingbing,000006,000042,0.37686485,4
BrunoMars,FanBingbing,000006,000044,0.50394815,4
BrunoMars,FanBingbing,000006,000046,0.4133088,5
BrunoMars,FanBingbing,000006,000047,0.52923894,4
BrunoMars,FanBingbing,000006,000049,0.47482324,5
BrunoMars,FanBingbing,000006,000050,0.47194585,5
BrunoMars,FanBingbing,000006,000053,0.603592,6
BrunoMars,FanBingbing,000006,000056,0.38623685,5
BrunoMars,FanBingbing,000006,000058,0.4724203,4
BrunoMars,FanBingbing,000006,000059,0.44203815,5
BrunoMars,FanBingbing,000006,000070,0.5004552,5
BrunoMars,FanBingbing,000006,000071,0.5268942,5
BrunoMars,FanBingbing,000006,000072,0.43016723,4
BrunoMars,FanBingbing,000006,000078,0.4441079,4
BrunoMars,FanBingbing,000006,000082,0.36563078,6
BrunoMars,FanBingbing,000006,000085,0.4663063,6
BrunoMars,FanBingbing,000006,000086,0.58814716,5
BrunoMars,FanBingbing,000006,000088,0.4309351,4
BrunoMars,FanBingbing,000006,000090,0.49894696,5
BrunoMars,FanBingbing,000006,000094,0.40793526,4
BrunoMars,FanBingbing,000006,000095,0.34724167,5
BrunoMars,FanBingbing,000006,000112,0.4535277,6
BrunoMars,FanBingbing,000006,000118,0.45286688,5
BrunoMars,FanBingbing,000006,000120,0.41855335,4
BrunoMars,FanBingbing,000006,000121,0.4331645,4
BrunoMars,FanBingbing,000006,000122,0.38908958,5
BrunoMars,FanBingbing,000006,123,0.3613847,5
BrunoMars,FanBingbing,000006,124,0.40974474,4
BrunoMars,FanBingbing,000006,125,0.4195982,6
BrunoMars,FanBingbing,000006,127,0.4124953,5
BrunoMars,FanBingbing,000006,128,0.50200015,5
BrunoMars,FanBingbing,000008,000001,0.5373595,8
BrunoMars,FanBingbing,000008,000003,0.57995075,9
BrunoMars,FanBingbing,000008,000004,0.5907067,9
BrunoMars,FanBingbing,000008,000007,0.66156274,9
BrunoMars,FanBingbing,000008,000008,0.63905895,8
BrunoMars,FanBingbing,000008,000009,0.6247463,8
BrunoMars,FanBingbing,000008,000012,0.4189879,9
BrunoMars,FanBingbing,000008,000013,0.4943868,9
BrunoMars,FanBingbing,000008,000019,0.5457789,9
BrunoMars,FanBingbing,000008,000020,0.6405385,8
BrunoMars,FanBingbing,000008,000025,0.54990333,8
BrunoMars,FanBingbing,000008,000026,0.54805803,8
BrunoMars,FanBingbing,000008,000027,0.60048443,9
BrunoMars,FanBingbing,000008,000031,0.5348144,8
BrunoMars,FanBingbing,000008,000034,0.6292999,9
BrunoMars,FanBingbing,000008,000035,0.5955358,9
BrunoMars,FanBingbing,000008,000036,0.6476905,8
BrunoMars,FanBingbing,000008,000037,0.51495516,8
BrunoMars,FanBingbing,000008,000041,0.4091598,6
BrunoMars,FanBingbing,000008,000042,0.48664826,8
BrunoMars,FanBingbing,000008,000044,0.4736226,8
BrunoMars,FanBingbing,000008,000046,0.58703107,9
BrunoMars,FanBingbing,000008,000047,0.5137117,8
BrunoMars,FanBingbing,000008,000049,0.5269346,8
BrunoMars,FanBingbing,000008,000050,0.4620346,8
BrunoMars,FanBingbing,000008,000053,0.5323516,9
BrunoMars,FanBingbing,000008,000056,0.49882856,8
BrunoMars,FanBingbing,000008,000058,0.5716381,8
BrunoMars,FanBingbing,000008,000059,0.53766716,8
BrunoMars,FanBingbing,000008,000070,0.56422955,9
BrunoMars,FanBingbing,000008,000071,0.5807024,8
BrunoMars,FanBingbing,000008,000072,0.4905515,6
BrunoMars,FanBingbing,000008,000078,0.57306457,8
BrunoMars,FanBingbing,000008,000082,0.6192339,9
BrunoMars,FanBingbing,000008,000085,0.63403666,9
BrunoMars,FanBingbing,000008,000086,0.49834087,9
BrunoMars,FanBingbing,000008,000088,0.53240645,8
BrunoMars,FanBingbing,000008,000090,0.5572572,8
BrunoMars,FanBingbing,000008,000094,0.6546229,8
BrunoMars,FanBingbing,000008,000095,0.6019304,9
BrunoMars,FanBingbing,000008,000112,0.58973306,9
BrunoMars,FanBingbing,000008,000118,0.51835304,6
BrunoMars,FanBingbing,000008,000120,0.52656686,8
BrunoMars,FanBingbing,000008,000121,0.632255,8
BrunoMars,FanBingbing,000008,000122,0.3279169,8
BrunoMars,FanBingbing,000008,123,0.49997744,8
BrunoMars,FanBingbing,000008,124,0.55282587,8
BrunoMars,FanBingbing,000008,125,0.53024256,9
BrunoMars,FanBingbing,000008,127,0.50574374,8
BrunoMars,FanBingbing,000008,128,0.5528707,7
BrunoMars,FanBingbing,000024,000001,0.49275607,8
BrunoMars,FanBingbing,000024,000003,0.5465547,10
BrunoMars,FanBingbing,000024,000004,0.5850055,9
BrunoMars,FanBingbing,000024,000007,0.53941965,9
BrunoMars,FanBingbing,000024,000008,0.58528954,9
BrunoMars,FanBingbing,000024,000009,0.54051834,10
BrunoMars,FanBingbing,000024,000012,0.54539114,8
BrunoMars,FanBingbing,000024,000013,0.5264665,9
BrunoMars,FanBingbing,000024,000019,0.5096337,9
BrunoMars,FanBingbing,000024,000020,0.6073692,9
BrunoMars,FanBingbing,000024,000025,0.55685246,10
BrunoMars,FanBingbing,000024,000026,0.5298765,10
BrunoMars,FanBingbing,000024,000027,0.58491135,9
BrunoMars,FanBingbing,000024,000031,0.50603056,9
BrunoMars,FanBingbing,000024,000034,0.5947266,9
BrunoMars,FanBingbing,000024,000035,0.5420481,8
BrunoMars,FanBingbing,000024,000036,0.57169557,10
BrunoMars,FanBingbing,000024,000037,0.5437472,8
BrunoMars,FanBingbing,000024,000041,0.47201896,6
BrunoMars,FanBingbing,000024,000042,0.51340175,9
BrunoMars,FanBingbing,000024,000044,0.49000132,8
BrunoMars,FanBingbing,000024,000046,0.54005724,9
BrunoMars,FanBingbing,000024,000047,0.50796914,8
BrunoMars,FanBingbing,000024,000049,0.5716005,9
BrunoMars,FanBingbing,000024,000050,0.4857747,10
BrunoMars,FanBingbing,000024,000053,0.56689566,10
BrunoMars,FanBingbing,000024,000056,0.47871333,7
BrunoMars,FanBingbing,000024,000058,0.53062165,8
BrunoMars,FanBingbing,000024,000059,0.5535225,9
BrunoMars,FanBingbing,000024,000070,0.56716704,8
BrunoMars,FanBingbing,000024,000071,0.607635,9
BrunoMars,FanBingbing,000024,000072,0.4304252,6
BrunoMars,FanBingbing,000024,000078,0.46631825,8
BrunoMars,FanBingbing,000024,000082,0.58484375,9
BrunoMars,FanBingbing,000024,000085,0.5499766,9
BrunoMars,FanBingbing,000024,000086,0.5123495,8
BrunoMars,FanBingbing,000024,000088,0.5629115,9
BrunoMars,FanBingbing,000024,000090,0.57428813,9
BrunoMars,FanBingbing,000024,000094,0.523687,8
BrunoMars,FanBingbing,000024,000095,0.55137086,9
BrunoMars,FanBingbing,000024,000112,0.5545267,9
BrunoMars,FanBingbing,000024,000118,0.48664427,7
BrunoMars,FanBingbing,000024,000120,0.5014337,8
BrunoMars,FanBingbing,000024,000121,0.59979784,9
BrunoMars,FanBingbing,000024,000122,0.467619,10
BrunoMars,FanBingbing,000024,123,0.5843898,10
BrunoMars,FanBingbing,000024,124,0.5598026,9
BrunoMars,FanBingbing,000024,125,0.49231803,9
BrunoMars,FanBingbing,000024,127,0.49843374,9
BrunoMars,FanBingbing,000024,128,0.45180306,6
BrunoMars,FanBingbing,000025,000001,0.50859237,8
BrunoMars,FanBingbing,000025,000003,0.5022664,9
BrunoMars,FanBingbing,000025,000004,0.44723794,8
BrunoMars,FanBingbing,000025,000007,0.49668092,8
BrunoMars,FanBingbing,000025,000008,0.47758526,9
BrunoMars,FanBingbing,000025,000009,0.46139288,9
BrunoMars,FanBingbing,000025,000012,0.38556,8
BrunoMars,FanBingbing,000025,000013,0.44938266,9
BrunoMars,FanBingbing,000025,000019,0.5347881,9
BrunoMars,FanBingbing,000025,000020,0.57247,9
BrunoMars,FanBingbing,000025,000025,0.44244602,9
BrunoMars,FanBingbing,000025,000026,0.5082183,9
BrunoMars,FanBingbing,000025,000027,0.5268395,9
BrunoMars,FanBingbing,000025,000031,0.47389826,8
BrunoMars,FanBingbing,000025,000034,0.47080156,9
BrunoMars,FanBingbing,000025,000035,0.4789055,8
BrunoMars,FanBingbing,000025,000036,0.57932824,9
BrunoMars,FanBingbing,000025,000037,0.39236546,8
BrunoMars,FanBingbing,000025,000041,0.39108753,6
BrunoMars,FanBingbing,000025,000042,0.38863635,8
BrunoMars,FanBingbing,000025,000044,0.46978736,8
BrunoMars,FanBingbing,000025,000046,0.56287897,8
BrunoMars,FanBingbing,000025,000047,0.47603542,8
BrunoMars,FanBingbing,000025,000049,0.51998794,9
BrunoMars,FanBingbing,000025,000050,0.48351276,9
BrunoMars,FanBingbing,000025,000053,0.58024967,9
BrunoMars,FanBingbing,000025,000056,0.4142343,7
BrunoMars,FanBingbing,000025,000058,0.46266693,8
BrunoMars,FanBingbing,000025,000059,0.42009938,9
BrunoMars,FanBingbing,000025,000070,0.50045013,8
BrunoMars,FanBingbing,000025,000071,0.49327406,9
BrunoMars,FanBingbing,000025,000072,0.47300196,6
BrunoMars,FanBingbing,000025,000078,0.47514275,8
BrunoMars,FanBingbing,000025,000082,0.46685806,9
BrunoMars,FanBingbing,000025,000085,0.54120415,9
BrunoMars,FanBingbing,000025,000086,0.5143095,8
BrunoMars,FanBingbing,000025,000088,0.4989735,8
BrunoMars,FanBingbing,000025,000090,0.50303173,9
BrunoMars,FanBingbing,000025,000094,0.5014757,8
BrunoMars,FanBingbing,000025,000095,0.46824646,8
BrunoMars,FanBingbing,000025,000112,0.5057983,9
BrunoMars,FanBingbing,000025,000118,0.44651031,7
BrunoMars,FanBingbing,000025,000120,0.48947352,8
BrunoMars,FanBingbing,000025,000121,0.50903773,8
BrunoMars,FanBingbing,000025,000122,0.32730532,9
BrunoMars,FanBingbing,000025,123,0.42846102,9
BrunoMars,FanBingbing,000025,124,0.48693973,8
BrunoMars,FanBingbing,000025,125,0.45657074,9
BrunoMars,FanBingbing,000025,127,0.36075175,9
BrunoMars,FanBingbing,000025,128,0.51404953,6
BrunoMars,FanBingbing,000030,000001,0.58310664,8
BrunoMars,FanBingbing,000030,000003,0.52536684,8
BrunoMars,FanBingbing,000030,000004,0.60703695,8
BrunoMars,FanBingbing,000030,000007,0.51795214,8
BrunoMars,FanBingbing,000030,000008,0.56699467,8
BrunoMars,FanBingbing,000030,000009,0.58526194,8
BrunoMars,FanBingbing,000030,000012,0.5193279,8
BrunoMars,FanBingbing,000030,000013,0.48671466,8
BrunoMars,FanBingbing,000030,000019,0.58034486,8
BrunoMars,FanBingbing,000030,000020,0.5777167,8
BrunoMars,FanBingbing,000030,000025,0.571686,8
BrunoMars,FanBingbing,000030,000026,0.52145684,8
BrunoMars,FanBingbing,000030,000027,0.5384075,8
BrunoMars,FanBingbing,000030,000031,0.53538775,8
BrunoMars,FanBingbing,000030,000034,0.5673239,8
BrunoMars,FanBingbing,000030,000035,0.5794679,8
BrunoMars,FanBingbing,000030,000036,0.56744957,8
BrunoMars,FanBingbing,000030,000037,0.5973383,8
BrunoMars,FanBingbing,000030,000041,0.42567837,6
BrunoMars,FanBingbing,000030,000042,0.5329232,8
BrunoMars,FanBingbing,000030,000044,0.4793002,8
BrunoMars,FanBingbing,000030,000046,0.5822355,8
BrunoMars,FanBingbing,000030,000047,0.59924614,8
BrunoMars,FanBingbing,000030,000049,0.5746095,8
BrunoMars,FanBingbing,000030,000050,0.4916757,8
BrunoMars,FanBingbing,000030,000053,0.5738734,8
BrunoMars,FanBingbing,000030,000056,0.4226221,7
BrunoMars,FanBingbing,000030,000058,0.5790541,8
BrunoMars,FanBingbing,000030,000059,0.58808476,8
BrunoMars,FanBingbing,000030,000070,0.5652095,8
BrunoMars,FanBingbing,000030,000071,0.5435759,8
BrunoMars,FanBingbing,000030,000072,0.5011479,6
BrunoMars,FanBingbing,000030,000078,0.49472773,8
BrunoMars,FanBingbing,000030,000082,0.5432962,8
BrunoMars,FanBingbing,000030,000085,0.55128884,8
BrunoMars,FanBingbing,000030,000086,0.57401425,8
BrunoMars,FanBingbing,000030,000088,0.5670445,8
BrunoMars,FanBingbing,000030,000090,0.4912811,8
BrunoMars,FanBingbing,000030,000094,0.55911994,8
BrunoMars,FanBingbing,000030,000095,0.54370654,8
BrunoMars,FanBingbing,000030,000112,0.5152487,8
BrunoMars,FanBingbing,000030,000118,0.40721095,6
BrunoMars,FanBingbing,000030,000120,0.4490471,8
BrunoMars,FanBingbing,000030,000121,0.548522,8
BrunoMars,FanBingbing,000030,000122,0.4196556,8
BrunoMars,FanBingbing,000030,123,0.45541343,8
BrunoMars,FanBingbing,000030,124,0.5388421,8
BrunoMars,FanBingbing,000030,125,0.46926773,8
BrunoMars,FanBingbing,000030,127,0.4825858,8
