celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
BrunoMars,IshiharaSatomi,000001,000003,0.3962945,7
BrunoMars,IshiharaSatomi,000001,000004,0.57032883,9
BrunoMars,IshiharaSatomi,000001,000009,0.49407995,6
BrunoMars,IshiharaSatomi,000001,000010,0.39160684,8
BrunoMars,IshiharaSatomi,000001,000011,0.5383605,10
BrunoMars,IshiharaSatomi,000001,000012,0.6056058,9
BrunoMars,IshiharaSatomi,000001,000014,0.4467244,8
BrunoMars,IshiharaSatomi,000001,000015,0.48293072,8
BrunoMars,IshiharaSatomi,000001,000017,0.39892632,7
BrunoMars,IshiharaSatomi,000001,000019,0.47440824,7
BrunoMars,IshiharaSatomi,000001,000020,0.5144496,9
BrunoMars,IshiharaSatomi,000001,000021,0.528551,10
BrunoMars,IshiharaSatomi,000001,000022,0.43927762,7
BrunoMars,IshiharaSatomi,000001,000023,0.5234382,7
BrunoMars,IshiharaSatomi,000001,000025,0.42442563,7
BrunoMars,IshiharaSatomi,000001,000026,0.53708994,10
BrunoMars,IshiharaSatomi,000001,000029,0.3885076,7
BrunoMars,IshiharaSatomi,000001,000031,0.53836894,8
BrunoMars,IshiharaSatomi,000001,000033,0.54460716,9
BrunoMars,IshiharaSatomi,000001,000035,0.47938693,9
BrunoMars,IshiharaSatomi,000001,000039,0.5042068,8
BrunoMars,IshiharaSatomi,000001,000042,0.5320837,8
BrunoMars,IshiharaSatomi,000001,000045,0.57815015,9
BrunoMars,IshiharaSatomi,000001,000047,0.43059132,7
BrunoMars,IshiharaSatomi,000001,000048,0.49280363,9
BrunoMars,IshiharaSatomi,000001,000049,0.62710404,8
BrunoMars,IshiharaSatomi,000001,000051,0.58475184,9
BrunoMars,IshiharaSatomi,000001,000052,0.4494518,9
BrunoMars,IshiharaSatomi,000001,000054,0.5865761,8
BrunoMars,IshiharaSatomi,000001,000059,0.5409143,9
BrunoMars,IshiharaSatomi,000001,000060,0.59671426,10
BrunoMars,IshiharaSatomi,000001,000061,0.49027428,8
BrunoMars,IshiharaSatomi,000001,000063,0.35810775,7
BrunoMars,IshiharaSatomi,000001,000065,0.46499905,6
BrunoMars,IshiharaSatomi,000001,000066,0.4749244,8
BrunoMars,IshiharaSatomi,000001,000069,0.54981387,8
BrunoMars,IshiharaSatomi,000001,000070,0.51343954,6
BrunoMars,IshiharaSatomi,000001,000071,0.4746277,8
BrunoMars,IshiharaSatomi,000001,000076,0.3582879,7
BrunoMars,IshiharaSatomi,000001,000079,0.5052487,8
BrunoMars,IshiharaSatomi,000001,000081,0.45472383,8
BrunoMars,IshiharaSatomi,000001,000082,0.5289085,9
BrunoMars,IshiharaSatomi,000001,000083,0.4468077,7
BrunoMars,IshiharaSatomi,000001,000084,0.47959334,7
BrunoMars,IshiharaSatomi,000001,000086,0.47843632,10
BrunoMars,IshiharaSatomi,000001,000089,0.4267608,6
BrunoMars,IshiharaSatomi,000001,000095,0.44209352,7
BrunoMars,IshiharaSatomi,000001,000097,0.44485956,8
BrunoMars,IshiharaSatomi,000001,000100,0.40620488,7
BrunoMars,IshiharaSatomi,000001,000101,0.4216893,7
BrunoMars,IshiharaSatomi,000002,000003,0.49586287,7
BrunoMars,IshiharaSatomi,000002,000004,0.5063993,9
BrunoMars,IshiharaSatomi,000002,000009,0.50115377,6
BrunoMars,IshiharaSatomi,000002,000010,0.41834086,8
BrunoMars,IshiharaSatomi,000002,000011,0.55291855,10
BrunoMars,IshiharaSatomi,000002,000012,0.58214694,9
BrunoMars,IshiharaSatomi,000002,000014,0.4460841,8
BrunoMars,IshiharaSatomi,000002,000015,0.45262885,8
BrunoMars,IshiharaSatomi,000002,000017,0.5033765,7
BrunoMars,IshiharaSatomi,000002,000019,0.5048527,7
BrunoMars,IshiharaSatomi,000002,000020,0.49369198,9
BrunoMars,IshiharaSatomi,000002,000021,0.5144368,10
BrunoMars,IshiharaSatomi,000002,000022,0.42492014,7
BrunoMars,IshiharaSatomi,000002,000023,0.5690002,7
BrunoMars,IshiharaSatomi,000002,000025,0.44006038,7
BrunoMars,IshiharaSatomi,000002,000026,0.5293928,10
BrunoMars,IshiharaSatomi,000002,000029,0.48066384,7
BrunoMars,IshiharaSatomi,000002,000031,0.54342425,8
BrunoMars,IshiharaSatomi,000002,000033,0.5415146,9
BrunoMars,IshiharaSatomi,000002,000035,0.5422652,9
BrunoMars,IshiharaSatomi,000002,000039,0.55052644,8
BrunoMars,IshiharaSatomi,000002,000042,0.64727676,8
BrunoMars,IshiharaSatomi,000002,000045,0.55751234,9
BrunoMars,IshiharaSatomi,000002,000047,0.4789888,7
BrunoMars,IshiharaSatomi,000002,000048,0.61582166,9
BrunoMars,IshiharaSatomi,000002,000049,0.57924503,8
BrunoMars,IshiharaSatomi,000002,000051,0.5472885,9
BrunoMars,IshiharaSatomi,000002,000052,0.51126915,9
BrunoMars,IshiharaSatomi,000002,000054,0.56670165,8
BrunoMars,IshiharaSatomi,000002,000059,0.5788338,9
BrunoMars,IshiharaSatomi,000002,000060,0.5007743,10
BrunoMars,IshiharaSatomi,000002,000061,0.5673064,8
BrunoMars,IshiharaSatomi,000002,000063,0.45347697,7
BrunoMars,IshiharaSatomi,000002,000065,0.5146696,6
BrunoMars,IshiharaSatomi,000002,000066,0.5181695,8
BrunoMars,IshiharaSatomi,000002,000069,0.54831105,8
BrunoMars,IshiharaSatomi,000002,000070,0.56218344,6
BrunoMars,IshiharaSatomi,000002,000071,0.49252182,8
BrunoMars,IshiharaSatomi,000002,000076,0.49357733,7
BrunoMars,IshiharaSatomi,000002,000079,0.52686775,8
BrunoMars,IshiharaSatomi,000002,000081,0.4897931,8
BrunoMars,IshiharaSatomi,000002,000082,0.598386,9
BrunoMars,IshiharaSatomi,000002,000083,0.5194461,7
BrunoMars,IshiharaSatomi,000002,000084,0.4967657,7
BrunoMars,IshiharaSatomi,000002,000086,0.45472708,10
BrunoMars,IshiharaSatomi,000002,000089,0.49575067,6
BrunoMars,IshiharaSatomi,000002,000095,0.5088328,7
BrunoMars,IshiharaSatomi,000002,000097,0.44957033,8
BrunoMars,IshiharaSatomi,000002,000100,0.43505865,7
BrunoMars,IshiharaSatomi,000002,000101,0.46214357,7
BrunoMars,IshiharaSatomi,000005,000003,0.51010156,7
BrunoMars,IshiharaSatomi,000005,000004,0.41269544,7
BrunoMars,IshiharaSatomi,000005,000009,0.68879986,6
BrunoMars,IshiharaSatomi,000005,000010,0.37669098,6
BrunoMars,IshiharaSatomi,000005,000011,0.41878274,7
BrunoMars,IshiharaSatomi,000005,000012,0.5816855,7
BrunoMars,IshiharaSatomi,000005,000014,0.578411,6
BrunoMars,IshiharaSatomi,000005,000015,0.60608166,6
BrunoMars,IshiharaSatomi,000005,000017,0.46655014,7
BrunoMars,IshiharaSatomi,000005,000019,0.6213868,7
BrunoMars,IshiharaSatomi,000005,000020,0.4406739,7
BrunoMars,IshiharaSatomi,000005,000021,0.5160252,7
BrunoMars,IshiharaSatomi,000005,000022,0.5324888,7
BrunoMars,IshiharaSatomi,000005,000023,0.5667048,5
BrunoMars,IshiharaSatomi,000005,000025,0.5585893,7
BrunoMars,IshiharaSatomi,000005,000026,0.5534132,7
BrunoMars,IshiharaSatomi,000005,000029,0.5466016,7
BrunoMars,IshiharaSatomi,000005,000031,0.48582375,6
BrunoMars,IshiharaSatomi,000005,000033,0.45972753,7
BrunoMars,IshiharaSatomi,000005,000035,0.44572225,7
BrunoMars,IshiharaSatomi,000005,000039,0.4108831,6
BrunoMars,IshiharaSatomi,000005,000042,0.568474,6
BrunoMars,IshiharaSatomi,000005,000045,0.5256578,6
BrunoMars,IshiharaSatomi,000005,000047,0.42907256,5
BrunoMars,IshiharaSatomi,000005,000048,0.45677567,7
BrunoMars,IshiharaSatomi,000005,000049,0.48450282,6
