celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
BrunoMars,JKRowling,000001,000005,0.5755982,10
BrunoMars,JKRowling,000001,000008,0.5603146,9
BrunoMars,JKRowling,000001,000009,0.4965318,9
BrunoMars,JKRowling,000001,000010,0.509265,10
BrunoMars,JKRowling,000001,000012,0.5253805,8
BrunoMars,JKRowling,000001,000014,0.54407376,9
BrunoMars,JKRowling,000001,000015,0.45621887,9
BrunoMars,JKRowling,000001,000017,0.5454724,8
BrunoMars,JKRowling,000001,000018,0.52719384,9
BrunoMars,JKRowling,000001,000021,0.6210718,9
BrunoMars,JKRowling,000001,000022,0.5043738,10
BrunoMars,JKRowling,000001,000027,0.43966183,10
BrunoMars,JKRowling,000001,000029,0.48865741,10
BrunoMars,JKRowling,000001,000030,0.51138383,9
BrunoMars,JKRowling,000001,000031,0.4783532,10
BrunoMars,JKRowling,000001,000032,0.38463408,10
BrunoMars,JKRowling,000001,000035,0.4837522,7
BrunoMars,JKRowling,000001,000036,0.56120384,9
BrunoMars,JKRowling,000001,000038,0.46580824,10
BrunoMars,JKRowling,000001,000041,0.5071227,9
BrunoMars,JKRowling,000001,000044,0.55536103,9
BrunoMars,JKRowling,000001,000045,0.510821,9
BrunoMars,JKRowling,000001,000047,0.5357095,10
BrunoMars,JKRowling,000001,000049,0.47981906,10
BrunoMars,JKRowling,000001,000051,0.58311385,10
BrunoMars,JKRowling,000001,000053,0.5131098,8
BrunoMars,JKRowling,000001,000055,0.6283608,9
BrunoMars,JKRowling,000001,000057,0.5529723,9
BrunoMars,JKRowling,000001,000060,0.4221111,7
BrunoMars,JKRowling,000001,000063,0.59116054,8
BrunoMars,JKRowling,000001,000065,0.55911255,9
BrunoMars,JKRowling,000001,000068,0.5630315,9
BrunoMars,JKRowling,000001,000071,0.4964235,9
BrunoMars,JKRowling,000001,000075,0.5210944,6
BrunoMars,JKRowling,000001,000076,0.5584556,9
BrunoMars,JKRowling,000001,000078,0.5130339,8
BrunoMars,JKRowling,000001,000079,0.44425556,6
BrunoMars,JKRowling,000001,000082,0.40542752,9
BrunoMars,JKRowling,000001,000085,0.50907075,7
BrunoMars,JKRowling,000001,000087,0.52271193,9
BrunoMars,JKRowling,000001,000090,0.48925367,10
BrunoMars,JKRowling,000001,000092,0.47827998,11
BrunoMars,JKRowling,000001,000094,0.54263407,10
BrunoMars,JKRowling,000001,000096,0.52135074,10
BrunoMars,JKRowling,000001,000097,0.5716209,9
BrunoMars,JKRowling,000001,000101,0.50943404,9
BrunoMars,JKRowling,000001,000102,0.46483618,8
BrunoMars,JKRowling,000001,106,0.5001712,9
BrunoMars,JKRowling,000001,110,0.41598004,7
BrunoMars,JKRowling,000001,111,0.3774167,6
BrunoMars,JKRowling,000002,000005,0.57140815,10
BrunoMars,JKRowling,000002,000008,0.5606456,9
BrunoMars,JKRowling,000002,000009,0.59341216,9
BrunoMars,JKRowling,000002,000010,0.5542675,10
BrunoMars,JKRowling,000002,000012,0.56941754,8
BrunoMars,JKRowling,000002,000014,0.5827404,9
BrunoMars,JKRowling,000002,000015,0.4179839,9
BrunoMars,JKRowling,000002,000017,0.51221687,8
BrunoMars,JKRowling,000002,000018,0.580395,9
BrunoMars,JKRowling,000002,000021,0.54980195,9
BrunoMars,JKRowling,000002,000022,0.5885419,10
BrunoMars,JKRowling,000002,000027,0.48828855,10
BrunoMars,JKRowling,000002,000029,0.49104,10
BrunoMars,JKRowling,000002,000030,0.60257536,9
BrunoMars,JKRowling,000002,000031,0.49248743,10
BrunoMars,JKRowling,000002,000032,0.48140717,10
BrunoMars,JKRowling,000002,000035,0.4937828,7
BrunoMars,JKRowling,000002,000036,0.51256645,9
BrunoMars,JKRowling,000002,000038,0.5800842,10
BrunoMars,JKRowling,000002,000041,0.5721897,9
BrunoMars,JKRowling,000002,000044,0.53381133,9
BrunoMars,JKRowling,000002,000045,0.6091178,9
BrunoMars,JKRowling,000002,000047,0.51461244,10
BrunoMars,JKRowling,000002,000049,0.5589968,10
BrunoMars,JKRowling,000002,000051,0.53245074,10
BrunoMars,JKRowling,000002,000053,0.5880363,8
BrunoMars,JKRowling,000002,000055,0.5494826,9
BrunoMars,JKRowling,000002,000057,0.6030534,9
BrunoMars,JKRowling,000002,000060,0.5092177,7
BrunoMars,JKRowling,000002,000063,0.6403866,8
