celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
BrunoMars,Jennie,000001,000001,0.5450105,9
BrunoMars,Jennie,000001,000003,0.36224106,7
BrunoMars,Jennie,000001,000004,0.42497453,7
BrunoMars,Jennie,000001,000005,0.50907856,11
BrunoMars,Jennie,000001,000006,0.41314238,8
BrunoMars,Jennie,000001,000007,0.5040176,11
BrunoMars,Jennie,000001,000010,0.62197244,8
BrunoMars,Jennie,000001,000011,0.52835095,8
BrunoMars,Jennie,000001,000012,0.42576385,9
BrunoMars,Jennie,000001,000013,0.41586888,8
BrunoMars,Jennie,000001,000014,0.40683162,9
BrunoMars,Jennie,000001,000015,0.5790409,8
BrunoMars,Jennie,000001,000023,0.4085831,9
BrunoMars,Jennie,000001,000024,0.5410329,10
BrunoMars,Jennie,000001,000025,0.5780697,8
BrunoMars,Jennie,000001,000026,0.60109705,9
BrunoMars,Jennie,000001,000028,0.6158083,11
BrunoMars,Jennie,000001,000030,0.4900418,9
BrunoMars,Jennie,000001,000033,0.53764313,9
BrunoMars,Jennie,000001,000035,0.5610647,9
BrunoMars,Jennie,000001,000036,0.498518,10
BrunoMars,Jennie,000001,000037,0.46532026,9
BrunoMars,Jennie,000001,000038,0.42009404,8
BrunoMars,Jennie,000001,000039,0.46024734,8
BrunoMars,Jennie,000001,000042,0.37700588,9
BrunoMars,Jennie,000001,000045,0.63495106,6
BrunoMars,Jennie,000001,000054,0.4044327,8
BrunoMars,Jennie,000001,000060,0.49204528,9
BrunoMars,Jennie,000001,000062,0.38770792,7
BrunoMars,Jennie,000001,000063,0.5105722,8
BrunoMars,Jennie,000001,000068,0.49570784,9
BrunoMars,Jennie,000001,000069,0.51976323,8
BrunoMars,Jennie,000001,000071,0.501826,9
BrunoMars,Jennie,000001,000073,0.41213602,9
BrunoMars,Jennie,000001,000074,0.61880076,8
BrunoMars,Jennie,000001,000077,0.43353826,8
BrunoMars,Jennie,000001,000082,0.520743,7
BrunoMars,Jennie,000001,000083,0.5179374,9
BrunoMars,Jennie,000001,000094,0.52341384,9
BrunoMars,Jennie,000001,000096,0.46111932,9
BrunoMars,Jennie,000001,000098,0.5451584,10
BrunoMars,Jennie,000001,000099,0.5848158,10
BrunoMars,Jennie,000001,000100,0.4235746,7
BrunoMars,Jennie,000001,000104,0.49770647,9
BrunoMars,Jennie,000001,000105,0.4978605,9
BrunoMars,Jennie,000001,000106,0.5375811,8
BrunoMars,Jennie,000001,000107,0.4941461,10
BrunoMars,Jennie,000001,000111,0.46081457,7
BrunoMars,Jennie,000001,000112,0.49029362,9
BrunoMars,Jennie,000001,000114,0.47378862,9
BrunoMars,Jennie,000002,000001,0.59027,9
BrunoMars,Jennie,000002,000003,0.47317043,7
BrunoMars,Jennie,000002,000004,0.4707829,7
BrunoMars,Jennie,000002,000005,0.509841,11
BrunoMars,Jennie,000002,000006,0.42957768,8
BrunoMars,Jennie,000002,000007,0.62618923,11
BrunoMars,Jennie,000002,000010,0.5690308,8
BrunoMars,Jennie,000002,000011,0.56308806,8
BrunoMars,Jennie,000002,000012,0.5519976,9
BrunoMars,Jennie,000002,000013,0.49372295,8
BrunoMars,Jennie,000002,000014,0.48244053,9
BrunoMars,Jennie,000002,000015,0.58139277,8
BrunoMars,Jennie,000002,000023,0.47382635,9
BrunoMars,Jennie,000002,000024,0.5091565,10
BrunoMars,Jennie,000002,000025,0.56965476,8
BrunoMars,Jennie,000002,000026,0.5830965,9
BrunoMars,Jennie,000002,000028,0.54088855,11
BrunoMars,Jennie,000002,000030,0.4525348,9
BrunoMars,Jennie,000002,000033,0.5528524,9
BrunoMars,Jennie,000002,000035,0.5033243,9
BrunoMars,Jennie,000002,000036,0.4378751,10
BrunoMars,Jennie,000002,000037,0.55976266,9
BrunoMars,Jennie,000002,000038,0.516598,8
BrunoMars,Jennie,000002,000039,0.5312714,8
BrunoMars,Jennie,000002,000042,0.48147768,9
BrunoMars,Jennie,000002,000045,0.5405112,6
BrunoMars,Jennie,000002,000054,0.4995177,8
BrunoMars,Jennie,000002,000060,0.55035996,9
BrunoMars,Jennie,000002,000062,0.4822541,7
BrunoMars,Jennie,000002,000063,0.53737617,8
BrunoMars,Jennie,000002,000068,0.3957337,9
BrunoMars,Jennie,000002,000069,0.5514678,8
BrunoMars,Jennie,000002,000071,0.56463873,9
BrunoMars,Jennie,000002,000073,0.4940813,9
BrunoMars,Jennie,000002,000074,0.54686224,8
BrunoMars,Jennie,000002,000077,0.5446423,8
BrunoMars,Jennie,000002,000082,0.5540461,7
BrunoMars,Jennie,000002,000083,0.56338716,9
BrunoMars,Jennie,000002,000094,0.53455234,9
BrunoMars,Jennie,000002,000096,0.53908306,9
