celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
BrunoMars,TomHolland,000001,000001,0.5357817,10
BrunoMars,TomHolland,000001,000003,0.58327043,9
BrunoMars,TomHolland,000001,000008,0.4867322,11
BrunoMars,TomHolland,000001,000009,0.6110399,11
BrunoMars,TomHolland,000001,000010,0.5411229,11
BrunoMars,TomHolland,000001,000013,0.57703525,10
BrunoMars,TomHolland,000001,000016,0.576032,9
BrunoMars,TomHolland,000001,000021,0.611935,11
BrunoMars,TomHolland,000001,000022,0.5310278,10
BrunoMars,TomHolland,000001,000024,0.6049607,9
BrunoMars,TomHolland,000001,000026,0.6160422,11
BrunoMars,TomHolland,000001,000027,0.54650235,11
BrunoMars,TomHolland,000001,000029,0.46738237,7
BrunoMars,TomHolland,000001,000030,0.4409309,8
BrunoMars,TomHolland,000001,000034,0.47059903,9
BrunoMars,TomHolland,000001,000035,0.55172586,11
BrunoMars,TomHolland,000001,000038,0.5304368,10
BrunoMars,TomHolland,000001,000040,0.6057513,11
BrunoMars,TomHolland,000001,000041,0.6146356,10
BrunoMars,TomHolland,000001,000042,0.62365615,11
BrunoMars,TomHolland,000001,000044,0.5839242,10
BrunoMars,TomHolland,000001,000046,0.45356485,9
BrunoMars,TomHolland,000001,000047,0.49333587,10
BrunoMars,TomHolland,000001,000049,0.5821531,10
BrunoMars,TomHolland,000001,000050,0.5663549,10
BrunoMars,TomHolland,000001,000055,0.55348533,11
BrunoMars,TomHolland,000001,000058,0.5174097,8
BrunoMars,TomHolland,000001,000060,0.5462635,9
BrunoMars,TomHolland,000001,000062,0.5622668,11
BrunoMars,TomHolland,000001,000063,0.5222345,11
BrunoMars,TomHolland,000001,000065,0.5896268,9
BrunoMars,TomHolland,000001,000069,0.6195358,10
BrunoMars,TomHolland,000001,000073,0.59833884,11
BrunoMars,TomHolland,000001,000075,0.6471461,11
BrunoMars,TomHolland,000001,000076,0.6886028,10
BrunoMars,TomHolland,000001,000079,0.53219646,10
BrunoMars,TomHolland,000001,000083,0.57218325,11
BrunoMars,TomHolland,000001,000091,0.5827755,10
BrunoMars,TomHolland,000001,000092,0.6304101,10
BrunoMars,TomHolland,000001,000096,0.5931661,9
BrunoMars,TomHolland,000001,000097,0.5430795,10
BrunoMars,TomHolland,000001,000100,0.5895859,11
BrunoMars,TomHolland,000001,105,0.39464515,10
BrunoMars,TomHolland,000001,106,0.5521878,10
BrunoMars,TomHolland,000001,107,0.5607146,9
BrunoMars,TomHolland,000001,108,0.51504433,10
BrunoMars,TomHolland,000001,110,0.5578655,10
BrunoMars,TomHolland,000001,111,0.58332187,11
BrunoMars,TomHolland,000001,113,0.5501751,11
