celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
Dicaprio,FanBingbing,000001,000001,0.5220131,8
Dicaprio,FanBingbing,000001,000003,0.5124407,11
Dicaprio,FanBingbing,000001,000004,0.48921838,10
Dicaprio,FanBingbing,000001,000007,0.50061566,10
Dicaprio,FanBingbing,000001,000008,0.5131333,9
Dicaprio,FanBingbing,000001,000009,0.51594716,10
Dicaprio,FanBingbing,000001,000012,0.41739258,9
Dicaprio,FanBingbing,000001,000013,0.5096292,10
Dicaprio,FanBingbing,000001,000019,0.5594838,10
Dicaprio,FanBingbing,000001,000020,0.5754863,9
Dicaprio,FanBingbing,000001,000025,0.46302694,10
Dicaprio,FanBingbing,000001,000026,0.5357035,10
Dicaprio,FanBingbing,000001,000027,0.56243634,10
Dicaprio,FanBingbing,000001,000031,0.5591163,9
Dicaprio,FanBingbing,000001,000034,0.5646578,10
Dicaprio,FanBingbing,000001,000035,0.5503873,9
Dicaprio,FanBingbing,000001,000036,0.5487092,10
Dicaprio,FanBingbing,000001,000037,0.4388793,8
Dicaprio,FanBingbing,000001,000041,0.41512454,6
Dicaprio,FanBingbing,000001,000042,0.44842565,9
Dicaprio,FanBingbing,000001,000044,0.5447555,8
Dicaprio,FanBingbing,000001,000046,0.5825448,10
Dicaprio,FanBingbing,000001,000047,0.48965475,8
Dicaprio,FanBingbing,000001,000049,0.48538175,9
Dicaprio,FanBingbing,000001,000050,0.51934063,10
Dicaprio,FanBingbing,000001,000053,0.5429182,11
Dicaprio,FanBingbing,000001,000056,0.48115444,8
Dicaprio,FanBingbing,000001,000058,0.5128033,8
Dicaprio,FanBingbing,000001,000059,0.5021416,9
Dicaprio,FanBingbing,000001,000070,0.52823967,9
Dicaprio,FanBingbing,000001,000071,0.57047325,9
Dicaprio,FanBingbing,000001,000072,0.45046613,6
Dicaprio,FanBingbing,000001,000078,0.5223119,8
Dicaprio,FanBingbing,000001,000082,0.51507705,10
Dicaprio,FanBingbing,000001,000085,0.545291,10
Dicaprio,FanBingbing,000001,000086,0.5269131,9
Dicaprio,FanBingbing,000001,000088,0.5380357,9
Dicaprio,FanBingbing,000001,000090,0.51855373,9
Dicaprio,FanBingbing,000001,000094,0.49183932,8
Dicaprio,FanBingbing,000001,000095,0.47423506,10
Dicaprio,FanBingbing,000001,000112,0.53622055,10
Dicaprio,FanBingbing,000001,000118,0.50370675,7
Dicaprio,FanBingbing,000001,000120,0.46883112,8
Dicaprio,FanBingbing,000001,000121,0.540142,9
Dicaprio,FanBingbing,000001,000122,0.39102662,10
Dicaprio,FanBingbing,000001,123,0.43199867,10
Dicaprio,FanBingbing,000001,124,0.5243685,9
Dicaprio,FanBingbing,000001,125,0.50390685,10
Dicaprio,FanBingbing,000001,127,0.47042593,9
Dicaprio,FanBingbing,000001,128,0.53393114,7
Dicaprio,FanBingbing,000002,000001,0.50372845,8
Dicaprio,FanBingbing,000002,000003,0.5037785,9
Dicaprio,FanBingbing,000002,000004,0.50337577,8
Dicaprio,FanBingbing,000002,000007,0.5229403,8
Dicaprio,FanBingbing,000002,000008,0.4755426,9
Dicaprio,FanBingbing,000002,000009,0.558108,9
Dicaprio,FanBingbing,000002,000012,0.50259495,8
Dicaprio,FanBingbing,000002,000013,0.5448082,9
Dicaprio,FanBingbing,000002,000019,0.5587362,9
Dicaprio,FanBingbing,000002,000020,0.5804049,9
Dicaprio,FanBingbing,000002,000025,0.4786569,9
Dicaprio,FanBingbing,000002,000026,0.5311402,9
Dicaprio,FanBingbing,000002,000027,0.4973881,9
Dicaprio,FanBingbing,000002,000031,0.5439677,8
Dicaprio,FanBingbing,000002,000034,0.5636394,9
Dicaprio,FanBingbing,000002,000035,0.4806014,8
Dicaprio,FanBingbing,000002,000036,0.5661565,9
Dicaprio,FanBingbing,000002,000037,0.44454816,8
Dicaprio,FanBingbing,000002,000041,0.4771043,6
Dicaprio,FanBingbing,000002,000042,0.45168447,8
Dicaprio,FanBingbing,000002,000044,0.534878,8
Dicaprio,FanBingbing,000002,000046,0.59091496,8
Dicaprio,FanBingbing,000002,000047,0.49811047,8
Dicaprio,FanBingbing,000002,000049,0.55092245,9
Dicaprio,FanBingbing,000002,000050,0.44825247,9
Dicaprio,FanBingbing,000002,000053,0.6090032,9
Dicaprio,FanBingbing,000002,000056,0.4932998,7
Dicaprio,FanBingbing,000002,000058,0.5107463,8
Dicaprio,FanBingbing,000002,000059,0.46843454,9
Dicaprio,FanBingbing,000002,000070,0.5264041,8
Dicaprio,FanBingbing,000002,000071,0.5426931,9
Dicaprio,FanBingbing,000002,000072,0.4585502,6
Dicaprio,FanBingbing,000002,000078,0.47895497,8
Dicaprio,FanBingbing,000002,000082,0.5324209,9
Dicaprio,FanBingbing,000002,000085,0.54684234,9
Dicaprio,FanBingbing,000002,000086,0.5243983,8
Dicaprio,FanBingbing,000002,000088,0.53437346,8
Dicaprio,FanBingbing,000002,000090,0.5216621,9
Dicaprio,FanBingbing,000002,000094,0.48598883,8
Dicaprio,FanBingbing,000002,000095,0.45898694,8
Dicaprio,FanBingbing,000002,000112,0.59002507,9
Dicaprio,FanBingbing,000002,000118,0.46927604,7
Dicaprio,FanBingbing,000002,000120,0.47975802,8
Dicaprio,FanBingbing,000002,000121,0.555371,8
Dicaprio,FanBingbing,000002,000122,0.405963,9
Dicaprio,FanBingbing,000002,123,0.48095047,9
Dicaprio,FanBingbing,000002,124,0.51503706,8
Dicaprio,FanBingbing,000002,125,0.47219425,9
Dicaprio,FanBingbing,000002,127,0.4802103,9
Dicaprio,FanBingbing,000002,128,0.5087605,6
Dicaprio,FanBingbing,000003,000001,0.42580703,8
Dicaprio,FanBingbing,000003,000003,0.45291606,10
Dicaprio,FanBingbing,000003,000004,0.46505016,9
Dicaprio,FanBingbing,000003,000007,0.51067233,9
Dicaprio,FanBingbing,000003,000008,0.4406599,9
Dicaprio,FanBingbing,000003,000009,0.49644488,10
Dicaprio,FanBingbing,000003,000012,0.38660535,8
Dicaprio,FanBingbing,000003,000013,0.42576253,9
Dicaprio,FanBingbing,000003,000019,0.4822162,9
Dicaprio,FanBingbing,000003,000020,0.5203374,9
Dicaprio,FanBingbing,000003,000025,0.44715062,10
Dicaprio,FanBingbing,000003,000026,0.52766156,10
