celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
Dicaprio,JKRowling,000001,000005,0.5398147,10
Dicaprio,JKRowling,000001,000008,0.53223145,9
Dicaprio,JKRowling,000001,000009,0.51522654,9
Dicaprio,JKRowling,000001,000010,0.4974454,10
Dicaprio,JKRowling,000001,000012,0.5175866,8
Dicaprio,JKRowling,000001,000014,0.58276916,9
Dicaprio,JKRowling,000001,000015,0.41661704,9
Dicaprio,JKRowling,000001,000017,0.45991784,8
Dicaprio,JKRowling,000001,000018,0.507846,9
Dicaprio,JKRowling,000001,000021,0.55920583,9
Dicaprio,JKRowling,000001,000022,0.5764224,10
Dicaprio,JKRowling,000001,000027,0.4760577,10
Dicaprio,JKRowling,000001,000029,0.5638224,10
Dicaprio,JKRowling,000001,000030,0.5603007,9
Dicaprio,JKRowling,000001,000031,0.5477402,10
Dicaprio,JKRowling,000001,000032,0.51826465,10
Dicaprio,JKRowling,000001,000035,0.485117,7
Dicaprio,JKRowling,000001,000036,0.54808927,9
Dicaprio,JKRowling,000001,000038,0.557052,10
Dicaprio,JKRowling,000001,000041,0.5608381,9
Dicaprio,JKRowling,000001,000044,0.49876738,9
Dicaprio,JKRowling,000001,000045,0.6022889,9
Dicaprio,JKRowling,000001,000047,0.5301186,10
Dicaprio,JKRowling,000001,000049,0.5231662,10
Dicaprio,JKRowling,000001,000051,0.53762746,10
Dicaprio,JKRowling,000001,000053,0.56951725,8
Dicaprio,JKRowling,000001,000055,0.58567655,9
Dicaprio,JKRowling,000001,000057,0.57827294,9
Dicaprio,JKRowling,000001,000060,0.53863126,7
Dicaprio,JKRowling,000001,000063,0.55399877,8
Dicaprio,JKRowling,000001,000065,0.56004566,9
Dicaprio,JKRowling,000001,000068,0.55902725,9
Dicaprio,JKRowling,000001,000071,0.5496784,9
Dicaprio,JKRowling,000001,000075,0.5398496,6
Dicaprio,JKRowling,000001,000076,0.588422,9
Dicaprio,JKRowling,000001,000078,0.5283611,8
Dicaprio,JKRowling,000001,000079,0.5237405,6
Dicaprio,JKRowling,000001,000082,0.47495672,9
Dicaprio,JKRowling,000001,000085,0.52440494,7
Dicaprio,JKRowling,000001,000087,0.49972194,9
Dicaprio,JKRowling,000001,000090,0.45038286,10
Dicaprio,JKRowling,000001,000092,0.521324,11
Dicaprio,JKRowling,000001,000094,0.54485476,10
Dicaprio,JKRowling,000001,000096,0.4934637,10
Dicaprio,JKRowling,000001,000097,0.5585568,9
Dicaprio,JKRowling,000001,000101,0.5785403,9
Dicaprio,JKRowling,000001,000102,0.5165031,8
Dicaprio,JKRowling,000001,106,0.5183562,9
Dicaprio,JKRowling,000001,110,0.52104205,7
Dicaprio,JKRowling,000001,111,0.51086336,6
Dicaprio,JKRowling,000002,000005,0.60942876,9
Dicaprio,JKRowling,000002,000008,0.5519235,8
Dicaprio,JKRowling,000002,000009,0.50151885,9
Dicaprio,JKRowling,000002,000010,0.5712009,9
Dicaprio,JKRowling,000002,000012,0.516784,8
Dicaprio,JKRowling,000002,000014,0.5570588,8
Dicaprio,JKRowling,000002,000015,0.4504,9
Dicaprio,JKRowling,000002,000017,0.46833092,8
Dicaprio,JKRowling,000002,000018,0.519726,9
Dicaprio,JKRowling,000002,000021,0.5508784,8
Dicaprio,JKRowling,000002,000022,0.6054625,9
Dicaprio,JKRowling,000002,000027,0.48924854,9
Dicaprio,JKRowling,000002,000029,0.52367616,9
Dicaprio,JKRowling,000002,000030,0.57017,9
Dicaprio,JKRowling,000002,000031,0.5487664,9
Dicaprio,JKRowling,000002,000032,0.5598711,8
Dicaprio,JKRowling,000002,000035,0.5700749,7
Dicaprio,JKRowling,000002,000036,0.5349817,8
Dicaprio,JKRowling,000002,000038,0.6033061,9
Dicaprio,JKRowling,000002,000041,0.5987682,9
Dicaprio,JKRowling,000002,000044,0.55911493,8
Dicaprio,JKRowling,000002,000045,0.62830293,9
Dicaprio,JKRowling,000002,000047,0.57389265,9
Dicaprio,JKRowling,000002,000049,0.5377672,9
Dicaprio,JKRowling,000002,000051,0.56162995,9
Dicaprio,JKRowling,000002,000053,0.57216,8
Dicaprio,JKRowling,000002,000055,0.585815,8
Dicaprio,JKRowling,000002,000057,0.5773534,9
Dicaprio,JKRowling,000002,000060,0.49414036,7
Dicaprio,JKRowling,000002,000063,0.5891828,8
Dicaprio,JKRowling,000002,000065,0.59231657,9
Dicaprio,JKRowling,000002,000068,0.5407938,8
Dicaprio,JKRowling,000002,000071,0.56116253,8
Dicaprio,JKRowling,000002,000075,0.5774763,6
Dicaprio,JKRowling,000002,000076,0.57078314,9
Dicaprio,JKRowling,000002,000078,0.509035,8
Dicaprio,JKRowling,000002,000079,0.50893235,6
Dicaprio,JKRowling,000002,000082,0.5005411,8
Dicaprio,JKRowling,000002,000085,0.59553665,7
Dicaprio,JKRowling,000002,000087,0.51717657,9
Dicaprio,JKRowling,000002,000090,0.52974695,9
Dicaprio,JKRowling,000002,000092,0.5924284,9
Dicaprio,JKRowling,000002,000094,0.6045585,9
Dicaprio,JKRowling,000002,000096,0.52563065,9
