celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
Dicaprio,Jennie,000001,000001,0.57804227,9
Dicaprio,Jennie,000001,000003,0.45257378,7
Dicaprio,Jennie,000001,000004,0.51984566,7
Dicaprio,Jennie,000001,000005,0.45607126,11
Dicaprio,Jennie,000001,000006,0.44104612,8
Dicaprio,Jennie,000001,000007,0.58899367,11
Dicaprio,Jennie,000001,000010,0.5416566,8
Dicaprio,Jennie,000001,000011,0.59938776,8
Dicaprio,Jennie,000001,000012,0.53742385,9
Dicaprio,Jennie,000001,000013,0.5565711,8
Dicaprio,Jennie,000001,000014,0.50825906,9
Dicaprio,Jennie,000001,000015,0.59561265,8
Dicaprio,Jennie,000001,000023,0.45537838,9
Dicaprio,Jennie,000001,000024,0.5723608,10
Dicaprio,Jennie,000001,000025,0.57703733,8
Dicaprio,Jennie,000001,000026,0.5808115,9
Dicaprio,Jennie,000001,000028,0.5335994,11
Dicaprio,Jennie,000001,000030,0.44900253,9
Dicaprio,Jennie,000001,000033,0.58910495,9
Dicaprio,Jennie,000001,000035,0.52449936,9
Dicaprio,Jennie,000001,000036,0.4586526,10
Dicaprio,Jennie,000001,000037,0.60340405,9
Dicaprio,Jennie,000001,000038,0.5091136,8
Dicaprio,Jennie,000001,000039,0.50942445,8
Dicaprio,Jennie,000001,000042,0.49550608,9
Dicaprio,Jennie,000001,000045,0.4488298,6
Dicaprio,Jennie,000001,000054,0.46082306,8
Dicaprio,Jennie,000001,000060,0.5079148,9
Dicaprio,Jennie,000001,000062,0.45874527,7
Dicaprio,Jennie,000001,000063,0.5141634,8
Dicaprio,Jennie,000001,000068,0.3896874,9
Dicaprio,Jennie,000001,000069,0.53325903,8
Dicaprio,Jennie,000001,000071,0.5033176,9
Dicaprio,Jennie,000001,000073,0.47978708,9
Dicaprio,Jennie,000001,000074,0.5241978,8
Dicaprio,Jennie,000001,000077,0.53028893,8
Dicaprio,Jennie,000001,000082,0.5966729,7
Dicaprio,Jennie,000001,000083,0.53880334,9
Dicaprio,Jennie,000001,000094,0.53773934,9
Dicaprio,Jennie,000001,000096,0.5578657,9
Dicaprio,Jennie,000001,000098,0.48196426,10
Dicaprio,Jennie,000001,000099,0.46688446,10
Dicaprio,Jennie,000001,000100,0.46479803,7
Dicaprio,Jennie,000001,000104,0.49039808,9
Dicaprio,Jennie,000001,000105,0.6025235,9
Dicaprio,Jennie,000001,000106,0.593435,8
Dicaprio,Jennie,000001,000107,0.5984551,10
Dicaprio,Jennie,000001,000111,0.49166712,7
Dicaprio,Jennie,000001,000112,0.5247593,9
Dicaprio,Jennie,000001,000114,0.5871864,9
Dicaprio,Jennie,000002,000001,0.62685674,8
Dicaprio,Jennie,000002,000003,0.4881836,6
Dicaprio,Jennie,000002,000004,0.4892371,7
Dicaprio,Jennie,000002,000005,0.45336068,9
Dicaprio,Jennie,000002,000006,0.47636387,7
Dicaprio,Jennie,000002,000007,0.54988223,9
Dicaprio,Jennie,000002,000010,0.5020931,8
Dicaprio,Jennie,000002,000011,0.57846737,8
Dicaprio,Jennie,000002,000012,0.51478153,8
Dicaprio,Jennie,000002,000013,0.5252986,8
Dicaprio,Jennie,000002,000014,0.49015206,8
Dicaprio,Jennie,000002,000015,0.5995809,8
Dicaprio,Jennie,000002,000023,0.41897762,8
Dicaprio,Jennie,000002,000024,0.5964873,9
Dicaprio,Jennie,000002,000025,0.57264197,8
Dicaprio,Jennie,000002,000026,0.5498935,8
Dicaprio,Jennie,000002,000028,0.5489039,9
Dicaprio,Jennie,000002,000030,0.44428033,8
Dicaprio,Jennie,000002,000033,0.6064737,8
Dicaprio,Jennie,000002,000035,0.52973133,8
Dicaprio,Jennie,000002,000036,0.44653648,9
Dicaprio,Jennie,000002,000037,0.63173497,8
Dicaprio,Jennie,000002,000038,0.5109894,8
Dicaprio,Jennie,000002,000039,0.50170875,8
Dicaprio,Jennie,000002,000042,0.49490777,8
Dicaprio,Jennie,000002,000045,0.43503407,6
Dicaprio,Jennie,000002,000054,0.42467883,7
Dicaprio,Jennie,000002,000060,0.5330068,8
Dicaprio,Jennie,000002,000062,0.46212506,6
