celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
Dicaprio,TaylorSwift,000001,000001,0.5072456,11
Dicaprio,TaylorSwift,000001,000003,0.49542922,11
Dicaprio,TaylorSwift,000001,000005,0.46679565,9
Dicaprio,TaylorSwift,000001,000006,0.51228994,7
Dicaprio,TaylorSwift,000001,000008,0.5940654,9
Dicaprio,TaylorSwift,000001,000009,0.47121048,8
Dicaprio,TaylorSwift,000001,000010,0.5443127,5
Dicaprio,TaylorSwift,000001,000012,0.52216536,11
Dicaprio,TaylorSwift,000001,000013,0.5537524,11
Dicaprio,TaylorSwift,000001,000014,0.5149563,7
Dicaprio,TaylorSwift,000001,000019,0.48804542,7
Dicaprio,TaylorSwift,000001,000020,0.50698847,8
Dicaprio,TaylorSwift,000001,000021,0.5677853,9
Dicaprio,TaylorSwift,000001,000031,0.47403932,10
Dicaprio,TaylorSwift,000001,000032,0.4891361,6
Dicaprio,TaylorSwift,000001,000035,0.5045663,8
Dicaprio,TaylorSwift,000001,000036,0.41471916,8
Dicaprio,TaylorSwift,000001,000037,0.46494913,8
Dicaprio,TaylorSwift,000001,000038,0.5355085,10
Dicaprio,TaylorSwift,000001,000039,0.50242305,9
Dicaprio,TaylorSwift,000001,000046,0.5527146,7
Dicaprio,TaylorSwift,000001,000047,0.4036394,8
Dicaprio,TaylorSwift,000001,000048,0.5907706,11
Dicaprio,TaylorSwift,000001,000052,0.45082206,8
Dicaprio,TaylorSwift,000001,000054,0.58217347,8
Dicaprio,TaylorSwift,000001,000056,0.5308167,8
Dicaprio,TaylorSwift,000001,000057,0.49024397,9
Dicaprio,TaylorSwift,000001,000058,0.4591518,8
Dicaprio,TaylorSwift,000001,000062,0.5128669,7
Dicaprio,TaylorSwift,000001,000064,0.47312418,8
Dicaprio,TaylorSwift,000001,000066,0.50476474,7
Dicaprio,TaylorSwift,000001,000069,0.47917828,7
Dicaprio,TaylorSwift,000001,000070,0.44723243,8
Dicaprio,TaylorSwift,000001,000080,0.45756024,8
Dicaprio,TaylorSwift,000001,000091,0.4987857,7
Dicaprio,TaylorSwift,000001,000096,0.56877327,8
Dicaprio,TaylorSwift,000001,000097,0.53794867,9
Dicaprio,TaylorSwift,000001,000098,0.49580675,8
Dicaprio,TaylorSwift,000001,000101,0.49526435,8
Dicaprio,TaylorSwift,000001,000103,0.51214445,7
Dicaprio,TaylorSwift,000001,108,0.53885967,6
