celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
EunwooCha,FanBingbing,000001_0,000001,0.5052994,8
EunwooCha,FanBingbing,000001_0,000003,0.46832705,10
EunwooCha,FanBingbing,000001_0,000004,0.4530912,9
EunwooCha,FanBingbing,000001_0,000007,0.4498088,9
EunwooCha,FanBingbing,000001_0,000008,0.43812302,9
EunwooCha,FanBingbing,000001_0,000009,0.45743746,9
EunwooCha,FanBingbing,000001_0,000012,0.40130553,9
EunwooCha,FanBingbing,000001_0,000013,0.3500296,10
EunwooCha,FanBingbing,000001_0,000019,0.40991044,10
EunwooCha,FanBingbing,000001_0,000020,0.4674045,9
EunwooCha,FanBingbing,000001_0,000025,0.43492612,9
EunwooCha,FanBingbing,000001_0,000026,0.4352031,9
EunwooCha,FanBingbing,000001_0,000027,0.4304176,10
EunwooCha,FanBingbing,000001_0,000031,0.46376467,8
EunwooCha,FanBingbing,000001_0,000034,0.45053393,10
EunwooCha,FanBingbing,000001_0,000035,0.503432,9
EunwooCha,FanBingbing,000001_0,000036,0.48246118,9
EunwooCha,FanBingbing,000001_0,000037,0.44617808,8
EunwooCha,FanBingbing,000001_0,000041,0.46706262,6
EunwooCha,FanBingbing,000001_0,000042,0.38434282,8
EunwooCha,FanBingbing,000001_0,000044,0.53920996,8
EunwooCha,FanBingbing,000001_0,000046,0.47109693,9
EunwooCha,FanBingbing,000001_0,000047,0.4898519,8
EunwooCha,FanBingbing,000001_0,000049,0.5049848,9
EunwooCha,FanBingbing,000001_0,000050,0.44659185,9
EunwooCha,FanBingbing,000001_0,000053,0.46151415,10
EunwooCha,FanBingbing,000001_0,000056,0.47119945,8
EunwooCha,FanBingbing,000001_0,000058,0.46172208,8
EunwooCha,FanBingbing,000001_0,000059,0.40354633,9
EunwooCha,FanBingbing,000001_0,000070,0.4335483,9
EunwooCha,FanBingbing,000001_0,000071,0.45411697,9
EunwooCha,FanBingbing,000001_0,000072,0.45923972,6
EunwooCha,FanBingbing,000001_0,000078,0.47037053,8
EunwooCha,FanBingbing,000001_0,000082,0.42870647,10
EunwooCha,FanBingbing,000001_0,000085,0.4669291,10
EunwooCha,FanBingbing,000001_0,000086,0.45680767,9
EunwooCha,FanBingbing,000001_0,000088,0.46379054,8
EunwooCha,FanBingbing,000001_0,000090,0.43114123,9
EunwooCha,FanBingbing,000001_0,000094,0.47536385,8
EunwooCha,FanBingbing,000001_0,000095,0.4528789,9
EunwooCha,FanBingbing,000001_0,000112,0.4538083,10
EunwooCha,FanBingbing,000001_0,000118,0.429015,7
EunwooCha,FanBingbing,000001_0,000120,0.4059813,8
EunwooCha,FanBingbing,000001_0,000121,0.45435455,8
EunwooCha,FanBingbing,000001_0,000122,0.35926062,9
EunwooCha,FanBingbing,000001_0,123,0.41418183,9
EunwooCha,FanBingbing,000001_0,124,0.44923598,8
EunwooCha,FanBingbing,000001_0,125,0.4507795,10
EunwooCha,FanBingbing,000001_0,127,0.46967253,9
EunwooCha,FanBingbing,000001_0,128,0.52386504,7
EunwooCha,FanBingbing,000003_0,000001,0.56584567,7
EunwooCha,FanBingbing,000003_0,000003,0.62365705,8
EunwooCha,FanBingbing,000003_0,000004,0.57434434,7
