celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
EunwooCha,IshiharaSatomi,000001_0,000003,0.46220067,7
EunwooCha,IshiharaSatomi,000001_0,000004,0.4093231,9
EunwooCha,IshiharaSatomi,000001_0,000009,0.47770104,6
EunwooCha,IshiharaSatomi,000001_0,000010,0.43330318,8
EunwooCha,IshiharaSatomi,000001_0,000011,0.48062834,10
EunwooCha,IshiharaSatomi,000001_0,000012,0.42052352,9
EunwooCha,IshiharaSatomi,000001_0,000014,0.4299547,8
EunwooCha,IshiharaSatomi,000001_0,000015,0.46331915,8
EunwooCha,IshiharaSatomi,000001_0,000017,0.5835787,7
EunwooCha,IshiharaSatomi,000001_0,000019,0.36373362,7
EunwooCha,IshiharaSatomi,000001_0,000020,0.4720016,9
EunwooCha,IshiharaSatomi,000001_0,000021,0.36533916,9
EunwooCha,IshiharaSatomi,000001_0,000022,0.48072568,7
EunwooCha,IshiharaSatomi,000001_0,000023,0.5428372,7
EunwooCha,IshiharaSatomi,000001_0,000025,0.49773878,7
EunwooCha,IshiharaSatomi,000001_0,000026,0.468338,9
EunwooCha,IshiharaSatomi,000001_0,000029,0.4623982,7
EunwooCha,IshiharaSatomi,000001_0,000031,0.5295316,8
EunwooCha,IshiharaSatomi,000001_0,000033,0.5193846,9
EunwooCha,IshiharaSatomi,000001_0,000035,0.51160616,9
EunwooCha,IshiharaSatomi,000001_0,000039,0.44770515,8
EunwooCha,IshiharaSatomi,000001_0,000042,0.49150902,8
EunwooCha,IshiharaSatomi,000001_0,000045,0.5440695,8
EunwooCha,IshiharaSatomi,000001_0,000047,0.44280103,7
EunwooCha,IshiharaSatomi,000001_0,000048,0.3989193,9
EunwooCha,IshiharaSatomi,000001_0,000049,0.44289795,8
EunwooCha,IshiharaSatomi,000001_0,000051,0.4237,9
EunwooCha,IshiharaSatomi,000001_0,000052,0.41574746,9
EunwooCha,IshiharaSatomi,000001_0,000054,0.44098943,8
EunwooCha,IshiharaSatomi,000001_0,000059,0.43704978,9
EunwooCha,IshiharaSatomi,000001_0,000060,0.41112867,9
EunwooCha,IshiharaSatomi,000001_0,000061,0.50099534,8
EunwooCha,IshiharaSatomi,000001_0,000063,0.49671212,7
EunwooCha,IshiharaSatomi,000001_0,000065,0.46695492,6
EunwooCha,IshiharaSatomi,000001_0,000066,0.49185985,8
EunwooCha,IshiharaSatomi,000001_0,000069,0.43949568,8
EunwooCha,IshiharaSatomi,000001_0,000070,0.48935688,6
EunwooCha,IshiharaSatomi,000001_0,000071,0.4157995,8
EunwooCha,IshiharaSatomi,000001_0,000076,0.5409202,7
EunwooCha,IshiharaSatomi,000001_0,000079,0.4376157,8
EunwooCha,IshiharaSatomi,000001_0,000081,0.5908783,8
EunwooCha,IshiharaSatomi,000001_0,000082,0.4083707,9
EunwooCha,IshiharaSatomi,000001_0,000083,0.49915886,7
EunwooCha,IshiharaSatomi,000001_0,000084,0.40766963,7
