celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
EunwooCha,JKRowling,000001_0,000005,0.43663085,9
EunwooCha,JKRowling,000001_0,000008,0.42205194,8
EunwooCha,JKRowling,000001_0,000009,0.39721966,9
EunwooCha,JKRowling,000001_0,000010,0.3952393,9
EunwooCha,JKRowling,000001_0,000012,0.40823576,8
EunwooCha,JKRowling,000001_0,000014,0.4459269,8
EunwooCha,JKRowling,000001_0,000015,0.40306842,9
EunwooCha,JKRowling,000001_0,000017,0.40448654,8
EunwooCha,JKRowling,000001_0,000018,0.37627637,9
EunwooCha,JKRowling,000001_0,000021,0.4515398,8
EunwooCha,JKRowling,000001_0,000022,0.45529005,9
EunwooCha,JKRowling,000001_0,000027,0.39241683,9
EunwooCha,JKRowling,000001_0,000029,0.42568043,9
EunwooCha,JKRowling,000001_0,000030,0.4396156,9
EunwooCha,JKRowling,000001_0,000031,0.3711549,9
EunwooCha,JKRowling,000001_0,000032,0.41040626,9
EunwooCha,JKRowling,000001_0,000035,0.4653132,7
EunwooCha,JKRowling,000001_0,000036,0.3923996,8
EunwooCha,JKRowling,000001_0,000038,0.4423798,10
EunwooCha,JKRowling,000001_0,000041,0.4570882,9
EunwooCha,JKRowling,000001_0,000044,0.43612465,8
EunwooCha,JKRowling,000001_0,000045,0.43373558,9
EunwooCha,JKRowling,000001_0,000047,0.46282917,9
EunwooCha,JKRowling,000001_0,000049,0.41308013,9
EunwooCha,JKRowling,000001_0,000051,0.43201166,9
EunwooCha,JKRowling,000001_0,000053,0.45091453,8
EunwooCha,JKRowling,000001_0,000055,0.46782666,8
EunwooCha,JKRowling,000001_0,000057,0.3963948,9
EunwooCha,JKRowling,000001_0,000060,0.38650718,7
EunwooCha,JKRowling,000001_0,000063,0.4248232,8
EunwooCha,JKRowling,000001_0,000065,0.40813303,9
EunwooCha,JKRowling,000001_0,000068,0.41676453,8
EunwooCha,JKRowling,000001_0,000071,0.43264246,8
EunwooCha,JKRowling,000001_0,000075,0.50377786,6
EunwooCha,JKRowling,000001_0,000076,0.48032558,9
EunwooCha,JKRowling,000001_0,000078,0.45026463,8
EunwooCha,JKRowling,000001_0,000079,0.4135283,6
EunwooCha,JKRowling,000001_0,000082,0.42270246,8
EunwooCha,JKRowling,000001_0,000085,0.47118974,7
EunwooCha,JKRowling,000001_0,000087,0.4174771,9
EunwooCha,JKRowling,000001_0,000090,0.35722312,9
EunwooCha,JKRowling,000001_0,000092,0.44276303,10
EunwooCha,JKRowling,000001_0,000094,0.49520588,9
EunwooCha,JKRowling,000001_0,000096,0.40488976,9
EunwooCha,JKRowling,000001_0,000097,0.40913355,8
EunwooCha,JKRowling,000001_0,000101,0.43740153,8
EunwooCha,JKRowling,000001_0,000102,0.45144302,8
EunwooCha,JKRowling,000001_0,106,0.3941364,8
EunwooCha,JKRowling,000001_0,110,0.4348567,7
EunwooCha,JKRowling,000001_0,111,0.40575323,6
EunwooCha,JKRowling,000003_0,000005,0.5971407,8
EunwooCha,JKRowling,000003_0,000008,0.5858782,7
EunwooCha,JKRowling,000003_0,000009,0.56559944,8
EunwooCha,JKRowling,000003_0,000010,0.55375034,8
EunwooCha,JKRowling,000003_0,000012,0.5493877,7
EunwooCha,JKRowling,000003_0,000014,0.6070305,7
EunwooCha,JKRowling,000003_0,000015,0.49304202,8
EunwooCha,JKRowling,000003_0,000017,0.4935407,7
EunwooCha,JKRowling,000003_0,000018,0.5801408,8
EunwooCha,JKRowling,000003_0,000021,0.5187522,7
EunwooCha,JKRowling,000003_0,000022,0.6090907,8
EunwooCha,JKRowling,000003_0,000027,0.487477,8
EunwooCha,JKRowling,000003_0,000029,0.52483636,8
EunwooCha,JKRowling,000003_0,000030,0.5943841,8
EunwooCha,JKRowling,000003_0,000031,0.49291128,8
EunwooCha,JKRowling,000003_0,000032,0.57969445,7
EunwooCha,JKRowling,000003_0,000035,0.5157105,7
EunwooCha,JKRowling,000003_0,000036,0.5165907,7
EunwooCha,JKRowling,000003_0,000038,0.64525884,8
EunwooCha,JKRowling,000003_0,000041,0.64063084,8
EunwooCha,JKRowling,000003_0,000044,0.52456975,7
EunwooCha,JKRowling,000003_0,000045,0.65852654,8
EunwooCha,JKRowling,000003_0,000047,0.6305723,8
EunwooCha,JKRowling,000003_0,000049,0.5684752,8
EunwooCha,JKRowling,000003_0,000051,0.53400934,8
EunwooCha,JKRowling,000003_0,000053,0.6060628,7
EunwooCha,JKRowling,000003_0,000055,0.56383127,7
EunwooCha,JKRowling,000003_0,000057,0.5925603,8
EunwooCha,JKRowling,000003_0,000060,0.49399516,7
EunwooCha,JKRowling,000003_0,000063,0.5662058,7
EunwooCha,JKRowling,000003_0,000065,0.59297085,8
EunwooCha,JKRowling,000003_0,000068,0.5316099,7
EunwooCha,JKRowling,000003_0,000071,0.5937261,7
EunwooCha,JKRowling,000003_0,000075,0.58128613,6
EunwooCha,JKRowling,000003_0,000076,0.57710814,8
EunwooCha,JKRowling,000003_0,000078,0.62371933,7
EunwooCha,JKRowling,000003_0,000079,0.5510432,6
EunwooCha,JKRowling,000003_0,000082,0.5704878,7
EunwooCha,JKRowling,000003_0,000085,0.55245054,7
EunwooCha,JKRowling,000003_0,000087,0.5717005,8
EunwooCha,JKRowling,000003_0,000090,0.50313544,8
EunwooCha,JKRowling,000003_0,000092,0.5833166,8
EunwooCha,JKRowling,000003_0,000094,0.5983025,8
EunwooCha,JKRowling,000003_0,000096,0.57999575,8
