celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
EunwooCha,Jennie,000001_0,000001,0.53835994,9
EunwooCha,Jennie,000001_0,000003,0.5165912,7
EunwooCha,Jennie,000001_0,000004,0.49157876,7
EunwooCha,Jennie,000001_0,000005,0.42341122,10
EunwooCha,Jennie,000001_0,000006,0.4585393,8
EunwooCha,Jennie,000001_0,000007,0.4928214,10
EunwooCha,Jennie,000001_0,000010,0.46338916,8
EunwooCha,Jennie,000001_0,000011,0.54528534,8
EunwooCha,Jennie,000001_0,000012,0.41125348,9
EunwooCha,Jennie,000001_0,000013,0.44916528,8
EunwooCha,Jennie,000001_0,000014,0.51086116,9
EunwooCha,Jennie,000001_0,000015,0.5937953,8
EunwooCha,Jennie,000001_0,000023,0.4064955,9
EunwooCha,Jennie,000001_0,000024,0.56365526,9
EunwooCha,Jennie,000001_0,000025,0.5114229,8
EunwooCha,Jennie,000001_0,000026,0.48721313,9
EunwooCha,Jennie,000001_0,000028,0.44733587,10
EunwooCha,Jennie,000001_0,000030,0.42928666,9
EunwooCha,Jennie,000001_0,000033,0.46575853,9
EunwooCha,Jennie,000001_0,000035,0.44738552,9
EunwooCha,Jennie,000001_0,000036,0.4263484,10
EunwooCha,Jennie,000001_0,000037,0.45979202,9
EunwooCha,Jennie,000001_0,000038,0.4470505,8
EunwooCha,Jennie,000001_0,000039,0.46760643,8
EunwooCha,Jennie,000001_0,000042,0.42268082,9
EunwooCha,Jennie,000001_0,000045,0.46066955,6
EunwooCha,Jennie,000001_0,000054,0.5048382,8
EunwooCha,Jennie,000001_0,000060,0.4023199,9
EunwooCha,Jennie,000001_0,000062,0.52936304,7
EunwooCha,Jennie,000001_0,000063,0.4688025,8
EunwooCha,Jennie,000001_0,000068,0.40348136,9
EunwooCha,Jennie,000001_0,000069,0.48822966,8
EunwooCha,Jennie,000001_0,000071,0.51731175,9
EunwooCha,Jennie,000001_0,000073,0.5519003,9
EunwooCha,Jennie,000001_0,000074,0.51090086,8
EunwooCha,Jennie,000001_0,000077,0.42794517,8
EunwooCha,Jennie,000001_0,000082,0.5729675,7
EunwooCha,Jennie,000001_0,000083,0.48643664,9
EunwooCha,Jennie,000001_0,000094,0.5989627,9
EunwooCha,Jennie,000001_0,000096,0.51198524,9
EunwooCha,Jennie,000001_0,000098,0.45683032,10
EunwooCha,Jennie,000001_0,000099,0.42429003,10
EunwooCha,Jennie,000001_0,000100,0.5577542,7
EunwooCha,Jennie,000001_0,000104,0.45153195,9
EunwooCha,Jennie,000001_0,000105,0.5629442,9
EunwooCha,Jennie,000001_0,000106,0.49237454,8
EunwooCha,Jennie,000001_0,000107,0.49820042,10
