celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
EunwooCha,Obama,000001_0,000001,0.5051881,8
EunwooCha,Obama,000001_0,000003,0.32381237,9
EunwooCha,Obama,000001_0,000005,0.45168254,8
EunwooCha,Obama,000001_0,000006,0.43964717,8
EunwooCha,Obama,000001_0,000011,0.4192087,8
EunwooCha,Obama,000001_0,000012,0.44474968,9
EunwooCha,Obama,000001_0,000013,0.48209423,10
EunwooCha,Obama,000001_0,000014,0.41426292,9
EunwooCha,Obama,000001_0,000016,0.44729617,6
EunwooCha,Obama,000001_0,000017,0.43472594,9
EunwooCha,Obama,000001_0,000024,0.43717104,8
EunwooCha,Obama,000001_0,000029,0.4409272,8
EunwooCha,Obama,000001_0,000030,0.524711,8
EunwooCha,Obama,000001_0,000031,0.41124094,9
EunwooCha,Obama,000001_0,000033,0.49658656,10
EunwooCha,Obama,000001_0,000037,0.42706323,9
EunwooCha,Obama,000001_0,000041,0.4344469,10
EunwooCha,Obama,000001_0,000043,0.42689997,9
EunwooCha,Obama,000001_0,000044,0.3533389,10
EunwooCha,Obama,000001_0,000046,0.4628623,8
EunwooCha,Obama,000001_0,000049,0.39844722,9
EunwooCha,Obama,000001_0,000052,0.46852118,9
EunwooCha,Obama,000001_0,000053,0.539749,7
EunwooCha,Obama,000001_0,000054,0.50944626,9
EunwooCha,Obama,000001_0,000059,0.47641116,7
EunwooCha,Obama,000001_0,000060,0.45093638,7
EunwooCha,Obama,000001_0,000067,0.48883957,9
EunwooCha,Obama,000001_0,000069,0.44148114,9
EunwooCha,Obama,000001_0,000070,0.4202626,9
EunwooCha,Obama,000001_0,000073,0.500094,7
EunwooCha,Obama,000001_0,000074,0.497959,10
EunwooCha,Obama,000001_0,000075,0.5451455,8
EunwooCha,Obama,000001_0,000079,0.526424,8
EunwooCha,Obama,000001_0,000082,0.4464348,8
EunwooCha,Obama,000001_0,000083,0.37382573,8
EunwooCha,Obama,000001_0,000084,0.4444076,9
EunwooCha,Obama,000001_0,000087,0.4670424,8
EunwooCha,Obama,000001_0,000088,0.515768,8
EunwooCha,Obama,000001_0,000089,0.47080815,9
EunwooCha,Obama,000001_0,000093,0.42304558,8
EunwooCha,Obama,000001_0,000094,0.44166094,8
EunwooCha,Obama,000001_0,000095,0.43257526,8
EunwooCha,Obama,000001_0,000096,0.472528,8
EunwooCha,Obama,000001_0,000097,0.40042484,6
EunwooCha,Obama,000001_0,000098,0.397805,7
EunwooCha,Obama,000001_0,000099,0.45830935,10
EunwooCha,Obama,000001_0,000100,0.3946572,10
EunwooCha,Obama,000001_0,000101,0.49361986,10
EunwooCha,Obama,000001_0,000102,0.38986057,9
EunwooCha,Obama,000001_0,000105,0.41390356,10
EunwooCha,Obama,000003_0,000001,0.42806354,7
EunwooCha,Obama,000003_0,000003,0.4586393,7
EunwooCha,Obama,000003_0,000005,0.47160727,7
EunwooCha,Obama,000003_0,000006,0.49997526,7
EunwooCha,Obama,000003_0,000011,0.44327518,7
EunwooCha,Obama,000003_0,000012,0.43990645,7
EunwooCha,Obama,000003_0,000013,0.55079925,8
EunwooCha,Obama,000003_0,000014,0.5081776,7
EunwooCha,Obama,000003_0,000016,0.50460744,6
EunwooCha,Obama,000003_0,000017,0.5281151,7
EunwooCha,Obama,000003_0,000024,0.46603632,7
EunwooCha,Obama,000003_0,000029,0.46135977,7
EunwooCha,Obama,000003_0,000030,0.44244868,7
EunwooCha,Obama,000003_0,000031,0.52964145,8
EunwooCha,Obama,000003_0,000033,0.60216737,8
EunwooCha,Obama,000003_0,000037,0.49685955,8
EunwooCha,Obama,000003_0,000041,0.5192121,8
EunwooCha,Obama,000003_0,000043,0.52407986,7
EunwooCha,Obama,000003_0,000044,0.5290576,8
EunwooCha,Obama,000003_0,000046,0.44827464,7
EunwooCha,Obama,000003_0,000049,0.52204144,7
EunwooCha,Obama,000003_0,000052,0.55419147,8
EunwooCha,Obama,000003_0,000053,0.39910778,7
EunwooCha,Obama,000003_0,000054,0.46125287,8
EunwooCha,Obama,000003_0,000059,0.44179094,6
EunwooCha,Obama,000003_0,000060,0.5253798,7
EunwooCha,Obama,000003_0,000067,0.5685035,8
EunwooCha,Obama,000003_0,000069,0.49750486,7
EunwooCha,Obama,000003_0,000070,0.5958327,7
EunwooCha,Obama,000003_0,000073,0.46832576,7
EunwooCha,Obama,000003_0,000074,0.5342989,8
EunwooCha,Obama,000003_0,000075,0.49066487,6
EunwooCha,Obama,000003_0,000079,0.51218927,7
EunwooCha,Obama,000003_0,000082,0.4990671,7
EunwooCha,Obama,000003_0,000083,0.44916415,7
EunwooCha,Obama,000003_0,000084,0.5305034,7
EunwooCha,Obama,000003_0,000087,0.4321732,7
EunwooCha,Obama,000003_0,000088,0.46189037,7
EunwooCha,Obama,000003_0,000089,0.6027619,7
EunwooCha,Obama,000003_0,000093,0.45499066,6
EunwooCha,Obama,000003_0,000094,0.45280474,7
EunwooCha,Obama,000003_0,000095,0.4822292,6
EunwooCha,Obama,000003_0,000096,0.45764214,7
EunwooCha,Obama,000003_0,000097,0.43991423,6
EunwooCha,Obama,000003_0,000098,0.5257592,6
EunwooCha,Obama,000003_0,000099,0.4616782,8
EunwooCha,Obama,000003_0,000100,0.44239724,8
EunwooCha,Obama,000003_0,000101,0.6070845,8
EunwooCha,Obama,000003_0,000102,0.4892972,7
EunwooCha,Obama,000003_0,000105,0.47005868,8
EunwooCha,Obama,000005_0,000001,0.5261998,6
EunwooCha,Obama,000005_0,000003,0.42400998,8
EunwooCha,Obama,000005_0,000005,0.45793313,8
EunwooCha,Obama,000005_0,000006,0.5670093,7
EunwooCha,Obama,000005_0,000011,0.45473623,8
EunwooCha,Obama,000005_0,000012,0.55951977,8
EunwooCha,Obama,000005_0,000013,0.50129336,8
EunwooCha,Obama,000005_0,000014,0.325571,7
EunwooCha,Obama,000005_0,000016,0.55300575,6
EunwooCha,Obama,000005_0,000017,0.42607024,7
