celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
EunwooCha,TaylorSwift,000001_0,000001,0.41173252,10
EunwooCha,TaylorSwift,000001_0,000003,0.4477582,10
EunwooCha,TaylorSwift,000001_0,000005,0.46453783,9
EunwooCha,TaylorSwift,000001_0,000006,0.43693134,7
EunwooCha,TaylorSwift,000001_0,000008,0.5093666,9
EunwooCha,TaylorSwift,000001_0,000009,0.46046555,8
EunwooCha,TaylorSwift,000001_0,000010,0.5667221,5
EunwooCha,TaylorSwift,000001_0,000012,0.5405237,10
EunwooCha,TaylorSwift,000001_0,000013,0.44412225,10
EunwooCha,TaylorSwift,000001_0,000014,0.45142984,7
EunwooCha,TaylorSwift,000001_0,000019,0.43530726,7
EunwooCha,TaylorSwift,000001_0,000020,0.44852704,8
EunwooCha,TaylorSwift,000001_0,000021,0.45157582,9
EunwooCha,TaylorSwift,000001_0,000031,0.46597043,10
EunwooCha,TaylorSwift,000001_0,000032,0.47146818,6
EunwooCha,TaylorSwift,000001_0,000035,0.43325797,8
EunwooCha,TaylorSwift,000001_0,000036,0.43471014,8
EunwooCha,TaylorSwift,000001_0,000037,0.44229642,8
EunwooCha,TaylorSwift,000001_0,000038,0.4501028,10
EunwooCha,TaylorSwift,000001_0,000039,0.37487772,9
EunwooCha,TaylorSwift,000001_0,000046,0.5209729,7
EunwooCha,TaylorSwift,000001_0,000047,0.42734134,8
EunwooCha,TaylorSwift,000001_0,000048,0.4674638,10
EunwooCha,TaylorSwift,000001_0,000052,0.4453412,8
EunwooCha,TaylorSwift,000001_0,000054,0.499344,8
EunwooCha,TaylorSwift,000001_0,000056,0.58981746,8
EunwooCha,TaylorSwift,000001_0,000057,0.43910864,9
EunwooCha,TaylorSwift,000001_0,000058,0.44752213,8
EunwooCha,TaylorSwift,000001_0,000062,0.49052045,7
EunwooCha,TaylorSwift,000001_0,000064,0.41487077,8
EunwooCha,TaylorSwift,000001_0,000066,0.49046043,7
EunwooCha,TaylorSwift,000001_0,000069,0.4704302,7
EunwooCha,TaylorSwift,000001_0,000070,0.55964357,8
EunwooCha,TaylorSwift,000001_0,000080,0.47409195,8
EunwooCha,TaylorSwift,000001_0,000091,0.39358428,7
EunwooCha,TaylorSwift,000001_0,000096,0.5370381,8
EunwooCha,TaylorSwift,000001_0,000097,0.46208128,9
EunwooCha,TaylorSwift,000001_0,000098,0.43713057,8
EunwooCha,TaylorSwift,000001_0,000101,0.4643894,8
EunwooCha,TaylorSwift,000001_0,000103,0.47153044,7
EunwooCha,TaylorSwift,000001_0,108,0.52526695,6
EunwooCha,TaylorSwift,000001_0,109,0.49371397,8
EunwooCha,TaylorSwift,000001_0,111,0.47426796,8
EunwooCha,TaylorSwift,000001_0,113,0.4669976,7
EunwooCha,TaylorSwift,000001_0,114,0.51284873,5
EunwooCha,TaylorSwift,000001_0,115,0.4863947,8
EunwooCha,TaylorSwift,000001_0,116,0.497254,9
EunwooCha,TaylorSwift,000001_0,117,0.42463064,9
EunwooCha,TaylorSwift,000001_0,118,0.50318766,7
EunwooCha,TaylorSwift,000001_0,200,0.46871677,7
EunwooCha,TaylorSwift,000003_0,000001,0.5630044,8
EunwooCha,TaylorSwift,000003_0,000003,0.57752717,8
EunwooCha,TaylorSwift,000003_0,000005,0.56470394,7
EunwooCha,TaylorSwift,000003_0,000006,0.61023146,7
EunwooCha,TaylorSwift,000003_0,000008,0.59723765,7
EunwooCha,TaylorSwift,000003_0,000009,0.5622739,7
EunwooCha,TaylorSwift,000003_0,000010,0.6287394,5
EunwooCha,TaylorSwift,000003_0,000012,0.5135195,8
EunwooCha,TaylorSwift,000003_0,000013,0.61360776,8
EunwooCha,TaylorSwift,000003_0,000014,0.54455584,6
EunwooCha,TaylorSwift,000003_0,000019,0.5131557,6
EunwooCha,TaylorSwift,000003_0,000020,0.59129864,7
EunwooCha,TaylorSwift,000003_0,000021,0.60399467,7
EunwooCha,TaylorSwift,000003_0,000031,0.4595014,8
EunwooCha,TaylorSwift,000003_0,000032,0.5467982,5
EunwooCha,TaylorSwift,000003_0,000035,0.5860662,7
EunwooCha,TaylorSwift,000003_0,000036,0.5445458,7
EunwooCha,TaylorSwift,000003_0,000037,0.5517617,7
EunwooCha,TaylorSwift,000003_0,000038,0.57094383,8
EunwooCha,TaylorSwift,000003_0,000039,0.53091496,7
EunwooCha,TaylorSwift,000003_0,000046,0.54733825,6
EunwooCha,TaylorSwift,000003_0,000047,0.54179806,7
EunwooCha,TaylorSwift,000003_0,000048,0.6033463,8
EunwooCha,TaylorSwift,000003_0,000052,0.54522616,7
EunwooCha,TaylorSwift,000003_0,000054,0.55103004,7
EunwooCha,TaylorSwift,000003_0,000056,0.56670517,7
EunwooCha,TaylorSwift,000003_0,000057,0.58797944,8
EunwooCha,TaylorSwift,000003_0,000058,0.5773327,7
EunwooCha,TaylorSwift,000003_0,000062,0.57417184,6
EunwooCha,TaylorSwift,000003_0,000064,0.5242961,7
EunwooCha,TaylorSwift,000003_0,000066,0.54492706,6
EunwooCha,TaylorSwift,000003_0,000069,0.5336732,6
EunwooCha,TaylorSwift,000003_0,000070,0.5222839,7
EunwooCha,TaylorSwift,000003_0,000080,0.5965037,6
EunwooCha,TaylorSwift,000003_0,000091,0.4696922,6
EunwooCha,TaylorSwift,000003_0,000096,0.64135945,7
EunwooCha,TaylorSwift,000003_0,000097,0.5639636,7
EunwooCha,TaylorSwift,000003_0,000098,0.48066828,7
EunwooCha,TaylorSwift,000003_0,000101,0.52222615,7
EunwooCha,TaylorSwift,000003_0,000103,0.54560524,6
EunwooCha,TaylorSwift,000003_0,108,0.60972947,6
EunwooCha,TaylorSwift,000003_0,109,0.5996229,7
EunwooCha,TaylorSwift,000003_0,111,0.5017857,7
EunwooCha,TaylorSwift,000003_0,113,0.53724664,6
EunwooCha,TaylorSwift,000003_0,114,0.60364807,5
EunwooCha,TaylorSwift,000003_0,115,0.58600825,7
EunwooCha,TaylorSwift,000003_0,116,0.5271426,8
EunwooCha,TaylorSwift,000003_0,117,0.5663349,7
EunwooCha,TaylorSwift,000003_0,118,0.62574893,6
EunwooCha,TaylorSwift,000003_0,200,0.5787238,6
EunwooCha,TaylorSwift,000005_0,000001,0.38428187,8
EunwooCha,TaylorSwift,000005_0,000003,0.46700564,8
EunwooCha,TaylorSwift,000005_0,000005,0.40271083,7
EunwooCha,TaylorSwift,000005_0,000006,0.62173563,7
EunwooCha,TaylorSwift,000005_0,000008,0.4383714,7
EunwooCha,TaylorSwift,000005_0,000009,0.5334371,8
EunwooCha,TaylorSwift,000005_0,000010,0.58635056,5
EunwooCha,TaylorSwift,000005_0,000012,0.3626739,8
EunwooCha,TaylorSwift,000005_0,000013,0.48194966,8
EunwooCha,TaylorSwift,000005_0,000014,0.53641784,7
EunwooCha,TaylorSwift,000005_0,000019,0.47477502,7
EunwooCha,TaylorSwift,000005_0,000020,0.53201604,8
EunwooCha,TaylorSwift,000005_0,000021,0.3797726,7
EunwooCha,TaylorSwift,000005_0,000031,0.43703806,8
EunwooCha,TaylorSwift,000005_0,000032,0.5221538,6
EunwooCha,TaylorSwift,000005_0,000035,0.47416627,6
EunwooCha,TaylorSwift,000005_0,000036,0.48692968,6
EunwooCha,TaylorSwift,000005_0,000037,0.52843964,8
EunwooCha,TaylorSwift,000005_0,000038,0.39120844,8
EunwooCha,TaylorSwift,000005_0,000039,0.41923302,7
EunwooCha,TaylorSwift,000005_0,000046,0.5931546,7
EunwooCha,TaylorSwift,000005_0,000047,0.48491356,6
EunwooCha,TaylorSwift,000005_0,000048,0.4636656,8
EunwooCha,TaylorSwift,000005_0,000052,0.56663674,6
EunwooCha,TaylorSwift,000005_0,000054,0.6405405,7
EunwooCha,TaylorSwift,000005_0,000056,0.452755,6
