celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
EunwooCha,TomHolland,000001_0,000001,0.39348683,9
EunwooCha,TomHolland,000001_0,000003,0.469762,8
EunwooCha,TomHolland,000001_0,000008,0.39704284,10
EunwooCha,TomHolland,000001_0,000009,0.36342913,10
EunwooCha,TomHolland,000001_0,000010,0.39679116,10
EunwooCha,TomHolland,000001_0,000013,0.48515952,9
EunwooCha,TomHolland,000001_0,000016,0.4277457,9
EunwooCha,TomHolland,000001_0,000021,0.39025962,10
EunwooCha,TomHolland,000001_0,000022,0.44747183,9
EunwooCha,TomHolland,000001_0,000024,0.359492,8
EunwooCha,TomHolland,000001_0,000026,0.36823285,10
EunwooCha,TomHolland,000001_0,000027,0.41571432,10
EunwooCha,TomHolland,000001_0,000029,0.48301357,7
EunwooCha,TomHolland,000001_0,000030,0.42271042,8
EunwooCha,TomHolland,000001_0,000034,0.39227527,8
EunwooCha,TomHolland,000001_0,000035,0.410556,10
EunwooCha,TomHolland,000001_0,000038,0.45890114,9
EunwooCha,TomHolland,000001_0,000040,0.3754922,10
EunwooCha,TomHolland,000001_0,000041,0.36011586,9
EunwooCha,TomHolland,000001_0,000042,0.40943748,10
EunwooCha,TomHolland,000001_0,000044,0.51723474,9
EunwooCha,TomHolland,000001_0,000046,0.5380874,9
EunwooCha,TomHolland,000001_0,000047,0.4665609,9
EunwooCha,TomHolland,000001_0,000049,0.36752543,9
EunwooCha,TomHolland,000001_0,000050,0.3884483,10
EunwooCha,TomHolland,000001_0,000055,0.4587211,10
EunwooCha,TomHolland,000001_0,000058,0.4903834,8
EunwooCha,TomHolland,000001_0,000060,0.47092798,8
EunwooCha,TomHolland,000001_0,000062,0.42491025,10
EunwooCha,TomHolland,000001_0,000063,0.41970634,10
EunwooCha,TomHolland,000001_0,000065,0.42744708,8
EunwooCha,TomHolland,000001_0,000069,0.38585135,10
EunwooCha,TomHolland,000001_0,000073,0.36764938,10
EunwooCha,TomHolland,000001_0,000075,0.42429942,10
EunwooCha,TomHolland,000001_0,000076,0.37097475,9
EunwooCha,TomHolland,000001_0,000079,0.40440792,9
EunwooCha,TomHolland,000001_0,000083,0.4319077,10
EunwooCha,TomHolland,000001_0,000091,0.41383788,9
EunwooCha,TomHolland,000001_0,000092,0.4361367,9
EunwooCha,TomHolland,000001_0,000096,0.43380925,8
EunwooCha,TomHolland,000001_0,000097,0.44148737,9
EunwooCha,TomHolland,000001_0,000100,0.41731605,10
EunwooCha,TomHolland,000001_0,105,0.5431785,9
EunwooCha,TomHolland,000001_0,106,0.4792913,9
EunwooCha,TomHolland,000001_0,107,0.4648439,8
EunwooCha,TomHolland,000001_0,108,0.44179094,9
EunwooCha,TomHolland,000001_0,110,0.471463,9
EunwooCha,TomHolland,000001_0,111,0.414627,10
EunwooCha,TomHolland,000001_0,113,0.43585095,10
EunwooCha,TomHolland,000001_0,114,0.3581779,10
EunwooCha,TomHolland,000003_0,000001,0.51989603,8
EunwooCha,TomHolland,000003_0,000003,0.5636452,7
EunwooCha,TomHolland,000003_0,000008,0.50501674,8
EunwooCha,TomHolland,000003_0,000009,0.5092318,8
EunwooCha,TomHolland,000003_0,000010,0.50385475,8
EunwooCha,TomHolland,000003_0,000013,0.6382637,8
EunwooCha,TomHolland,000003_0,000016,0.55010587,8
EunwooCha,TomHolland,000003_0,000021,0.55654347,8
EunwooCha,TomHolland,000003_0,000022,0.5173738,8
EunwooCha,TomHolland,000003_0,000024,0.5814057,6
EunwooCha,TomHolland,000003_0,000026,0.58621716,8
EunwooCha,TomHolland,000003_0,000027,0.5471115,8
EunwooCha,TomHolland,000003_0,000029,0.53720534,7
EunwooCha,TomHolland,000003_0,000030,0.5161158,7
EunwooCha,TomHolland,000003_0,000034,0.51771975,6
EunwooCha,TomHolland,000003_0,000035,0.635579,8
EunwooCha,TomHolland,000003_0,000038,0.6131942,8
EunwooCha,TomHolland,000003_0,000040,0.53108263,8
EunwooCha,TomHolland,000003_0,000041,0.5005674,7
EunwooCha,TomHolland,000003_0,000042,0.5751812,8
EunwooCha,TomHolland,000003_0,000044,0.5755549,8
EunwooCha,TomHolland,000003_0,000046,0.5839609,7
EunwooCha,TomHolland,000003_0,000047,0.55092716,8
EunwooCha,TomHolland,000003_0,000049,0.47756872,8
EunwooCha,TomHolland,000003_0,000050,0.58329606,8
EunwooCha,TomHolland,000003_0,000055,0.5184281,8
EunwooCha,TomHolland,000003_0,000058,0.5799884,7
EunwooCha,TomHolland,000003_0,000060,0.54375154,6
EunwooCha,TomHolland,000003_0,000062,0.55314624,8
EunwooCha,TomHolland,000003_0,000063,0.5308077,8
EunwooCha,TomHolland,000003_0,000065,0.5730096,7
EunwooCha,TomHolland,000003_0,000069,0.55143535,8
EunwooCha,TomHolland,000003_0,000073,0.5330821,8
EunwooCha,TomHolland,000003_0,000075,0.5763068,8
EunwooCha,TomHolland,000003_0,000076,0.5004865,7
EunwooCha,TomHolland,000003_0,000079,0.6245332,7
EunwooCha,TomHolland,000003_0,000083,0.5385249,8
EunwooCha,TomHolland,000003_0,000091,0.59297097,7
EunwooCha,TomHolland,000003_0,000092,0.48855025,8
EunwooCha,TomHolland,000003_0,000096,0.58787394,7
EunwooCha,TomHolland,000003_0,000097,0.53699553,8
EunwooCha,TomHolland,000003_0,000100,0.56885904,8
EunwooCha,TomHolland,000003_0,105,0.52152187,7
EunwooCha,TomHolland,000003_0,106,0.61594266,8
EunwooCha,TomHolland,000003_0,107,0.59682286,7
EunwooCha,TomHolland,000003_0,108,0.56212187,8
EunwooCha,TomHolland,000003_0,110,0.5828026,8
EunwooCha,TomHolland,000003_0,111,0.5575808,8
EunwooCha,TomHolland,000003_0,113,0.5647383,8
EunwooCha,TomHolland,000003_0,114,0.525165,8
EunwooCha,TomHolland,000005_0,000001,0.50992465,7
EunwooCha,TomHolland,000005_0,000003,0.48033294,6
EunwooCha,TomHolland,000005_0,000008,0.44996566,8
EunwooCha,TomHolland,000005_0,000009,0.3877133,8
EunwooCha,TomHolland,000005_0,000010,0.34861934,8
EunwooCha,TomHolland,000005_0,000013,0.51509255,7
EunwooCha,TomHolland,000005_0,000016,0.47594398,7
EunwooCha,TomHolland,000005_0,000021,0.38544673,8
EunwooCha,TomHolland,000005_0,000022,0.46157935,7
EunwooCha,TomHolland,000005_0,000024,0.4108089,7
EunwooCha,TomHolland,000005_0,000026,0.37631923,8
EunwooCha,TomHolland,000005_0,000027,0.3515708,8
EunwooCha,TomHolland,000005_0,000029,0.5936542,7
EunwooCha,TomHolland,000005_0,000030,0.6116609,6
EunwooCha,TomHolland,000005_0,000034,0.4670028,7
