celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
FanBingbing,IshiharaSatomi,000001,000003,0.50679994,6
FanBingbing,IshiharaSatomi,000001,000004,0.45590067,8
FanBingbing,IshiharaSatomi,000001,000009,0.5439058,6
FanBingbing,IshiharaSatomi,000001,000010,0.43809325,8
FanBingbing,IshiharaSatomi,000001,000011,0.55857027,8
FanBingbing,IshiharaSatomi,000001,000012,0.59262913,8
FanBingbing,IshiharaSatomi,000001,000014,0.4569773,8
FanBingbing,IshiharaSatomi,000001,000015,0.45531392,8
FanBingbing,IshiharaSatomi,000001,000017,0.5228867,6
FanBingbing,IshiharaSatomi,000001,000019,0.46919122,6
FanBingbing,IshiharaSatomi,000001,000020,0.5122779,8
FanBingbing,IshiharaSatomi,000001,000021,0.54716957,8
FanBingbing,IshiharaSatomi,000001,000022,0.41978732,6
FanBingbing,IshiharaSatomi,000001,000023,0.5608667,7
FanBingbing,IshiharaSatomi,000001,000025,0.45006302,6
FanBingbing,IshiharaSatomi,000001,000026,0.5719291,8
FanBingbing,IshiharaSatomi,000001,000029,0.48115626,6
FanBingbing,IshiharaSatomi,000001,000031,0.56831956,8
FanBingbing,IshiharaSatomi,000001,000033,0.65195465,8
FanBingbing,IshiharaSatomi,000001,000035,0.6552144,8
FanBingbing,IshiharaSatomi,000001,000039,0.524894,8
FanBingbing,IshiharaSatomi,000001,000042,0.61964864,8
FanBingbing,IshiharaSatomi,000001,000045,0.6458794,8
FanBingbing,IshiharaSatomi,000001,000047,0.51994044,7
FanBingbing,IshiharaSatomi,000001,000048,0.54590124,8
FanBingbing,IshiharaSatomi,000001,000049,0.55698335,8
FanBingbing,IshiharaSatomi,000001,000051,0.5329253,8
FanBingbing,IshiharaSatomi,000001,000052,0.45850593,8
FanBingbing,IshiharaSatomi,000001,000054,0.5169288,8
FanBingbing,IshiharaSatomi,000001,000059,0.61802924,8
FanBingbing,IshiharaSatomi,000001,000060,0.56767523,8
FanBingbing,IshiharaSatomi,000001,000061,0.5421588,8
FanBingbing,IshiharaSatomi,000001,000063,0.44220352,7
FanBingbing,IshiharaSatomi,000001,000065,0.50675243,6
FanBingbing,IshiharaSatomi,000001,000066,0.5704938,8
FanBingbing,IshiharaSatomi,000001,000069,0.5383526,8
FanBingbing,IshiharaSatomi,000001,000070,0.53088415,6
FanBingbing,IshiharaSatomi,000001,000071,0.4712678,6
FanBingbing,IshiharaSatomi,000001,000076,0.47218823,6
FanBingbing,IshiharaSatomi,000001,000079,0.49541017,6
FanBingbing,IshiharaSatomi,000001,000081,0.53583115,8
FanBingbing,IshiharaSatomi,000001,000082,0.55194366,8
FanBingbing,IshiharaSatomi,000001,000083,0.5663039,6
FanBingbing,IshiharaSatomi,000001,000084,0.4880148,6
FanBingbing,IshiharaSatomi,000001,000086,0.5473901,8
FanBingbing,IshiharaSatomi,000001,000089,0.53836834,6
FanBingbing,IshiharaSatomi,000001,000095,0.5200951,6
FanBingbing,IshiharaSatomi,000001,000097,0.48945206,8
FanBingbing,IshiharaSatomi,000001,000100,0.5296826,6
FanBingbing,IshiharaSatomi,000001,000101,0.45411053,6
FanBingbing,IshiharaSatomi,000003,000003,0.5547394,7
FanBingbing,IshiharaSatomi,000003,000004,0.5051144,9
FanBingbing,IshiharaSatomi,000003,000009,0.5810892,6
FanBingbing,IshiharaSatomi,000003,000010,0.4766431,8
FanBingbing,IshiharaSatomi,000003,000011,0.5756583,10
FanBingbing,IshiharaSatomi,000003,000012,0.5819204,9
FanBingbing,IshiharaSatomi,000003,000014,0.48272923,8
FanBingbing,IshiharaSatomi,000003,000015,0.49782807,8
FanBingbing,IshiharaSatomi,000003,000017,0.516008,7
FanBingbing,IshiharaSatomi,000003,000019,0.46727034,7
FanBingbing,IshiharaSatomi,000003,000020,0.53465044,9
FanBingbing,IshiharaSatomi,000003,000021,0.4618717,10
FanBingbing,IshiharaSatomi,000003,000022,0.5143033,7
FanBingbing,IshiharaSatomi,000003,000023,0.5907445,7
FanBingbing,IshiharaSatomi,000003,000025,0.5146832,7
FanBingbing,IshiharaSatomi,000003,000026,0.4776617,10
FanBingbing,IshiharaSatomi,000003,000029,0.5500565,7
FanBingbing,IshiharaSatomi,000003,000031,0.49728337,8
FanBingbing,IshiharaSatomi,000003,000033,0.64044166,9
FanBingbing,IshiharaSatomi,000003,000035,0.5880316,9
FanBingbing,IshiharaSatomi,000003,000039,0.50769836,8
FanBingbing,IshiharaSatomi,000003,000042,0.6048691,8
FanBingbing,IshiharaSatomi,000003,000045,0.5824958,9
FanBingbing,IshiharaSatomi,000003,000047,0.44820443,7
FanBingbing,IshiharaSatomi,000003,000048,0.56741786,9
FanBingbing,IshiharaSatomi,000003,000049,0.5846368,8
FanBingbing,IshiharaSatomi,000003,000051,0.49268594,9
FanBingbing,IshiharaSatomi,000003,000052,0.49156412,9
FanBingbing,IshiharaSatomi,000003,000054,0.5571486,8
FanBingbing,IshiharaSatomi,000003,000059,0.519421,9
FanBingbing,IshiharaSatomi,000003,000060,0.5934631,10
FanBingbing,IshiharaSatomi,000003,000061,0.55614024,8
FanBingbing,IshiharaSatomi,000003,000063,0.4141035,7
FanBingbing,IshiharaSatomi,000003,000065,0.5194804,6
FanBingbing,IshiharaSatomi,000003,000066,0.51013166,8
FanBingbing,IshiharaSatomi,000003,000069,0.5305463,8
FanBingbing,IshiharaSatomi,000003,000070,0.5543609,6
FanBingbing,IshiharaSatomi,000003,000071,0.4673608,8
FanBingbing,IshiharaSatomi,000003,000076,0.4782099,7
FanBingbing,IshiharaSatomi,000003,000079,0.54744923,8
FanBingbing,IshiharaSatomi,000003,000081,0.48946273,8
FanBingbing,IshiharaSatomi,000003,000082,0.57603085,9
FanBingbing,IshiharaSatomi,000003,000083,0.57932913,7
FanBingbing,IshiharaSatomi,000003,000084,0.45504957,7
FanBingbing,IshiharaSatomi,000003,000086,0.5061651,10
FanBingbing,IshiharaSatomi,000003,000089,0.5393801,6
FanBingbing,IshiharaSatomi,000003,000095,0.51943326,7
FanBingbing,IshiharaSatomi,000003,000097,0.5442045,8
FanBingbing,IshiharaSatomi,000003,000100,0.491059,7
FanBingbing,IshiharaSatomi,000003,000101,0.42397186,7
FanBingbing,IshiharaSatomi,000004,000003,0.5712544,7
FanBingbing,IshiharaSatomi,000004,000004,0.59121794,9
FanBingbing,IshiharaSatomi,000004,000009,0.54688877,6
FanBingbing,IshiharaSatomi,000004,000010,0.505452,8
FanBingbing,IshiharaSatomi,000004,000011,0.60736,9
FanBingbing,IshiharaSatomi,000004,000012,0.5734087,9
FanBingbing,IshiharaSatomi,000004,000014,0.51569736,8
FanBingbing,IshiharaSatomi,000004,000015,0.5208631,8
FanBingbing,IshiharaSatomi,000004,000017,0.4701502,7
FanBingbing,IshiharaSatomi,000004,000019,0.36618152,7
FanBingbing,IshiharaSatomi,000004,000020,0.58619297,9
FanBingbing,IshiharaSatomi,000004,000021,0.507454,10
FanBingbing,IshiharaSatomi,000004,000022,0.5805607,7
FanBingbing,IshiharaSatomi,000004,000023,0.5423152,7
FanBingbing,IshiharaSatomi,000004,000025,0.49757496,7
FanBingbing,IshiharaSatomi,000004,000026,0.5047858,10
FanBingbing,IshiharaSatomi,000004,000029,0.54849815,7
FanBingbing,IshiharaSatomi,000004,000031,0.5592524,8
FanBingbing,IshiharaSatomi,000004,000033,0.6869264,9
FanBingbing,IshiharaSatomi,000004,000035,0.6316709,9
FanBingbing,IshiharaSatomi,000004,000039,0.56729966,8
FanBingbing,IshiharaSatomi,000004,000042,0.5747985,8
FanBingbing,IshiharaSatomi,000004,000045,0.6289856,9
FanBingbing,IshiharaSatomi,000004,000047,0.5065055,7
FanBingbing,IshiharaSatomi,000004,000048,0.5684879,9
FanBingbing,IshiharaSatomi,000004,000049,0.64155924,8
FanBingbing,IshiharaSatomi,000004,000051,0.4922424,9
FanBingbing,IshiharaSatomi,000004,000052,0.55211097,9
FanBingbing,IshiharaSatomi,000004,000054,0.6061735,8
FanBingbing,IshiharaSatomi,000004,000059,0.50624245,9
FanBingbing,IshiharaSatomi,000004,000060,0.5309419,10
FanBingbing,IshiharaSatomi,000004,000061,0.5444894,8
FanBingbing,IshiharaSatomi,000004,000063,0.3686498,7
FanBingbing,IshiharaSatomi,000004,000065,0.51887304,6
FanBingbing,IshiharaSatomi,000004,000066,0.5305531,8
FanBingbing,IshiharaSatomi,000004,000069,0.62579083,8
FanBingbing,IshiharaSatomi,000004,000070,0.5162609,6
FanBingbing,IshiharaSatomi,000004,000071,0.4455143,7
FanBingbing,IshiharaSatomi,000004,000076,0.48623198,7
FanBingbing,IshiharaSatomi,000004,000079,0.51142275,7
FanBingbing,IshiharaSatomi,000004,000081,0.4949664,8
FanBingbing,IshiharaSatomi,000004,000082,0.53800565,9
FanBingbing,IshiharaSatomi,000004,000083,0.593824,7
