celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
FanBingbing,JKRowling,000001,000005,0.48258942,8
FanBingbing,JKRowling,000001,000008,0.5847249,8
FanBingbing,JKRowling,000001,000009,0.4551756,8
FanBingbing,JKRowling,000001,000010,0.52861047,8
FanBingbing,JKRowling,000001,000012,0.48947677,8
FanBingbing,JKRowling,000001,000014,0.63183415,8
FanBingbing,JKRowling,000001,000015,0.42127526,8
FanBingbing,JKRowling,000001,000017,0.5291914,8
FanBingbing,JKRowling,000001,000018,0.5194999,8
FanBingbing,JKRowling,000001,000021,0.5589278,8
FanBingbing,JKRowling,000001,000022,0.5690912,8
FanBingbing,JKRowling,000001,000027,0.48490405,8
FanBingbing,JKRowling,000001,000029,0.5381955,8
FanBingbing,JKRowling,000001,000030,0.59743047,8
FanBingbing,JKRowling,000001,000031,0.42960757,8
FanBingbing,JKRowling,000001,000032,0.5262262,8
FanBingbing,JKRowling,000001,000035,0.48384985,6
FanBingbing,JKRowling,000001,000036,0.5402584,8
FanBingbing,JKRowling,000001,000038,0.5456237,8
FanBingbing,JKRowling,000001,000041,0.5722755,8
FanBingbing,JKRowling,000001,000044,0.5512621,8
FanBingbing,JKRowling,000001,000045,0.5633699,8
FanBingbing,JKRowling,000001,000047,0.6197059,8
FanBingbing,JKRowling,000001,000049,0.5519656,8
FanBingbing,JKRowling,000001,000051,0.6062893,8
FanBingbing,JKRowling,000001,000053,0.52199394,8
FanBingbing,JKRowling,000001,000055,0.5963149,8
FanBingbing,JKRowling,000001,000057,0.5176886,8
FanBingbing,JKRowling,000001,000060,0.42855534,6
FanBingbing,JKRowling,000001,000063,0.5747665,8
FanBingbing,JKRowling,000001,000065,0.5187518,8
FanBingbing,JKRowling,000001,000068,0.5486195,8
FanBingbing,JKRowling,000001,000071,0.56964433,8
FanBingbing,JKRowling,000001,000075,0.4847615,6
FanBingbing,JKRowling,000001,000076,0.67324185,8
FanBingbing,JKRowling,000001,000078,0.5978772,8
FanBingbing,JKRowling,000001,000079,0.5337922,6
FanBingbing,JKRowling,000001,000082,0.5270126,8
FanBingbing,JKRowling,000001,000085,0.5232392,6
FanBingbing,JKRowling,000001,000087,0.5430335,8
FanBingbing,JKRowling,000001,000090,0.4636162,8
FanBingbing,JKRowling,000001,000092,0.5714669,8
FanBingbing,JKRowling,000001,000094,0.55372417,8
FanBingbing,JKRowling,000001,000096,0.47288018,8
FanBingbing,JKRowling,000001,000097,0.5416378,8
FanBingbing,JKRowling,000001,000101,0.5941984,8
FanBingbing,JKRowling,000001,000102,0.5679503,8
FanBingbing,JKRowling,000001,106,0.42143252,8
FanBingbing,JKRowling,000001,110,0.5241074,7
FanBingbing,JKRowling,000001,111,0.4329011,6
FanBingbing,JKRowling,000003,000005,0.5568398,10
FanBingbing,JKRowling,000003,000008,0.6491825,9
FanBingbing,JKRowling,000003,000009,0.5943129,9
FanBingbing,JKRowling,000003,000010,0.5205105,10
FanBingbing,JKRowling,000003,000012,0.6275522,8
FanBingbing,JKRowling,000003,000014,0.6342538,9
FanBingbing,JKRowling,000003,000015,0.4904906,9
FanBingbing,JKRowling,000003,000017,0.56766975,8
FanBingbing,JKRowling,000003,000018,0.5607747,9
FanBingbing,JKRowling,000003,000021,0.5848946,9
FanBingbing,JKRowling,000003,000022,0.57270837,10
FanBingbing,JKRowling,000003,000027,0.48989955,10
FanBingbing,JKRowling,000003,000029,0.5366361,10
FanBingbing,JKRowling,000003,000030,0.60401267,9
FanBingbing,JKRowling,000003,000031,0.5131029,10
FanBingbing,JKRowling,000003,000032,0.5291508,10
FanBingbing,JKRowling,000003,000035,0.4933617,7
FanBingbing,JKRowling,000003,000036,0.5252884,9
FanBingbing,JKRowling,000003,000038,0.57232726,10
FanBingbing,JKRowling,000003,000041,0.67689174,9
FanBingbing,JKRowling,000003,000044,0.54189944,9
FanBingbing,JKRowling,000003,000045,0.60253423,9
FanBingbing,JKRowling,000003,000047,0.70405877,10
FanBingbing,JKRowling,000003,000049,0.52690274,10
FanBingbing,JKRowling,000003,000051,0.6105968,10
FanBingbing,JKRowling,000003,000053,0.562532,8
FanBingbing,JKRowling,000003,000055,0.6067479,9
FanBingbing,JKRowling,000003,000057,0.5880161,9
FanBingbing,JKRowling,000003,000060,0.46951765,7
FanBingbing,JKRowling,000003,000063,0.60129404,8
FanBingbing,JKRowling,000003,000065,0.63575226,9
