celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
FanBingbing,Obama,000001,000001,0.43448466,8
FanBingbing,Obama,000001,000003,0.43683365,7
FanBingbing,Obama,000001,000005,0.468151,6
FanBingbing,Obama,000001,000006,0.41387615,7
FanBingbing,Obama,000001,000011,0.42937326,6
FanBingbing,Obama,000001,000012,0.39962643,7
FanBingbing,Obama,000001,000013,0.5722647,8
FanBingbing,Obama,000001,000014,0.4839306,8
FanBingbing,Obama,000001,000016,0.41952643,6
FanBingbing,Obama,000001,000017,0.5559195,8
FanBingbing,Obama,000001,000024,0.457533,6
FanBingbing,Obama,000001,000029,0.4071695,6
FanBingbing,Obama,000001,000030,0.5029614,6
FanBingbing,Obama,000001,000031,0.4914326,8
FanBingbing,Obama,000001,000033,0.55410147,8
FanBingbing,Obama,000001,000037,0.40843993,8
FanBingbing,Obama,000001,000041,0.5045736,8
FanBingbing,Obama,000001,000043,0.50359935,8
FanBingbing,Obama,000001,000044,0.44334698,8
FanBingbing,Obama,000001,000046,0.51972866,8
FanBingbing,Obama,000001,000049,0.51159334,8
FanBingbing,Obama,000001,000052,0.45155954,8
FanBingbing,Obama,000001,000053,0.37403145,6
FanBingbing,Obama,000001,000054,0.4050148,8
FanBingbing,Obama,000001,000059,0.4242275,6
FanBingbing,Obama,000001,000060,0.4227067,6
FanBingbing,Obama,000001,000067,0.57903475,8
FanBingbing,Obama,000001,000069,0.48852476,8
FanBingbing,Obama,000001,000070,0.5925704,8
FanBingbing,Obama,000001,000073,0.4407035,6
FanBingbing,Obama,000001,000074,0.5686134,8
FanBingbing,Obama,000001,000075,0.52723837,7
FanBingbing,Obama,000001,000079,0.49801505,6
FanBingbing,Obama,000001,000082,0.5063345,8
FanBingbing,Obama,000001,000083,0.49847654,6
FanBingbing,Obama,000001,000084,0.563353,8
FanBingbing,Obama,000001,000087,0.3914227,7
FanBingbing,Obama,000001,000088,0.48738676,8
FanBingbing,Obama,000001,000089,0.595258,8
FanBingbing,Obama,000001,000093,0.44422916,7
FanBingbing,Obama,000001,000094,0.42159212,6
FanBingbing,Obama,000001,000095,0.51181805,7
FanBingbing,Obama,000001,000096,0.4658145,6
FanBingbing,Obama,000001,000097,0.39470923,6
FanBingbing,Obama,000001,000098,0.54867095,6
FanBingbing,Obama,000001,000099,0.47802743,8
FanBingbing,Obama,000001,000100,0.48034847,8
FanBingbing,Obama,000001,000101,0.55785525,8
FanBingbing,Obama,000001,000102,0.4925837,8
FanBingbing,Obama,000001,000105,0.4565668,8
FanBingbing,Obama,000003,000001,0.42112687,8
FanBingbing,Obama,000003,000003,0.44440466,9
FanBingbing,Obama,000003,000005,0.48571897,8
FanBingbing,Obama,000003,000006,0.443315,9
FanBingbing,Obama,000003,000011,0.43137512,8
FanBingbing,Obama,000003,000012,0.4108356,9
FanBingbing,Obama,000003,000013,0.52072144,11
FanBingbing,Obama,000003,000014,0.44248667,9
FanBingbing,Obama,000003,000016,0.44001687,6
FanBingbing,Obama,000003,000017,0.51165545,10
FanBingbing,Obama,000003,000024,0.4427216,8
FanBingbing,Obama,000003,000029,0.44163913,8
FanBingbing,Obama,000003,000030,0.4521892,8
FanBingbing,Obama,000003,000031,0.4820319,10
FanBingbing,Obama,000003,000033,0.5346774,11
FanBingbing,Obama,000003,000037,0.48036647,10
FanBingbing,Obama,000003,000041,0.44032905,11
FanBingbing,Obama,000003,000043,0.46344218,9
FanBingbing,Obama,000003,000044,0.53070545,10
FanBingbing,Obama,000003,000046,0.46153802,8
FanBingbing,Obama,000003,000049,0.4885207,10
FanBingbing,Obama,000003,000052,0.49994642,10
FanBingbing,Obama,000003,000053,0.38539335,7
FanBingbing,Obama,000003,000054,0.41331452,10
FanBingbing,Obama,000003,000059,0.44354376,7
FanBingbing,Obama,000003,000060,0.5064477,7
FanBingbing,Obama,000003,000067,0.532352,10
FanBingbing,Obama,000003,000069,0.47532135,9
FanBingbing,Obama,000003,000070,0.49213967,9
FanBingbing,Obama,000003,000073,0.46082756,7
FanBingbing,Obama,000003,000074,0.45322466,11
FanBingbing,Obama,000003,000075,0.47613034,8
FanBingbing,Obama,000003,000079,0.5000706,8
FanBingbing,Obama,000003,000082,0.4605048,8
FanBingbing,Obama,000003,000083,0.45742968,8
FanBingbing,Obama,000003,000084,0.5328361,10
FanBingbing,Obama,000003,000087,0.39421988,8
FanBingbing,Obama,000003,000088,0.47177428,8
FanBingbing,Obama,000003,000089,0.59262663,9
FanBingbing,Obama,000003,000093,0.38641506,8
FanBingbing,Obama,000003,000094,0.45583382,8
FanBingbing,Obama,000003,000095,0.4423004,8
FanBingbing,Obama,000003,000096,0.48042428,8
FanBingbing,Obama,000003,000097,0.39707017,6
FanBingbing,Obama,000003,000098,0.48523012,7
FanBingbing,Obama,000003,000099,0.45094213,10
FanBingbing,Obama,000003,000100,0.3903384,11
FanBingbing,Obama,000003,000101,0.53830516,10
FanBingbing,Obama,000003,000102,0.43582705,9
FanBingbing,Obama,000003,000105,0.35828754,11
FanBingbing,Obama,000004,000001,0.40921053,8
FanBingbing,Obama,000004,000003,0.34130156,8
FanBingbing,Obama,000004,000005,0.41463676,7
FanBingbing,Obama,000004,000006,0.40672165,8
FanBingbing,Obama,000004,000011,0.4125351,7
FanBingbing,Obama,000004,000012,0.440221,8
FanBingbing,Obama,000004,000013,0.53213227,10
FanBingbing,Obama,000004,000014,0.4052346,9
FanBingbing,Obama,000004,000016,0.4532297,6
FanBingbing,Obama,000004,000017,0.5329937,10
FanBingbing,Obama,000004,000024,0.43624738,7
FanBingbing,Obama,000004,000029,0.37336877,7
FanBingbing,Obama,000004,000030,0.42789334,7
FanBingbing,Obama,000004,000031,0.52701944,9
FanBingbing,Obama,000004,000033,0.53539723,10
FanBingbing,Obama,000004,000037,0.52533746,9
FanBingbing,Obama,000004,000041,0.44338503,10
FanBingbing,Obama,000004,000043,0.44868878,9
FanBingbing,Obama,000004,000044,0.43706682,9
FanBingbing,Obama,000004,000046,0.43561763,8
FanBingbing,Obama,000004,000049,0.47679582,10
FanBingbing,Obama,000004,000052,0.547067,9
FanBingbing,Obama,000004,000053,0.35214162,6
FanBingbing,Obama,000004,000054,0.42878675,9
FanBingbing,Obama,000004,000059,0.41194224,7
FanBingbing,Obama,000004,000060,0.44671893,6
FanBingbing,Obama,000004,000067,0.56161,9
FanBingbing,Obama,000004,000069,0.47952163,9
FanBingbing,Obama,000004,000070,0.46998623,9
FanBingbing,Obama,000004,000073,0.4183844,6
FanBingbing,Obama,000004,000074,0.48239312,10
FanBingbing,Obama,000004,000075,0.43675297,8
FanBingbing,Obama,000004,000079,0.4449131,7
FanBingbing,Obama,000004,000082,0.44240057,8
FanBingbing,Obama,000004,000083,0.3928738,7
FanBingbing,Obama,000004,000084,0.5895473,10
FanBingbing,Obama,000004,000087,0.39938065,7
FanBingbing,Obama,000004,000088,0.4770174,8
FanBingbing,Obama,000004,000089,0.61052054,9
FanBingbing,Obama,000004,000093,0.33876967,8
FanBingbing,Obama,000004,000094,0.39297032,7
FanBingbing,Obama,000004,000095,0.40743846,8
FanBingbing,Obama,000004,000096,0.41931573,7
FanBingbing,Obama,000004,000097,0.4434316,6
FanBingbing,Obama,000004,000098,0.45562342,7
FanBingbing,Obama,000004,000099,0.3659448,9
FanBingbing,Obama,000004,000100,0.39175925,10
FanBingbing,Obama,000004,000101,0.49617878,9
FanBingbing,Obama,000004,000102,0.38985583,9
FanBingbing,Obama,000004,000105,0.36139086,10
FanBingbing,Obama,000007,000001,0.35501876,8
FanBingbing,Obama,000007,000003,0.29306158,8
FanBingbing,Obama,000007,000005,0.3911536,7
FanBingbing,Obama,000007,000006,0.36990985,8
FanBingbing,Obama,000007,000011,0.33612284,7
FanBingbing,Obama,000007,000012,0.40404725,8
FanBingbing,Obama,000007,000013,0.46003485,10
FanBingbing,Obama,000007,000014,0.3412882,9
FanBingbing,Obama,000007,000016,0.4261006,6
FanBingbing,Obama,000007,000017,0.48934358,10
FanBingbing,Obama,000007,000024,0.40134504,7
FanBingbing,Obama,000007,000029,0.36865014,7
FanBingbing,Obama,000007,000030,0.363962,7
FanBingbing,Obama,000007,000031,0.5181599,9
FanBingbing,Obama,000007,000033,0.44661552,10
FanBingbing,Obama,000007,000037,0.45508066,9
FanBingbing,Obama,000007,000041,0.44263482,10
FanBingbing,Obama,000007,000043,0.45113003,9
FanBingbing,Obama,000007,000044,0.37963688,9
FanBingbing,Obama,000007,000046,0.4030992,8
FanBingbing,Obama,000007,000049,0.46842217,10
FanBingbing,Obama,000007,000052,0.5099714,9
FanBingbing,Obama,000007,000053,0.347729,6
FanBingbing,Obama,000007,000054,0.41206977,9
FanBingbing,Obama,000007,000059,0.29392132,7
FanBingbing,Obama,000007,000060,0.41687045,6
FanBingbing,Obama,000007,000067,0.55437034,9
FanBingbing,Obama,000007,000069,0.5078223,9
FanBingbing,Obama,000007,000070,0.46685642,9
