celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
FanBingbing,TaylorSwift,000001,000001,0.5947189,8
FanBingbing,TaylorSwift,000001,000003,0.52759063,8
FanBingbing,TaylorSwift,000001,000005,0.52820194,8
FanBingbing,TaylorSwift,000001,000006,0.51626927,6
FanBingbing,TaylorSwift,000001,000008,0.5878278,8
FanBingbing,TaylorSwift,000001,000009,0.5259381,6
FanBingbing,TaylorSwift,000001,000010,0.60062414,5
FanBingbing,TaylorSwift,000001,000012,0.5271163,8
FanBingbing,TaylorSwift,000001,000013,0.53273654,8
FanBingbing,TaylorSwift,000001,000014,0.47616288,6
FanBingbing,TaylorSwift,000001,000019,0.5215221,6
FanBingbing,TaylorSwift,000001,000020,0.4722904,6
FanBingbing,TaylorSwift,000001,000021,0.5971205,8
FanBingbing,TaylorSwift,000001,000031,0.43224156,8
FanBingbing,TaylorSwift,000001,000032,0.54761535,5
FanBingbing,TaylorSwift,000001,000035,0.5092946,8
FanBingbing,TaylorSwift,000001,000036,0.48134786,8
FanBingbing,TaylorSwift,000001,000037,0.4506154,6
FanBingbing,TaylorSwift,000001,000038,0.58876836,8
FanBingbing,TaylorSwift,000001,000039,0.5279754,8
FanBingbing,TaylorSwift,000001,000046,0.5365079,6
FanBingbing,TaylorSwift,000001,000047,0.4702234,8
FanBingbing,TaylorSwift,000001,000048,0.53671944,8
FanBingbing,TaylorSwift,000001,000052,0.45868644,8
FanBingbing,TaylorSwift,000001,000054,0.5098795,7
FanBingbing,TaylorSwift,000001,000056,0.5678742,8
FanBingbing,TaylorSwift,000001,000057,0.46017638,7
FanBingbing,TaylorSwift,000001,000058,0.5142969,7
FanBingbing,TaylorSwift,000001,000062,0.56457835,6
FanBingbing,TaylorSwift,000001,000064,0.4769265,8
FanBingbing,TaylorSwift,000001,000066,0.55287534,6
FanBingbing,TaylorSwift,000001,000069,0.54225236,6
FanBingbing,TaylorSwift,000001,000070,0.48652774,8
FanBingbing,TaylorSwift,000001,000080,0.5178867,7
FanBingbing,TaylorSwift,000001,000091,0.53419286,6
FanBingbing,TaylorSwift,000001,000096,0.54974973,8
FanBingbing,TaylorSwift,000001,000097,0.59518373,8
FanBingbing,TaylorSwift,000001,000098,0.46763045,7
FanBingbing,TaylorSwift,000001,000101,0.486281,6
FanBingbing,TaylorSwift,000001,000103,0.56227326,6
FanBingbing,TaylorSwift,000001,108,0.5195718,6
FanBingbing,TaylorSwift,000001,109,0.51729715,6
FanBingbing,TaylorSwift,000001,111,0.53646743,6
FanBingbing,TaylorSwift,000001,113,0.4914573,6
FanBingbing,TaylorSwift,000001,114,0.58211696,5
FanBingbing,TaylorSwift,000001,115,0.44135877,6
FanBingbing,TaylorSwift,000001,116,0.48997253,7
FanBingbing,TaylorSwift,000001,117,0.56574667,8
FanBingbing,TaylorSwift,000001,118,0.5726116,6
FanBingbing,TaylorSwift,000001,200,0.50027126,6
FanBingbing,TaylorSwift,000003,000001,0.56742454,11
FanBingbing,TaylorSwift,000003,000003,0.546772,11
FanBingbing,TaylorSwift,000003,000005,0.47346497,9
FanBingbing,TaylorSwift,000003,000006,0.5718761,7
