celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
FanBingbing,TomHolland,000001,000001,0.4825328,8
FanBingbing,TomHolland,000001,000003,0.52032506,8
FanBingbing,TomHolland,000001,000008,0.4191171,8
FanBingbing,TomHolland,000001,000009,0.44164628,8
FanBingbing,TomHolland,000001,000010,0.45587817,8
FanBingbing,TomHolland,000001,000013,0.49979454,8
FanBingbing,TomHolland,000001,000016,0.4103873,8
FanBingbing,TomHolland,000001,000021,0.45234323,8
FanBingbing,TomHolland,000001,000022,0.48480892,8
FanBingbing,TomHolland,000001,000024,0.53057003,6
FanBingbing,TomHolland,000001,000026,0.4683092,8
FanBingbing,TomHolland,000001,000027,0.47674346,8
FanBingbing,TomHolland,000001,000029,0.4418123,6
FanBingbing,TomHolland,000001,000030,0.515255,8
FanBingbing,TomHolland,000001,000034,0.48769403,6
FanBingbing,TomHolland,000001,000035,0.49345288,8
FanBingbing,TomHolland,000001,000038,0.54319954,8
FanBingbing,TomHolland,000001,000040,0.471736,8
FanBingbing,TomHolland,000001,000041,0.39806587,8
FanBingbing,TomHolland,000001,000042,0.5439432,8
FanBingbing,TomHolland,000001,000044,0.4989973,8
FanBingbing,TomHolland,000001,000046,0.54303586,8
FanBingbing,TomHolland,000001,000047,0.52018964,8
FanBingbing,TomHolland,000001,000049,0.44370466,8
FanBingbing,TomHolland,000001,000050,0.46158257,8
FanBingbing,TomHolland,000001,000055,0.504035,8
FanBingbing,TomHolland,000001,000058,0.5589498,8
FanBingbing,TomHolland,000001,000060,0.56360114,6
FanBingbing,TomHolland,000001,000062,0.44496053,8
FanBingbing,TomHolland,000001,000063,0.45979983,8
FanBingbing,TomHolland,000001,000065,0.46645686,8
FanBingbing,TomHolland,000001,000069,0.49301863,8
FanBingbing,TomHolland,000001,000073,0.47040558,8
FanBingbing,TomHolland,000001,000075,0.4843924,8
FanBingbing,TomHolland,000001,000076,0.46511775,8
FanBingbing,TomHolland,000001,000079,0.48017144,8
FanBingbing,TomHolland,000001,000083,0.5334932,8
FanBingbing,TomHolland,000001,000091,0.4656443,8
FanBingbing,TomHolland,000001,000092,0.5189606,8
FanBingbing,TomHolland,000001,000096,0.49528584,8
FanBingbing,TomHolland,000001,000097,0.49447715,8
FanBingbing,TomHolland,000001,000100,0.5353456,8
FanBingbing,TomHolland,000001,105,0.54101014,8
FanBingbing,TomHolland,000001,106,0.5508437,8
FanBingbing,TomHolland,000001,107,0.5813252,8
FanBingbing,TomHolland,000001,108,0.50720215,8
FanBingbing,TomHolland,000001,110,0.4829896,8
FanBingbing,TomHolland,000001,111,0.47512028,8
FanBingbing,TomHolland,000001,113,0.4409725,8
FanBingbing,TomHolland,000001,114,0.5376959,8
FanBingbing,TomHolland,000003,000001,0.4942984,10
FanBingbing,TomHolland,000003,000003,0.57796806,9
FanBingbing,TomHolland,000003,000008,0.49540555,11
FanBingbing,TomHolland,000003,000009,0.511736,11
FanBingbing,TomHolland,000003,000010,0.4567302,11
FanBingbing,TomHolland,000003,000013,0.54168284,10
FanBingbing,TomHolland,000003,000016,0.49901628,9
FanBingbing,TomHolland,000003,000021,0.5554319,11
FanBingbing,TomHolland,000003,000022,0.50136125,10
FanBingbing,TomHolland,000003,000024,0.48120266,9
FanBingbing,TomHolland,000003,000026,0.50477797,11
FanBingbing,TomHolland,000003,000027,0.46616766,11
FanBingbing,TomHolland,000003,000029,0.48921105,7
FanBingbing,TomHolland,000003,000030,0.48579258,8
FanBingbing,TomHolland,000003,000034,0.49730772,9
FanBingbing,TomHolland,000003,000035,0.5354322,11
FanBingbing,TomHolland,000003,000038,0.54380655,10
FanBingbing,TomHolland,000003,000040,0.47989085,11
FanBingbing,TomHolland,000003,000041,0.45338655,10
FanBingbing,TomHolland,000003,000042,0.55642664,11
FanBingbing,TomHolland,000003,000044,0.5200654,10
FanBingbing,TomHolland,000003,000046,0.5041464,9
FanBingbing,TomHolland,000003,000047,0.48131537,10
FanBingbing,TomHolland,000003,000049,0.5016269,10
FanBingbing,TomHolland,000003,000050,0.52750605,10
FanBingbing,TomHolland,000003,000055,0.4908909,11
FanBingbing,TomHolland,000003,000058,0.5185467,8
FanBingbing,TomHolland,000003,000060,0.49371898,9
FanBingbing,TomHolland,000003,000062,0.52029127,11
FanBingbing,TomHolland,000003,000063,0.50664043,11
FanBingbing,TomHolland,000003,000065,0.53303707,9
FanBingbing,TomHolland,000003,000069,0.56123984,10
FanBingbing,TomHolland,000003,000073,0.50473595,11
FanBingbing,TomHolland,000003,000075,0.5174401,11
FanBingbing,TomHolland,000003,000076,0.51911515,10
FanBingbing,TomHolland,000003,000079,0.5247562,10
FanBingbing,TomHolland,000003,000083,0.5053858,11
FanBingbing,TomHolland,000003,000091,0.49719435,10
FanBingbing,TomHolland,000003,000092,0.508162,10
FanBingbing,TomHolland,000003,000096,0.5674081,9
FanBingbing,TomHolland,000003,000097,0.46954495,10
FanBingbing,TomHolland,000003,000100,0.48370057,11
FanBingbing,TomHolland,000003,105,0.45450968,10
FanBingbing,TomHolland,000003,106,0.55060107,10
FanBingbing,TomHolland,000003,107,0.52411616,9
FanBingbing,TomHolland,000003,108,0.48271638,10
FanBingbing,TomHolland,000003,110,0.5091783,10
FanBingbing,TomHolland,000003,111,0.58928585,11
FanBingbing,TomHolland,000003,113,0.5260227,11
FanBingbing,TomHolland,000003,114,0.5375114,11
FanBingbing,TomHolland,000004,000001,0.61317563,9
FanBingbing,TomHolland,000004,000003,0.6205104,9
FanBingbing,TomHolland,000004,000008,0.5611028,10
FanBingbing,TomHolland,000004,000009,0.45672864,10
FanBingbing,TomHolland,000004,000010,0.49693817,10
FanBingbing,TomHolland,000004,000013,0.5814052,9
FanBingbing,TomHolland,000004,000016,0.51955414,8
FanBingbing,TomHolland,000004,000021,0.527329,10
FanBingbing,TomHolland,000004,000022,0.54643494,9
FanBingbing,TomHolland,000004,000024,0.52477133,8
FanBingbing,TomHolland,000004,000026,0.50042206,10
FanBingbing,TomHolland,000004,000027,0.41401148,10
FanBingbing,TomHolland,000004,000029,0.40249255,6
