celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
IshiharaSatomi,Jennie,000003,000001,0.5739812,7
IshiharaSatomi,Jennie,000003,000003,0.6593291,7
IshiharaSatomi,Jennie,000003,000004,0.43170944,6
IshiharaSatomi,Jennie,000003,000005,0.5724121,7
IshiharaSatomi,Jennie,000003,000006,0.5613858,7
IshiharaSatomi,Jennie,000003,000007,0.4166389,7
IshiharaSatomi,Jennie,000003,000010,0.49758554,6
IshiharaSatomi,Jennie,000003,000011,0.5051233,6
IshiharaSatomi,Jennie,000003,000012,0.53253734,7
IshiharaSatomi,Jennie,000003,000013,0.5070197,6
IshiharaSatomi,Jennie,000003,000014,0.46991053,7
IshiharaSatomi,Jennie,000003,000015,0.4531652,6
IshiharaSatomi,Jennie,000003,000023,0.51625216,7
IshiharaSatomi,Jennie,000003,000024,0.5334676,6
IshiharaSatomi,Jennie,000003,000025,0.5951609,6
IshiharaSatomi,Jennie,000003,000026,0.5451589,7
IshiharaSatomi,Jennie,000003,000028,0.53322816,7
IshiharaSatomi,Jennie,000003,000030,0.5243849,7
IshiharaSatomi,Jennie,000003,000033,0.44562933,7
IshiharaSatomi,Jennie,000003,000035,0.45573306,7
IshiharaSatomi,Jennie,000003,000036,0.5528141,7
IshiharaSatomi,Jennie,000003,000037,0.5945107,7
IshiharaSatomi,Jennie,000003,000038,0.47312394,6
IshiharaSatomi,Jennie,000003,000039,0.6779134,6
IshiharaSatomi,Jennie,000003,000042,0.5370386,7
IshiharaSatomi,Jennie,000003,000045,0.5360933,5
IshiharaSatomi,Jennie,000003,000054,0.4695368,7
IshiharaSatomi,Jennie,000003,000060,0.483428,7
IshiharaSatomi,Jennie,000003,000062,0.45151943,7
IshiharaSatomi,Jennie,000003,000063,0.5312076,6
IshiharaSatomi,Jennie,000003,000068,0.51125,7
IshiharaSatomi,Jennie,000003,000069,0.46717775,6
IshiharaSatomi,Jennie,000003,000071,0.5667463,7
IshiharaSatomi,Jennie,000003,000073,0.6025489,7
IshiharaSatomi,Jennie,000003,000074,0.5978759,6
IshiharaSatomi,Jennie,000003,000077,0.5292284,7
IshiharaSatomi,Jennie,000003,000082,0.5387151,6
IshiharaSatomi,Jennie,000003,000083,0.4676704,7
IshiharaSatomi,Jennie,000003,000094,0.4877623,7
IshiharaSatomi,Jennie,000003,000096,0.6019925,7
IshiharaSatomi,Jennie,000003,000098,0.5617028,7
IshiharaSatomi,Jennie,000003,000099,0.5193885,7
IshiharaSatomi,Jennie,000003,000100,0.39533576,7
IshiharaSatomi,Jennie,000003,000104,0.4664986,7
IshiharaSatomi,Jennie,000003,000105,0.53754634,7
IshiharaSatomi,Jennie,000003,000106,0.53466815,6
IshiharaSatomi,Jennie,000003,000107,0.507251,7
IshiharaSatomi,Jennie,000003,000111,0.55586326,7
IshiharaSatomi,Jennie,000003,000112,0.47034833,7
IshiharaSatomi,Jennie,000003,000114,0.52727556,7
IshiharaSatomi,Jennie,000004,000001,0.56623584,9
IshiharaSatomi,Jennie,000004,000003,0.4210475,7
IshiharaSatomi,Jennie,000004,000004,0.4080987,6
IshiharaSatomi,Jennie,000004,000005,0.54575026,9
IshiharaSatomi,Jennie,000004,000006,0.44296062,8
IshiharaSatomi,Jennie,000004,000007,0.42923653,9
IshiharaSatomi,Jennie,000004,000010,0.58325183,8
IshiharaSatomi,Jennie,000004,000011,0.46972704,8
IshiharaSatomi,Jennie,000004,000012,0.49520272,8
IshiharaSatomi,Jennie,000004,000013,0.40587115,8
IshiharaSatomi,Jennie,000004,000014,0.42784023,9
IshiharaSatomi,Jennie,000004,000015,0.5335555,8
IshiharaSatomi,Jennie,000004,000023,0.38183102,9
IshiharaSatomi,Jennie,000004,000024,0.49831006,8
IshiharaSatomi,Jennie,000004,000025,0.59134936,8
IshiharaSatomi,Jennie,000004,000026,0.6184838,9
IshiharaSatomi,Jennie,000004,000028,0.5976229,9
IshiharaSatomi,Jennie,000004,000030,0.46911246,9
IshiharaSatomi,Jennie,000004,000033,0.43058333,9
IshiharaSatomi,Jennie,000004,000035,0.42268616,9
IshiharaSatomi,Jennie,000004,000036,0.42470515,9
IshiharaSatomi,Jennie,000004,000037,0.533232,9
IshiharaSatomi,Jennie,000004,000038,0.44340503,8
IshiharaSatomi,Jennie,000004,000039,0.45912617,8
IshiharaSatomi,Jennie,000004,000042,0.40848452,9
IshiharaSatomi,Jennie,000004,000045,0.60752517,6
IshiharaSatomi,Jennie,000004,000054,0.34391546,8
IshiharaSatomi,Jennie,000004,000060,0.48289898,9
IshiharaSatomi,Jennie,000004,000062,0.3881329,7
IshiharaSatomi,Jennie,000004,000063,0.4735408,8
IshiharaSatomi,Jennie,000004,000068,0.5993002,9
