celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
IshiharaSatomi,Obama,000003,000001,0.48896697,6
IshiharaSatomi,Obama,000003,000003,0.4180816,7
IshiharaSatomi,Obama,000003,000005,0.48856035,7
IshiharaSatomi,Obama,000003,000006,0.52928495,6
IshiharaSatomi,Obama,000003,000011,0.46810278,7
IshiharaSatomi,Obama,000003,000012,0.53904325,7
IshiharaSatomi,Obama,000003,000013,0.47858858,7
IshiharaSatomi,Obama,000003,000014,0.33852154,7
IshiharaSatomi,Obama,000003,000016,0.562182,6
IshiharaSatomi,Obama,000003,000017,0.48335996,7
IshiharaSatomi,Obama,000003,000024,0.5007583,7
IshiharaSatomi,Obama,000003,000029,0.45592567,7
IshiharaSatomi,Obama,000003,000030,0.51894206,7
IshiharaSatomi,Obama,000003,000031,0.4466996,6
IshiharaSatomi,Obama,000003,000033,0.47273707,7
IshiharaSatomi,Obama,000003,000037,0.47896346,6
IshiharaSatomi,Obama,000003,000041,0.36424568,7
IshiharaSatomi,Obama,000003,000043,0.376158,7
IshiharaSatomi,Obama,000003,000044,0.35541582,7
IshiharaSatomi,Obama,000003,000046,0.3068978,6
IshiharaSatomi,Obama,000003,000049,0.39414963,7
IshiharaSatomi,Obama,000003,000052,0.5010447,6
IshiharaSatomi,Obama,000003,000053,0.46533883,6
IshiharaSatomi,Obama,000003,000054,0.3628918,6
IshiharaSatomi,Obama,000003,000059,0.45320565,7
IshiharaSatomi,Obama,000003,000060,0.5751468,6
IshiharaSatomi,Obama,000003,000067,0.45845643,6
IshiharaSatomi,Obama,000003,000069,0.38715577,7
IshiharaSatomi,Obama,000003,000070,0.42375073,7
IshiharaSatomi,Obama,000003,000073,0.5260193,6
IshiharaSatomi,Obama,000003,000074,0.37853846,7
IshiharaSatomi,Obama,000003,000075,0.42542967,7
IshiharaSatomi,Obama,000003,000079,0.5054154,7
IshiharaSatomi,Obama,000003,000082,0.36856604,6
IshiharaSatomi,Obama,000003,000083,0.4713805,7
IshiharaSatomi,Obama,000003,000084,0.48372284,7
IshiharaSatomi,Obama,000003,000087,0.49096236,6
IshiharaSatomi,Obama,000003,000088,0.36433342,6
IshiharaSatomi,Obama,000003,000089,0.5149346,7
IshiharaSatomi,Obama,000003,000093,0.43610516,7
IshiharaSatomi,Obama,000003,000094,0.49128154,7
IshiharaSatomi,Obama,000003,000095,0.50841147,7
IshiharaSatomi,Obama,000003,000096,0.47642836,7
IshiharaSatomi,Obama,000003,000097,0.516481,6
IshiharaSatomi,Obama,000003,000098,0.39348125,7
IshiharaSatomi,Obama,000003,000099,0.46301275,7
IshiharaSatomi,Obama,000003,000100,0.43614036,7
IshiharaSatomi,Obama,000003,000101,0.4349454,7
IshiharaSatomi,Obama,000003,000102,0.38798538,7
IshiharaSatomi,Obama,000003,000105,0.33393687,7
IshiharaSatomi,Obama,000004,000001,0.3163388,8
IshiharaSatomi,Obama,000004,000003,0.3198922,8
IshiharaSatomi,Obama,000004,000005,0.38079137,7
IshiharaSatomi,Obama,000004,000006,0.35524836,7
IshiharaSatomi,Obama,000004,000011,0.38003707,7
IshiharaSatomi,Obama,000004,000012,0.3690763,8
IshiharaSatomi,Obama,000004,000013,0.44720063,9
IshiharaSatomi,Obama,000004,000014,0.3985151,9
IshiharaSatomi,Obama,000004,000016,0.4002948,6
IshiharaSatomi,Obama,000004,000017,0.43519467,9
IshiharaSatomi,Obama,000004,000024,0.33634403,7
IshiharaSatomi,Obama,000004,000029,0.3106231,7
IshiharaSatomi,Obama,000004,000030,0.33114982,7
IshiharaSatomi,Obama,000004,000031,0.41236132,8
IshiharaSatomi,Obama,000004,000033,0.43027368,9
IshiharaSatomi,Obama,000004,000037,0.5798593,8
IshiharaSatomi,Obama,000004,000041,0.34476322,9
IshiharaSatomi,Obama,000004,000043,0.38827512,9
