celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
IshiharaSatomi,TaylorSwift,000003,000001,0.43457034,7
IshiharaSatomi,TaylorSwift,000003,000003,0.5227127,7
IshiharaSatomi,TaylorSwift,000003,000005,0.48588872,7
IshiharaSatomi,TaylorSwift,000003,000006,0.70130545,6
IshiharaSatomi,TaylorSwift,000003,000008,0.49517342,7
IshiharaSatomi,TaylorSwift,000003,000009,0.64664686,7
IshiharaSatomi,TaylorSwift,000003,000010,0.6396059,5
IshiharaSatomi,TaylorSwift,000003,000012,0.41618058,7
IshiharaSatomi,TaylorSwift,000003,000013,0.5118767,7
IshiharaSatomi,TaylorSwift,000003,000014,0.6229038,7
IshiharaSatomi,TaylorSwift,000003,000019,0.5554337,7
IshiharaSatomi,TaylorSwift,000003,000020,0.69536877,7
IshiharaSatomi,TaylorSwift,000003,000021,0.48156667,7
IshiharaSatomi,TaylorSwift,000003,000031,0.46582726,7
IshiharaSatomi,TaylorSwift,000003,000032,0.6422637,6
IshiharaSatomi,TaylorSwift,000003,000035,0.5553562,6
IshiharaSatomi,TaylorSwift,000003,000036,0.6297615,6
IshiharaSatomi,TaylorSwift,000003,000037,0.6929797,7
IshiharaSatomi,TaylorSwift,000003,000038,0.4812502,7
IshiharaSatomi,TaylorSwift,000003,000039,0.45709807,7
IshiharaSatomi,TaylorSwift,000003,000046,0.64575183,7
IshiharaSatomi,TaylorSwift,000003,000047,0.6343774,6
IshiharaSatomi,TaylorSwift,000003,000048,0.49096054,7
IshiharaSatomi,TaylorSwift,000003,000052,0.5916734,6
IshiharaSatomi,TaylorSwift,000003,000054,0.6475925,7
IshiharaSatomi,TaylorSwift,000003,000056,0.48377618,6
IshiharaSatomi,TaylorSwift,000003,000057,0.5640246,7
IshiharaSatomi,TaylorSwift,000003,000058,0.56082755,7
IshiharaSatomi,TaylorSwift,000003,000062,0.6485905,7
IshiharaSatomi,TaylorSwift,000003,000064,0.49094692,6
IshiharaSatomi,TaylorSwift,000003,000066,0.5870001,7
IshiharaSatomi,TaylorSwift,000003,000069,0.60436964,7
IshiharaSatomi,TaylorSwift,000003,000070,0.66203004,6
IshiharaSatomi,TaylorSwift,000003,000080,0.6662051,7
IshiharaSatomi,TaylorSwift,000003,000091,0.46832842,7
IshiharaSatomi,TaylorSwift,000003,000096,0.58866364,6
IshiharaSatomi,TaylorSwift,000003,000097,0.48417348,7
IshiharaSatomi,TaylorSwift,000003,000098,0.5909748,7
IshiharaSatomi,TaylorSwift,000003,000101,0.5920639,7
IshiharaSatomi,TaylorSwift,000003,000103,0.6046119,7
IshiharaSatomi,TaylorSwift,000003,108,0.69173795,6
IshiharaSatomi,TaylorSwift,000003,109,0.64162683,7
IshiharaSatomi,TaylorSwift,000003,111,0.40177715,6
IshiharaSatomi,TaylorSwift,000003,113,0.58420694,7
IshiharaSatomi,TaylorSwift,000003,114,0.64124143,5
IshiharaSatomi,TaylorSwift,000003,115,0.62025464,7
IshiharaSatomi,TaylorSwift,000003,116,0.5619027,7
IshiharaSatomi,TaylorSwift,000003,117,0.536776,7
IshiharaSatomi,TaylorSwift,000003,118,0.5950666,6
IshiharaSatomi,TaylorSwift,000003,200,0.6691279,7
IshiharaSatomi,TaylorSwift,000004,000001,0.46445322,9
IshiharaSatomi,TaylorSwift,000004,000003,0.47688925,9
IshiharaSatomi,TaylorSwift,000004,000005,0.41365296,9
IshiharaSatomi,TaylorSwift,000004,000006,0.48092481,6
IshiharaSatomi,TaylorSwift,000004,000008,0.45536157,9
IshiharaSatomi,TaylorSwift,000004,000009,0.51387703,7
IshiharaSatomi,TaylorSwift,000004,000010,0.44310483,5
IshiharaSatomi,TaylorSwift,000004,000012,0.48062325,9
IshiharaSatomi,TaylorSwift,000004,000013,0.5158163,9
IshiharaSatomi,TaylorSwift,000004,000014,0.4784586,7
IshiharaSatomi,TaylorSwift,000004,000019,0.38034478,7
IshiharaSatomi,TaylorSwift,000004,000020,0.51436365,7
IshiharaSatomi,TaylorSwift,000004,000021,0.4805344,9
IshiharaSatomi,TaylorSwift,000004,000031,0.39469722,9
IshiharaSatomi,TaylorSwift,000004,000032,0.4692379,6
IshiharaSatomi,TaylorSwift,000004,000035,0.5032231,8
IshiharaSatomi,TaylorSwift,000004,000036,0.57422006,8
IshiharaSatomi,TaylorSwift,000004,000037,0.495785,7
IshiharaSatomi,TaylorSwift,000004,000038,0.53738266,9
IshiharaSatomi,TaylorSwift,000004,000039,0.38966048,9
IshiharaSatomi,TaylorSwift,000004,000046,0.44433498,7
IshiharaSatomi,TaylorSwift,000004,000047,0.5749696,8
IshiharaSatomi,TaylorSwift,000004,000048,0.45786157,9
IshiharaSatomi,TaylorSwift,000004,000052,0.43555585,8
IshiharaSatomi,TaylorSwift,000004,000054,0.45353028,8
IshiharaSatomi,TaylorSwift,000004,000056,0.42121089,8
IshiharaSatomi,TaylorSwift,000004,000057,0.5343855,8
IshiharaSatomi,TaylorSwift,000004,000058,0.46692055,8
IshiharaSatomi,TaylorSwift,000004,000062,0.4728103,7
IshiharaSatomi,TaylorSwift,000004,000064,0.52208525,8
IshiharaSatomi,TaylorSwift,000004,000066,0.39930394,7
IshiharaSatomi,TaylorSwift,000004,000069,0.41829386,7
IshiharaSatomi,TaylorSwift,000004,000070,0.44511575,8
IshiharaSatomi,TaylorSwift,000004,000080,0.44066128,8
IshiharaSatomi,TaylorSwift,000004,000091,0.3331165,7
IshiharaSatomi,TaylorSwift,000004,000096,0.537595,8
IshiharaSatomi,TaylorSwift,000004,000097,0.50575125,9
IshiharaSatomi,TaylorSwift,000004,000098,0.3795963,8
IshiharaSatomi,TaylorSwift,000004,000101,0.4290502,7
IshiharaSatomi,TaylorSwift,000004,000103,0.43381232,7
IshiharaSatomi,TaylorSwift,000004,108,0.45163667,6
IshiharaSatomi,TaylorSwift,000004,109,0.45962802,7
IshiharaSatomi,TaylorSwift,000004,111,0.4166084,7
IshiharaSatomi,TaylorSwift,000004,113,0.40450087,7
IshiharaSatomi,TaylorSwift,000004,114,0.4081203,5
IshiharaSatomi,TaylorSwift,000004,115,0.45903188,7
IshiharaSatomi,TaylorSwift,000004,116,0.53426486,8
IshiharaSatomi,TaylorSwift,000004,117,0.55149424,9
IshiharaSatomi,TaylorSwift,000004,118,0.5780129,7
IshiharaSatomi,TaylorSwift,000004,200,0.45570365,7
IshiharaSatomi,TaylorSwift,000009,000001,0.528367,6
IshiharaSatomi,TaylorSwift,000009,000003,0.5222104,6
IshiharaSatomi,TaylorSwift,000009,000005,0.4463537,6
IshiharaSatomi,TaylorSwift,000009,000006,0.70100784,6
IshiharaSatomi,TaylorSwift,000009,000008,0.5224511,6
IshiharaSatomi,TaylorSwift,000009,000009,0.70576555,6
IshiharaSatomi,TaylorSwift,000009,000010,0.7003579,5
IshiharaSatomi,TaylorSwift,000009,000012,0.49609163,6
IshiharaSatomi,TaylorSwift,000009,000013,0.53544,6
IshiharaSatomi,TaylorSwift,000009,000014,0.6600446,6
IshiharaSatomi,TaylorSwift,000009,000019,0.6617554,6
IshiharaSatomi,TaylorSwift,000009,000020,0.6917787,6
IshiharaSatomi,TaylorSwift,000009,000021,0.5832258,6
IshiharaSatomi,TaylorSwift,000009,000031,0.63954693,6
IshiharaSatomi,TaylorSwift,000009,000032,0.73697644,5
IshiharaSatomi,TaylorSwift,000009,000035,0.51945573,6
IshiharaSatomi,TaylorSwift,000009,000036,0.45697927,6
IshiharaSatomi,TaylorSwift,000009,000037,0.6872942,6
IshiharaSatomi,TaylorSwift,000009,000038,0.54179865,6
IshiharaSatomi,TaylorSwift,000009,000039,0.633865,6
IshiharaSatomi,TaylorSwift,000009,000046,0.6661294,6
IshiharaSatomi,TaylorSwift,000009,000047,0.44193336,6
IshiharaSatomi,TaylorSwift,000009,000048,0.5649604,6
IshiharaSatomi,TaylorSwift,000009,000052,0.5293327,6
IshiharaSatomi,TaylorSwift,000009,000054,0.7056311,6
IshiharaSatomi,TaylorSwift,000009,000056,0.5420483,6
IshiharaSatomi,TaylorSwift,000009,000057,0.52217203,6
IshiharaSatomi,TaylorSwift,000009,000058,0.5096205,6
IshiharaSatomi,TaylorSwift,000009,000062,0.6976385,6
IshiharaSatomi,TaylorSwift,000009,000064,0.5075092,6
IshiharaSatomi,TaylorSwift,000009,000066,0.66739297,6
IshiharaSatomi,TaylorSwift,000009,000069,0.6841128,6
IshiharaSatomi,TaylorSwift,000009,000070,0.6664753,6
IshiharaSatomi,TaylorSwift,000009,000080,0.6636584,6
IshiharaSatomi,TaylorSwift,000009,000091,0.6804463,6
IshiharaSatomi,TaylorSwift,000009,000096,0.62468135,6
IshiharaSatomi,TaylorSwift,000009,000097,0.5348987,6
IshiharaSatomi,TaylorSwift,000009,000098,0.6510945,6
IshiharaSatomi,TaylorSwift,000009,000101,0.635997,6
IshiharaSatomi,TaylorSwift,000009,000103,0.6989139,6
IshiharaSatomi,TaylorSwift,000009,108,0.65305096,6
IshiharaSatomi,TaylorSwift,000009,109,0.70575553,6
IshiharaSatomi,TaylorSwift,000009,111,0.43068776,5
IshiharaSatomi,TaylorSwift,000009,113,0.700809,6
IshiharaSatomi,TaylorSwift,000009,114,0.74692076,5
IshiharaSatomi,TaylorSwift,000009,115,0.6070966,6
IshiharaSatomi,TaylorSwift,000009,116,0.544216,6
IshiharaSatomi,TaylorSwift,000009,117,0.55304635,6
IshiharaSatomi,TaylorSwift,000009,118,0.58386594,5
IshiharaSatomi,TaylorSwift,000009,200,0.7333881,6
IshiharaSatomi,TaylorSwift,000010,000001,0.48546648,8
IshiharaSatomi,TaylorSwift,000010,000003,0.55887353,8
IshiharaSatomi,TaylorSwift,000010,000005,0.47812885,8
IshiharaSatomi,TaylorSwift,000010,000006,0.46622053,6
IshiharaSatomi,TaylorSwift,000010,000008,0.5130322,8
IshiharaSatomi,TaylorSwift,000010,000009,0.45953012,6
IshiharaSatomi,TaylorSwift,000010,000010,0.4391025,5
IshiharaSatomi,TaylorSwift,000010,000012,0.39237833,8
IshiharaSatomi,TaylorSwift,000010,000013,0.5336703,8
IshiharaSatomi,TaylorSwift,000010,000014,0.4393127,6
IshiharaSatomi,TaylorSwift,000010,000019,0.4334924,6
IshiharaSatomi,TaylorSwift,000010,000020,0.487028,6
IshiharaSatomi,TaylorSwift,000010,000021,0.44087145,8
IshiharaSatomi,TaylorSwift,000010,000031,0.44340813,8
IshiharaSatomi,TaylorSwift,000010,000032,0.46650964,5
IshiharaSatomi,TaylorSwift,000010,000035,0.5611233,8
IshiharaSatomi,TaylorSwift,000010,000036,0.4317138,8
IshiharaSatomi,TaylorSwift,000010,000037,0.5165338,6
IshiharaSatomi,TaylorSwift,000010,000038,0.4140936,8
IshiharaSatomi,TaylorSwift,000010,000039,0.46963307,8
IshiharaSatomi,TaylorSwift,000010,000046,0.47965434,6
IshiharaSatomi,TaylorSwift,000010,000047,0.4153797,8
IshiharaSatomi,TaylorSwift,000010,000048,0.4490342,8
IshiharaSatomi,TaylorSwift,000010,000052,0.46664497,8
IshiharaSatomi,TaylorSwift,000010,000054,0.4761862,7
IshiharaSatomi,TaylorSwift,000010,000056,0.4079799,8
IshiharaSatomi,TaylorSwift,000010,000057,0.44911724,7
IshiharaSatomi,TaylorSwift,000010,000058,0.4880645,7
IshiharaSatomi,TaylorSwift,000010,000062,0.47743344,6
IshiharaSatomi,TaylorSwift,000010,000064,0.46847534,8
IshiharaSatomi,TaylorSwift,000010,000066,0.4131935,6
IshiharaSatomi,TaylorSwift,000010,000069,0.49235782,6
IshiharaSatomi,TaylorSwift,000010,000070,0.4924447,8
IshiharaSatomi,TaylorSwift,000010,000080,0.46687177,7
IshiharaSatomi,TaylorSwift,000010,000091,0.40791655,6
IshiharaSatomi,TaylorSwift,000010,000096,0.48490733,8
IshiharaSatomi,TaylorSwift,000010,000097,0.57269406,8
IshiharaSatomi,TaylorSwift,000010,000098,0.43674043,7
IshiharaSatomi,TaylorSwift,000010,000101,0.4704446,6
IshiharaSatomi,TaylorSwift,000010,000103,0.44633818,6
IshiharaSatomi,TaylorSwift,000010,108,0.4616784,6
IshiharaSatomi,TaylorSwift,000010,109,0.47979197,6
IshiharaSatomi,TaylorSwift,000010,111,0.36461434,6
IshiharaSatomi,TaylorSwift,000010,113,0.4497752,6
IshiharaSatomi,TaylorSwift,000010,114,0.43863887,5
IshiharaSatomi,TaylorSwift,000010,115,0.42049828,6
IshiharaSatomi,TaylorSwift,000010,116,0.52778244,7
IshiharaSatomi,TaylorSwift,000010,117,0.49019533,8
IshiharaSatomi,TaylorSwift,000010,118,0.54399735,6
IshiharaSatomi,TaylorSwift,000010,200,0.5350892,6
IshiharaSatomi,TaylorSwift,000011,000001,0.49625525,10
IshiharaSatomi,TaylorSwift,000011,000003,0.5289499,10
IshiharaSatomi,TaylorSwift,000011,000005,0.49016583,9
IshiharaSatomi,TaylorSwift,000011,000006,0.4882653,7
