celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
IshiharaSatomi,TomHolland,000003,000001,0.5279873,6
IshiharaSatomi,TomHolland,000003,000003,0.5098517,6
IshiharaSatomi,TomHolland,000003,000008,0.5126715,7
IshiharaSatomi,TomHolland,000003,000009,0.35243288,7
IshiharaSatomi,TomHolland,000003,000010,0.37272957,7
IshiharaSatomi,TomHolland,000003,000013,0.548387,6
IshiharaSatomi,TomHolland,000003,000016,0.45086038,6
IshiharaSatomi,TomHolland,000003,000021,0.38992643,7
IshiharaSatomi,TomHolland,000003,000022,0.4360774,6
IshiharaSatomi,TomHolland,000003,000024,0.40753248,6
IshiharaSatomi,TomHolland,000003,000026,0.4074495,7
IshiharaSatomi,TomHolland,000003,000027,0.3381289,7
IshiharaSatomi,TomHolland,000003,000029,0.5242104,6
IshiharaSatomi,TomHolland,000003,000030,0.5746483,6
IshiharaSatomi,TomHolland,000003,000034,0.4418145,6
IshiharaSatomi,TomHolland,000003,000035,0.3925736,7
IshiharaSatomi,TomHolland,000003,000038,0.5615533,6
IshiharaSatomi,TomHolland,000003,000040,0.4025415,7
IshiharaSatomi,TomHolland,000003,000041,0.38657838,7
IshiharaSatomi,TomHolland,000003,000042,0.3881311,7
IshiharaSatomi,TomHolland,000003,000044,0.47179627,6
IshiharaSatomi,TomHolland,000003,000046,0.44376585,7
IshiharaSatomi,TomHolland,000003,000047,0.47196853,6
IshiharaSatomi,TomHolland,000003,000049,0.48068964,6
IshiharaSatomi,TomHolland,000003,000050,0.46860176,7
IshiharaSatomi,TomHolland,000003,000055,0.3293691,7
IshiharaSatomi,TomHolland,000003,000058,0.4504694,6
IshiharaSatomi,TomHolland,000003,000060,0.43785048,6
IshiharaSatomi,TomHolland,000003,000062,0.40420938,7
IshiharaSatomi,TomHolland,000003,000063,0.48958996,7
IshiharaSatomi,TomHolland,000003,000065,0.4172461,6
IshiharaSatomi,TomHolland,000003,000069,0.39479548,7
IshiharaSatomi,TomHolland,000003,000073,0.36079067,7
IshiharaSatomi,TomHolland,000003,000075,0.36818412,7
IshiharaSatomi,TomHolland,000003,000076,0.39346722,7
IshiharaSatomi,TomHolland,000003,000079,0.46922806,7
IshiharaSatomi,TomHolland,000003,000083,0.40462875,7
IshiharaSatomi,TomHolland,000003,000091,0.40082428,7
IshiharaSatomi,TomHolland,000003,000092,0.5581236,6
IshiharaSatomi,TomHolland,000003,000096,0.445765,6
IshiharaSatomi,TomHolland,000003,000097,0.4403677,6
IshiharaSatomi,TomHolland,000003,000100,0.34494323,7
IshiharaSatomi,TomHolland,000003,105,0.39011618,7
IshiharaSatomi,TomHolland,000003,106,0.4528117,6
IshiharaSatomi,TomHolland,000003,107,0.47672474,6
IshiharaSatomi,TomHolland,000003,108,0.5093809,6
IshiharaSatomi,TomHolland,000003,110,0.43577754,6
IshiharaSatomi,TomHolland,000003,111,0.5015033,7
IshiharaSatomi,TomHolland,000003,113,0.44683602,7
IshiharaSatomi,TomHolland,000003,114,0.45700175,7
IshiharaSatomi,TomHolland,000004,000001,0.5285327,8
IshiharaSatomi,TomHolland,000004,000003,0.49765712,8
IshiharaSatomi,TomHolland,000004,000008,0.5205446,9
IshiharaSatomi,TomHolland,000004,000009,0.47519848,9
IshiharaSatomi,TomHolland,000004,000010,0.4564894,9
IshiharaSatomi,TomHolland,000004,000013,0.48657233,8
IshiharaSatomi,TomHolland,000004,000016,0.5313269,8
IshiharaSatomi,TomHolland,000004,000021,0.5108021,9
IshiharaSatomi,TomHolland,000004,000022,0.47209704,8
IshiharaSatomi,TomHolland,000004,000024,0.46859446,7
IshiharaSatomi,TomHolland,000004,000026,0.45491675,9
IshiharaSatomi,TomHolland,000004,000027,0.38347986,9
IshiharaSatomi,TomHolland,000004,000029,0.35472885,6
IshiharaSatomi,TomHolland,000004,000030,0.3816551,8
IshiharaSatomi,TomHolland,000004,000034,0.4315941,7
IshiharaSatomi,TomHolland,000004,000035,0.42832732,9
IshiharaSatomi,TomHolland,000004,000038,0.46679688,8
IshiharaSatomi,TomHolland,000004,000040,0.5226361,9
IshiharaSatomi,TomHolland,000004,000041,0.49204153,9
IshiharaSatomi,TomHolland,000004,000042,0.49343634,9
IshiharaSatomi,TomHolland,000004,000044,0.5671502,8
IshiharaSatomi,TomHolland,000004,000046,0.4036536,9
IshiharaSatomi,TomHolland,000004,000047,0.45553273,8
IshiharaSatomi,TomHolland,000004,000049,0.54584426,8
IshiharaSatomi,TomHolland,000004,000050,0.45296824,9
IshiharaSatomi,TomHolland,000004,000055,0.40030324,9
IshiharaSatomi,TomHolland,000004,000058,0.42046773,8
IshiharaSatomi,TomHolland,000004,000060,0.414466,7
IshiharaSatomi,TomHolland,000004,000062,0.4788573,9
IshiharaSatomi,TomHolland,000004,000063,0.51617116,9
IshiharaSatomi,TomHolland,000004,000065,0.5240501,8
IshiharaSatomi,TomHolland,000004,000069,0.5045332,9
IshiharaSatomi,TomHolland,000004,000073,0.44966045,9
IshiharaSatomi,TomHolland,000004,000075,0.52148134,9
IshiharaSatomi,TomHolland,000004,000076,0.5205343,9
IshiharaSatomi,TomHolland,000004,000079,0.4564318,9
IshiharaSatomi,TomHolland,000004,000083,0.45475844,9
IshiharaSatomi,TomHolland,000004,000091,0.46167183,9
IshiharaSatomi,TomHolland,000004,000092,0.60162187,8
IshiharaSatomi,TomHolland,000004,000096,0.52542937,8
IshiharaSatomi,TomHolland,000004,000097,0.5188204,8
IshiharaSatomi,TomHolland,000004,000100,0.40465274,9
IshiharaSatomi,TomHolland,000004,105,0.35723,9
IshiharaSatomi,TomHolland,000004,106,0.45309034,8
IshiharaSatomi,TomHolland,000004,107,0.48090076,8
IshiharaSatomi,TomHolland,000004,108,0.48554444,8
IshiharaSatomi,TomHolland,000004,110,0.4553762,8
IshiharaSatomi,TomHolland,000004,111,0.550054,9
IshiharaSatomi,TomHolland,000004,113,0.4916259,9
IshiharaSatomi,TomHolland,000004,114,0.42877513,9
IshiharaSatomi,TomHolland,000009,000001,0.3992642,6
IshiharaSatomi,TomHolland,000009,000003,0.49616897,6
IshiharaSatomi,TomHolland,000009,000008,0.35354337,6
IshiharaSatomi,TomHolland,000009,000009,0.43968096,6
IshiharaSatomi,TomHolland,000009,000010,0.49901068,6
IshiharaSatomi,TomHolland,000009,000013,0.523908,6
IshiharaSatomi,TomHolland,000009,000016,0.47587898,6
IshiharaSatomi,TomHolland,000009,000021,0.50431794,6
IshiharaSatomi,TomHolland,000009,000022,0.47909153,6
IshiharaSatomi,TomHolland,000009,000024,0.5579963,5
IshiharaSatomi,TomHolland,000009,000026,0.56109184,6
IshiharaSatomi,TomHolland,000009,000027,0.49110878,6
IshiharaSatomi,TomHolland,000009,000029,0.64288414,6
IshiharaSatomi,TomHolland,000009,000030,0.7014949,6
IshiharaSatomi,TomHolland,000009,000034,0.48508167,5
IshiharaSatomi,TomHolland,000009,000035,0.54986763,6
IshiharaSatomi,TomHolland,000009,000038,0.5092354,6
IshiharaSatomi,TomHolland,000009,000040,0.5319091,6
IshiharaSatomi,TomHolland,000009,000041,0.46672133,6
IshiharaSatomi,TomHolland,000009,000042,0.52987975,6
IshiharaSatomi,TomHolland,000009,000044,0.47301796,6
IshiharaSatomi,TomHolland,000009,000046,0.5165043,6
IshiharaSatomi,TomHolland,000009,000047,0.44992483,6
IshiharaSatomi,TomHolland,000009,000049,0.37872636,6
IshiharaSatomi,TomHolland,000009,000050,0.523197,6
IshiharaSatomi,TomHolland,000009,000055,0.42219976,6
IshiharaSatomi,TomHolland,000009,000058,0.47258154,6
IshiharaSatomi,TomHolland,000009,000060,0.54508984,5
IshiharaSatomi,TomHolland,000009,000062,0.50485617,6
IshiharaSatomi,TomHolland,000009,000063,0.38796428,6
IshiharaSatomi,TomHolland,000009,000065,0.4650317,6
IshiharaSatomi,TomHolland,000009,000069,0.5558009,6
IshiharaSatomi,TomHolland,000009,000073,0.49896422,6
IshiharaSatomi,TomHolland,000009,000075,0.51178485,6
IshiharaSatomi,TomHolland,000009,000076,0.44431555,6
IshiharaSatomi,TomHolland,000009,000079,0.5515437,6
IshiharaSatomi,TomHolland,000009,000083,0.51180935,6
IshiharaSatomi,TomHolland,000009,000091,0.52668715,6
IshiharaSatomi,TomHolland,000009,000092,0.455345,6
IshiharaSatomi,TomHolland,000009,000096,0.48414555,6
IshiharaSatomi,TomHolland,000009,000097,0.47007272,6
IshiharaSatomi,TomHolland,000009,000100,0.5042783,6
IshiharaSatomi,TomHolland,000009,105,0.43765914,6
IshiharaSatomi,TomHolland,000009,106,0.47803906,6
IshiharaSatomi,TomHolland,000009,107,0.5628825,6
IshiharaSatomi,TomHolland,000009,108,0.4390782,6
IshiharaSatomi,TomHolland,000009,110,0.47867528,6
IshiharaSatomi,TomHolland,000009,111,0.44079342,6
IshiharaSatomi,TomHolland,000009,113,0.50260836,6
IshiharaSatomi,TomHolland,000009,114,0.5456294,6
IshiharaSatomi,TomHolland,000010,000001,0.4520107,8
IshiharaSatomi,TomHolland,000010,000003,0.4874634,8
IshiharaSatomi,TomHolland,000010,000008,0.43468195,8
IshiharaSatomi,TomHolland,000010,000009,0.3788104,8
IshiharaSatomi,TomHolland,000010,000010,0.41227537,8
IshiharaSatomi,TomHolland,000010,000013,0.5169327,8
IshiharaSatomi,TomHolland,000010,000016,0.41764858,8
IshiharaSatomi,TomHolland,000010,000021,0.47862238,8
IshiharaSatomi,TomHolland,000010,000022,0.50928676,8
IshiharaSatomi,TomHolland,000010,000024,0.42990303,6
IshiharaSatomi,TomHolland,000010,000026,0.39587384,8
IshiharaSatomi,TomHolland,000010,000027,0.36015463,8
IshiharaSatomi,TomHolland,000010,000029,0.40804794,6
IshiharaSatomi,TomHolland,000010,000030,0.41340914,8
IshiharaSatomi,TomHolland,000010,000034,0.5392825,6
IshiharaSatomi,TomHolland,000010,000035,0.4495311,8
IshiharaSatomi,TomHolland,000010,000038,0.545303,8
IshiharaSatomi,TomHolland,000010,000040,0.46832645,8
IshiharaSatomi,TomHolland,000010,000041,0.38709903,8
IshiharaSatomi,TomHolland,000010,000042,0.45967454,8
IshiharaSatomi,TomHolland,000010,000044,0.4705655,8
IshiharaSatomi,TomHolland,000010,000046,0.42291343,8
IshiharaSatomi,TomHolland,000010,000047,0.5931242,8
IshiharaSatomi,TomHolland,000010,000049,0.40035668,8
IshiharaSatomi,TomHolland,000010,000050,0.42840853,8
IshiharaSatomi,TomHolland,000010,000055,0.31251583,8
IshiharaSatomi,TomHolland,000010,000058,0.5207681,8
IshiharaSatomi,TomHolland,000010,000060,0.42750195,6
IshiharaSatomi,TomHolland,000010,000062,0.46443218,8
IshiharaSatomi,TomHolland,000010,000063,0.46368092,8
IshiharaSatomi,TomHolland,000010,000065,0.5066108,8
IshiharaSatomi,TomHolland,000010,000069,0.45019642,8
IshiharaSatomi,TomHolland,000010,000073,0.38053104,8
IshiharaSatomi,TomHolland,000010,000075,0.4177134,8
IshiharaSatomi,TomHolland,000010,000076,0.4422645,8
IshiharaSatomi,TomHolland,000010,000079,0.44638887,8
IshiharaSatomi,TomHolland,000010,000083,0.42465407,8
IshiharaSatomi,TomHolland,000010,000091,0.40053022,8
IshiharaSatomi,TomHolland,000010,000092,0.43345135,8
IshiharaSatomi,TomHolland,000010,000096,0.511489,8
IshiharaSatomi,TomHolland,000010,000097,0.5033571,8
IshiharaSatomi,TomHolland,000010,000100,0.3301319,8
IshiharaSatomi,TomHolland,000010,105,0.4377948,8
IshiharaSatomi,TomHolland,000010,106,0.46500796,8
IshiharaSatomi,TomHolland,000010,107,0.51851094,8
IshiharaSatomi,TomHolland,000010,108,0.53024197,8
IshiharaSatomi,TomHolland,000010,110,0.4348334,8
IshiharaSatomi,TomHolland,000010,111,0.45156315,8
IshiharaSatomi,TomHolland,000010,113,0.47267377,8
IshiharaSatomi,TomHolland,000010,114,0.44411507,8
IshiharaSatomi,TomHolland,000011,000001,0.48428434,9
IshiharaSatomi,TomHolland,000011,000003,0.52728456,8
IshiharaSatomi,TomHolland,000011,000008,0.4629558,10
IshiharaSatomi,TomHolland,000011,000009,0.48506767,10
IshiharaSatomi,TomHolland,000011,000010,0.48731264,10
IshiharaSatomi,TomHolland,000011,000013,0.59953207,9
IshiharaSatomi,TomHolland,000011,000016,0.5031774,9
IshiharaSatomi,TomHolland,000011,000021,0.53707343,10
IshiharaSatomi,TomHolland,000011,000022,0.5165696,9
IshiharaSatomi,TomHolland,000011,000024,0.4702792,8
IshiharaSatomi,TomHolland,000011,000026,0.4945681,10
