celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
JKRowling,TaylorSwift,000005,000001,0.5528483,10
JKRowling,TaylorSwift,000005,000003,0.5621181,10
JKRowling,TaylorSwift,000005,000005,0.44133157,8
JKRowling,TaylorSwift,000005,000006,0.5363188,7
JKRowling,TaylorSwift,000005,000008,0.5138413,8
JKRowling,TaylorSwift,000005,000009,0.50508374,7
JKRowling,TaylorSwift,000005,000010,0.49280715,5
JKRowling,TaylorSwift,000005,000012,0.52404195,10
JKRowling,TaylorSwift,000005,000013,0.6016213,10
JKRowling,TaylorSwift,000005,000014,0.5143979,6
JKRowling,TaylorSwift,000005,000019,0.45665634,6
JKRowling,TaylorSwift,000005,000020,0.5776189,7
JKRowling,TaylorSwift,000005,000021,0.55260396,8
JKRowling,TaylorSwift,000005,000031,0.49688625,9
JKRowling,TaylorSwift,000005,000032,0.4936708,5
JKRowling,TaylorSwift,000005,000035,0.576949,8
JKRowling,TaylorSwift,000005,000036,0.55886745,8
JKRowling,TaylorSwift,000005,000037,0.5559602,7
JKRowling,TaylorSwift,000005,000038,0.5736732,9
JKRowling,TaylorSwift,000005,000039,0.47261965,8
JKRowling,TaylorSwift,000005,000046,0.48236,6
JKRowling,TaylorSwift,000005,000047,0.5469785,8
JKRowling,TaylorSwift,000005,000048,0.54410493,10
JKRowling,TaylorSwift,000005,000052,0.48433462,8
JKRowling,TaylorSwift,000005,000054,0.52061564,7
JKRowling,TaylorSwift,000005,000056,0.4777421,8
JKRowling,TaylorSwift,000005,000057,0.53692836,8
JKRowling,TaylorSwift,000005,000058,0.46992224,7
JKRowling,TaylorSwift,000005,000062,0.49662685,6
JKRowling,TaylorSwift,000005,000064,0.49827188,8
JKRowling,TaylorSwift,000005,000066,0.476424,6
JKRowling,TaylorSwift,000005,000069,0.43449748,6
JKRowling,TaylorSwift,000005,000070,0.4744982,8
JKRowling,TaylorSwift,000005,000080,0.50361794,7
JKRowling,TaylorSwift,000005,000091,0.46711543,6
JKRowling,TaylorSwift,000005,000096,0.599447,8
JKRowling,TaylorSwift,000005,000097,0.4990984,8
JKRowling,TaylorSwift,000005,000098,0.42571312,7
JKRowling,TaylorSwift,000005,000101,0.45475155,7
JKRowling,TaylorSwift,000005,000103,0.48093295,6
JKRowling,TaylorSwift,000005,108,0.5081882,6
JKRowling,TaylorSwift,000005,109,0.5147077,7
JKRowling,TaylorSwift,000005,111,0.43194774,7
JKRowling,TaylorSwift,000005,113,0.45859495,6
JKRowling,TaylorSwift,000005,114,0.49715143,5
JKRowling,TaylorSwift,000005,115,0.48005098,7
JKRowling,TaylorSwift,000005,116,0.58418155,9
JKRowling,TaylorSwift,000005,117,0.5260539,8
JKRowling,TaylorSwift,000005,118,0.585679,6
JKRowling,TaylorSwift,000005,200,0.49725989,6
JKRowling,TaylorSwift,000008,000001,0.58843535,9
JKRowling,TaylorSwift,000008,000003,0.5294106,9
JKRowling,TaylorSwift,000008,000005,0.4534292,8
JKRowling,TaylorSwift,000008,000006,0.58350986,6
JKRowling,TaylorSwift,000008,000008,0.554381,8
JKRowling,TaylorSwift,000008,000009,0.52723473,6
JKRowling,TaylorSwift,000008,000010,0.56668556,5
JKRowling,TaylorSwift,000008,000012,0.5307717,9
JKRowling,TaylorSwift,000008,000013,0.5525594,9
JKRowling,TaylorSwift,000008,000014,0.53379273,6
JKRowling,TaylorSwift,000008,000019,0.5295351,6
JKRowling,TaylorSwift,000008,000020,0.55215526,6
JKRowling,TaylorSwift,000008,000021,0.6313492,8
JKRowling,TaylorSwift,000008,000031,0.46350172,8
JKRowling,TaylorSwift,000008,000032,0.52323,5
JKRowling,TaylorSwift,000008,000035,0.57586646,8
JKRowling,TaylorSwift,000008,000036,0.57130903,8
JKRowling,TaylorSwift,000008,000037,0.5288474,6
JKRowling,TaylorSwift,000008,000038,0.60044396,8
JKRowling,TaylorSwift,000008,000039,0.49314255,8
JKRowling,TaylorSwift,000008,000046,0.5247526,6
JKRowling,TaylorSwift,000008,000047,0.5606324,8
JKRowling,TaylorSwift,000008,000048,0.5237321,9
JKRowling,TaylorSwift,000008,000052,0.4992273,8
JKRowling,TaylorSwift,000008,000054,0.52266204,7
JKRowling,TaylorSwift,000008,000056,0.49746323,8
JKRowling,TaylorSwift,000008,000057,0.53941834,7
JKRowling,TaylorSwift,000008,000058,0.509951,7
JKRowling,TaylorSwift,000008,000062,0.53697205,6
JKRowling,TaylorSwift,000008,000064,0.5370384,8
JKRowling,TaylorSwift,000008,000066,0.54512733,6
JKRowling,TaylorSwift,000008,000069,0.5029994,6
JKRowling,TaylorSwift,000008,000070,0.47253904,8
JKRowling,TaylorSwift,000008,000080,0.51776177,7
JKRowling,TaylorSwift,000008,000091,0.49918565,6
JKRowling,TaylorSwift,000008,000096,0.5671417,8
JKRowling,TaylorSwift,000008,000097,0.5412465,8
JKRowling,TaylorSwift,000008,000098,0.46501356,7
JKRowling,TaylorSwift,000008,000101,0.49644282,6
JKRowling,TaylorSwift,000008,000103,0.519109,6
JKRowling,TaylorSwift,000008,108,0.54476994,6
JKRowling,TaylorSwift,000008,109,0.5527397,6
JKRowling,TaylorSwift,000008,111,0.43946195,6
JKRowling,TaylorSwift,000008,113,0.500192,6
JKRowling,TaylorSwift,000008,114,0.5746857,5
JKRowling,TaylorSwift,000008,115,0.505665,6
JKRowling,TaylorSwift,000008,116,0.56977546,8
JKRowling,TaylorSwift,000008,117,0.590818,8
JKRowling,TaylorSwift,000008,118,0.596574,6
JKRowling,TaylorSwift,000008,200,0.526059,6
JKRowling,TaylorSwift,000009,000001,0.53129977,9
JKRowling,TaylorSwift,000009,000003,0.5456573,9
JKRowling,TaylorSwift,000009,000005,0.4524266,8
JKRowling,TaylorSwift,000009,000006,0.54121304,7
JKRowling,TaylorSwift,000009,000008,0.47768295,8
JKRowling,TaylorSwift,000009,000009,0.49138227,7
JKRowling,TaylorSwift,000009,000010,0.5251985,5
JKRowling,TaylorSwift,000009,000012,0.42939323,9
JKRowling,TaylorSwift,000009,000013,0.56466556,9
JKRowling,TaylorSwift,000009,000014,0.50696987,6
JKRowling,TaylorSwift,000009,000019,0.52652335,6
JKRowling,TaylorSwift,000009,000020,0.5398702,7
JKRowling,TaylorSwift,000009,000021,0.5225152,8
JKRowling,TaylorSwift,000009,000031,0.45788902,9
JKRowling,TaylorSwift,000009,000032,0.5154478,5
JKRowling,TaylorSwift,000009,000035,0.5018668,8
JKRowling,TaylorSwift,000009,000036,0.42626742,8
JKRowling,TaylorSwift,000009,000037,0.5205259,7
JKRowling,TaylorSwift,000009,000038,0.49791655,9
JKRowling,TaylorSwift,000009,000039,0.5059125,8
JKRowling,TaylorSwift,000009,000046,0.47186884,6
JKRowling,TaylorSwift,000009,000047,0.41848978,8
JKRowling,TaylorSwift,000009,000048,0.5359535,9
JKRowling,TaylorSwift,000009,000052,0.44266105,8
JKRowling,TaylorSwift,000009,000054,0.5396114,7
JKRowling,TaylorSwift,000009,000056,0.43822503,8
JKRowling,TaylorSwift,000009,000057,0.4964897,8
JKRowling,TaylorSwift,000009,000058,0.4618973,7
JKRowling,TaylorSwift,000009,000062,0.4783549,6
JKRowling,TaylorSwift,000009,000064,0.43298176,8
JKRowling,TaylorSwift,000009,000066,0.4823792,6
JKRowling,TaylorSwift,000009,000069,0.5051637,6
