celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
JKRowling,TomHolland,000005,000001,0.5432092,10
JKRowling,TomHolland,000005,000003,0.5805833,9
JKRowling,TomHolland,000005,000008,0.56030023,10
JKRowling,TomHolland,000005,000009,0.56474847,10
JKRowling,TomHolland,000005,000010,0.54676896,10
JKRowling,TomHolland,000005,000013,0.5537945,10
JKRowling,TomHolland,000005,000016,0.6017981,9
JKRowling,TomHolland,000005,000021,0.62255704,10
JKRowling,TomHolland,000005,000022,0.5312632,10
JKRowling,TomHolland,000005,000024,0.58917844,8
JKRowling,TomHolland,000005,000026,0.5771178,10
JKRowling,TomHolland,000005,000027,0.49119917,10
JKRowling,TomHolland,000005,000029,0.4672381,7
JKRowling,TomHolland,000005,000030,0.47003427,8
JKRowling,TomHolland,000005,000034,0.53266305,8
JKRowling,TomHolland,000005,000035,0.53396714,10
JKRowling,TomHolland,000005,000038,0.54075634,10
JKRowling,TomHolland,000005,000040,0.5623766,10
JKRowling,TomHolland,000005,000041,0.55895907,9
JKRowling,TomHolland,000005,000042,0.5638807,10
JKRowling,TomHolland,000005,000044,0.58306444,10
JKRowling,TomHolland,000005,000046,0.49218684,8
JKRowling,TomHolland,000005,000047,0.49387932,10
JKRowling,TomHolland,000005,000049,0.55245626,10
JKRowling,TomHolland,000005,000050,0.560741,9
JKRowling,TomHolland,000005,000055,0.48833662,10
JKRowling,TomHolland,000005,000058,0.45547813,8
JKRowling,TomHolland,000005,000060,0.51868653,8
JKRowling,TomHolland,000005,000062,0.59670407,10
JKRowling,TomHolland,000005,000063,0.55307066,10
JKRowling,TomHolland,000005,000065,0.55435723,9
JKRowling,TomHolland,000005,000069,0.58461905,9
JKRowling,TomHolland,000005,000073,0.5424202,10
JKRowling,TomHolland,000005,000075,0.62633955,10
JKRowling,TomHolland,000005,000076,0.5789958,9
JKRowling,TomHolland,000005,000079,0.5455307,9
JKRowling,TomHolland,000005,000083,0.57295316,10
JKRowling,TomHolland,000005,000091,0.5711258,9
JKRowling,TomHolland,000005,000092,0.5655692,10
JKRowling,TomHolland,000005,000096,0.5906453,9
JKRowling,TomHolland,000005,000097,0.5472788,10
JKRowling,TomHolland,000005,000100,0.48773736,10
JKRowling,TomHolland,000005,105,0.43792433,9
JKRowling,TomHolland,000005,106,0.49216294,10
JKRowling,TomHolland,000005,107,0.49715105,9
JKRowling,TomHolland,000005,108,0.55501187,10
JKRowling,TomHolland,000005,110,0.54079455,10
JKRowling,TomHolland,000005,111,0.61357117,10
JKRowling,TomHolland,000005,113,0.58124447,10
JKRowling,TomHolland,000005,114,0.5547229,10
JKRowling,TomHolland,000008,000001,0.47579765,9
JKRowling,TomHolland,000008,000003,0.55453944,9
JKRowling,TomHolland,000008,000008,0.4716004,9
JKRowling,TomHolland,000008,000009,0.54970753,9
JKRowling,TomHolland,000008,000010,0.51510215,9
JKRowling,TomHolland,000008,000013,0.5095802,9
JKRowling,TomHolland,000008,000016,0.49614102,8
JKRowling,TomHolland,000008,000021,0.5588685,9
JKRowling,TomHolland,000008,000022,0.47558656,9
JKRowling,TomHolland,000008,000024,0.58228916,7
JKRowling,TomHolland,000008,000026,0.5372474,9
JKRowling,TomHolland,000008,000027,0.4772964,9
JKRowling,TomHolland,000008,000029,0.48745131,6
JKRowling,TomHolland,000008,000030,0.5040032,8
JKRowling,TomHolland,000008,000034,0.5315626,7
JKRowling,TomHolland,000008,000035,0.49318537,9
JKRowling,TomHolland,000008,000038,0.52313936,9
JKRowling,TomHolland,000008,000040,0.54218435,9
JKRowling,TomHolland,000008,000041,0.5164292,9
JKRowling,TomHolland,000008,000042,0.56877106,9
JKRowling,TomHolland,000008,000044,0.5853502,9
JKRowling,TomHolland,000008,000046,0.51232445,8
JKRowling,TomHolland,000008,000047,0.4560311,9
JKRowling,TomHolland,000008,000049,0.4893134,9
JKRowling,TomHolland,000008,000050,0.52186424,8
JKRowling,TomHolland,000008,000055,0.48045337,9
JKRowling,TomHolland,000008,000058,0.4771548,8
JKRowling,TomHolland,000008,000060,0.5960097,7
JKRowling,TomHolland,000008,000062,0.521106,9
JKRowling,TomHolland,000008,000063,0.47837293,9
JKRowling,TomHolland,000008,000065,0.53154767,9
JKRowling,TomHolland,000008,000069,0.5696,8
JKRowling,TomHolland,000008,000073,0.55299187,9
JKRowling,TomHolland,000008,000075,0.6015344,9
JKRowling,TomHolland,000008,000076,0.54515773,9
JKRowling,TomHolland,000008,000079,0.5136559,9
JKRowling,TomHolland,000008,000083,0.55495983,9
JKRowling,TomHolland,000008,000091,0.5631659,9
JKRowling,TomHolland,000008,000092,0.5397656,9
JKRowling,TomHolland,000008,000096,0.5602723,9
JKRowling,TomHolland,000008,000097,0.51497036,9
JKRowling,TomHolland,000008,000100,0.51880145,9
JKRowling,TomHolland,000008,105,0.43777698,9
JKRowling,TomHolland,000008,106,0.5222259,9
JKRowling,TomHolland,000008,107,0.5478612,9
JKRowling,TomHolland,000008,108,0.5295966,9
JKRowling,TomHolland,000008,110,0.5006064,9
JKRowling,TomHolland,000008,111,0.5334848,9
JKRowling,TomHolland,000008,113,0.54982066,9
JKRowling,TomHolland,000008,114,0.5292979,9
JKRowling,TomHolland,000009,000001,0.46793875,9
JKRowling,TomHolland,000009,000003,0.52582765,8
JKRowling,TomHolland,000009,000008,0.4349697,9
JKRowling,TomHolland,000009,000009,0.54602027,9
JKRowling,TomHolland,000009,000010,0.5132361,9
JKRowling,TomHolland,000009,000013,0.53503704,9
JKRowling,TomHolland,000009,000016,0.56052,9
JKRowling,TomHolland,000009,000021,0.5992083,9
JKRowling,TomHolland,000009,000022,0.54340184,9
JKRowling,TomHolland,000009,000024,0.5515904,7
JKRowling,TomHolland,000009,000026,0.5567646,9
JKRowling,TomHolland,000009,000027,0.4712036,9
JKRowling,TomHolland,000009,000029,0.501434,7
JKRowling,TomHolland,000009,000030,0.47376773,8
JKRowling,TomHolland,000009,000034,0.49525777,7
JKRowling,TomHolland,000009,000035,0.5940262,9
JKRowling,TomHolland,000009,000038,0.5302905,9
JKRowling,TomHolland,000009,000040,0.5545931,9
JKRowling,TomHolland,000009,000041,0.47588307,8
JKRowling,TomHolland,000009,000042,0.570617,9
JKRowling,TomHolland,000009,000044,0.51961756,9
JKRowling,TomHolland,000009,000046,0.44923344,8
JKRowling,TomHolland,000009,000047,0.48392996,9
JKRowling,TomHolland,000009,000049,0.42914855,9
JKRowling,TomHolland,000009,000050,0.589336,9
JKRowling,TomHolland,000009,000055,0.40175557,9
JKRowling,TomHolland,000009,000058,0.48895115,8
JKRowling,TomHolland,000009,000060,0.49958828,7
JKRowling,TomHolland,000009,000062,0.6217304,9
JKRowling,TomHolland,000009,000063,0.46124566,9
JKRowling,TomHolland,000009,000065,0.5043957,8
JKRowling,TomHolland,000009,000069,0.5766691,9
JKRowling,TomHolland,000009,000073,0.50197184,9
JKRowling,TomHolland,000009,000075,0.5763799,9
JKRowling,TomHolland,000009,000076,0.5047118,8
JKRowling,TomHolland,000009,000079,0.62584853,8
