celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
Jennie,JKRowling,000001,000005,0.6721261,8
Jennie,JKRowling,000001,000008,0.6351791,8
Jennie,JKRowling,000001,000009,0.5244836,8
Jennie,JKRowling,000001,000010,0.58961916,8
Jennie,JKRowling,000001,000012,0.55260146,8
Jennie,JKRowling,000001,000014,0.63767296,8
Jennie,JKRowling,000001,000015,0.5426252,8
Jennie,JKRowling,000001,000017,0.53363943,8
Jennie,JKRowling,000001,000018,0.59223974,8
Jennie,JKRowling,000001,000021,0.61446047,8
Jennie,JKRowling,000001,000022,0.57990676,8
Jennie,JKRowling,000001,000027,0.5409156,8
Jennie,JKRowling,000001,000029,0.5668121,8
Jennie,JKRowling,000001,000030,0.5961937,8
Jennie,JKRowling,000001,000031,0.5260971,8
Jennie,JKRowling,000001,000032,0.53580165,9
Jennie,JKRowling,000001,000035,0.5383359,6
Jennie,JKRowling,000001,000036,0.5650015,8
Jennie,JKRowling,000001,000038,0.5700052,9
Jennie,JKRowling,000001,000041,0.6158563,8
Jennie,JKRowling,000001,000044,0.5709689,8
Jennie,JKRowling,000001,000045,0.6667026,8
Jennie,JKRowling,000001,000047,0.63335603,8
Jennie,JKRowling,000001,000049,0.56793314,8
Jennie,JKRowling,000001,000051,0.58497417,8
Jennie,JKRowling,000001,000053,0.64110553,8
Jennie,JKRowling,000001,000055,0.6243382,8
Jennie,JKRowling,000001,000057,0.5965481,8
Jennie,JKRowling,000001,000060,0.4680442,6
Jennie,JKRowling,000001,000063,0.6410767,8
Jennie,JKRowling,000001,000065,0.6128662,8
Jennie,JKRowling,000001,000068,0.5660051,8
Jennie,JKRowling,000001,000071,0.5804097,8
Jennie,JKRowling,000001,000075,0.58862203,6
Jennie,JKRowling,000001,000076,0.65275,8
Jennie,JKRowling,000001,000078,0.59408027,8
Jennie,JKRowling,000001,000079,0.5379302,6
Jennie,JKRowling,000001,000082,0.55607736,8
Jennie,JKRowling,000001,000085,0.5526068,6
Jennie,JKRowling,000001,000087,0.5914586,8
Jennie,JKRowling,000001,000090,0.5534375,8
Jennie,JKRowling,000001,000092,0.60234505,9
Jennie,JKRowling,000001,000094,0.62901956,8
Jennie,JKRowling,000001,000096,0.58467853,8
Jennie,JKRowling,000001,000097,0.59513086,8
Jennie,JKRowling,000001,000101,0.63744193,8
Jennie,JKRowling,000001,000102,0.54851675,8
Jennie,JKRowling,000001,106,0.5318223,8
Jennie,JKRowling,000001,110,0.5121034,7
Jennie,JKRowling,000001,111,0.4741706,6
Jennie,JKRowling,000003,000005,0.49173257,6
Jennie,JKRowling,000003,000008,0.49962345,6
Jennie,JKRowling,000003,000009,0.44233155,6
Jennie,JKRowling,000003,000010,0.43676165,6
Jennie,JKRowling,000003,000012,0.4537321,6
Jennie,JKRowling,000003,000014,0.5375311,6
Jennie,JKRowling,000003,000015,0.57873327,6
Jennie,JKRowling,000003,000017,0.4216036,6
Jennie,JKRowling,000003,000018,0.46128213,6
