celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
Jennie,TaylorSwift,000001,000001,0.49662432,9
Jennie,TaylorSwift,000001,000003,0.46604484,9
Jennie,TaylorSwift,000001,000005,0.4955857,9
Jennie,TaylorSwift,000001,000006,0.5698697,6
Jennie,TaylorSwift,000001,000008,0.5264491,9
Jennie,TaylorSwift,000001,000009,0.49080405,7
Jennie,TaylorSwift,000001,000010,0.5617596,5
Jennie,TaylorSwift,000001,000012,0.5068371,9
Jennie,TaylorSwift,000001,000013,0.5192903,9
Jennie,TaylorSwift,000001,000014,0.48892468,7
Jennie,TaylorSwift,000001,000019,0.45155767,7
Jennie,TaylorSwift,000001,000020,0.5721976,7
Jennie,TaylorSwift,000001,000021,0.5787227,9
Jennie,TaylorSwift,000001,000031,0.42382547,9
Jennie,TaylorSwift,000001,000032,0.46175483,6
Jennie,TaylorSwift,000001,000035,0.5823357,8
Jennie,TaylorSwift,000001,000036,0.56160665,8
Jennie,TaylorSwift,000001,000037,0.54609317,7
Jennie,TaylorSwift,000001,000038,0.54863465,9
Jennie,TaylorSwift,000001,000039,0.48130327,9
Jennie,TaylorSwift,000001,000046,0.48547027,7
Jennie,TaylorSwift,000001,000047,0.5564716,8
Jennie,TaylorSwift,000001,000048,0.5343904,9
Jennie,TaylorSwift,000001,000052,0.53588724,8
Jennie,TaylorSwift,000001,000054,0.5117966,8
Jennie,TaylorSwift,000001,000056,0.52459145,8
Jennie,TaylorSwift,000001,000057,0.551551,8
Jennie,TaylorSwift,000001,000058,0.5143164,8
Jennie,TaylorSwift,000001,000062,0.481174,7
Jennie,TaylorSwift,000001,000064,0.5160159,8
Jennie,TaylorSwift,000001,000066,0.49235797,7
Jennie,TaylorSwift,000001,000069,0.47728667,7
Jennie,TaylorSwift,000001,000070,0.49704665,8
Jennie,TaylorSwift,000001,000080,0.5308528,8
Jennie,TaylorSwift,000001,000091,0.39537364,7
Jennie,TaylorSwift,000001,000096,0.62450075,8
Jennie,TaylorSwift,000001,000097,0.5156276,9
Jennie,TaylorSwift,000001,000098,0.41744012,8
Jennie,TaylorSwift,000001,000101,0.45334724,7
Jennie,TaylorSwift,000001,000103,0.49781686,7
Jennie,TaylorSwift,000001,108,0.54368,6
Jennie,TaylorSwift,000001,109,0.562978,7
Jennie,TaylorSwift,000001,111,0.4237776,7
Jennie,TaylorSwift,000001,113,0.49980488,7
Jennie,TaylorSwift,000001,114,0.58086336,5
Jennie,TaylorSwift,000001,115,0.5293413,7
Jennie,TaylorSwift,000001,116,0.53138804,8
Jennie,TaylorSwift,000001,117,0.5308295,9
Jennie,TaylorSwift,000001,118,0.61154306,7
Jennie,TaylorSwift,000001,200,0.50419205,7
Jennie,TaylorSwift,000003,000001,0.4278397,7
Jennie,TaylorSwift,000003,000003,0.46239927,7
Jennie,TaylorSwift,000003,000005,0.4612935,7
Jennie,TaylorSwift,000003,000006,0.6708703,6
Jennie,TaylorSwift,000003,000008,0.49667054,7
Jennie,TaylorSwift,000003,000009,0.5923543,7
Jennie,TaylorSwift,000003,000010,0.7023035,5
Jennie,TaylorSwift,000003,000012,0.42772168,7
Jennie,TaylorSwift,000003,000013,0.47876194,7
Jennie,TaylorSwift,000003,000014,0.6053702,7
Jennie,TaylorSwift,000003,000019,0.57298034,7
Jennie,TaylorSwift,000003,000020,0.6659314,7
Jennie,TaylorSwift,000003,000021,0.46584883,7
Jennie,TaylorSwift,000003,000031,0.4982298,7
Jennie,TaylorSwift,000003,000032,0.64965755,6
Jennie,TaylorSwift,000003,000035,0.5372502,6
Jennie,TaylorSwift,000003,000036,0.5345519,6
Jennie,TaylorSwift,000003,000037,0.66477567,7
Jennie,TaylorSwift,000003,000038,0.47445932,7
Jennie,TaylorSwift,000003,000039,0.4761985,7
Jennie,TaylorSwift,000003,000046,0.6240942,7
Jennie,TaylorSwift,000003,000047,0.5304806,6
Jennie,TaylorSwift,000003,000048,0.51408833,7
Jennie,TaylorSwift,000003,000052,0.62249357,6
Jennie,TaylorSwift,000003,000054,0.67466205,7
Jennie,TaylorSwift,000003,000056,0.5298176,6
Jennie,TaylorSwift,000003,000057,0.53099644,7
Jennie,TaylorSwift,000003,000058,0.588048,7
Jennie,TaylorSwift,000003,000062,0.64418846,7
Jennie,TaylorSwift,000003,000064,0.46533385,6
Jennie,TaylorSwift,000003,000066,0.6389164,7
Jennie,TaylorSwift,000003,000069,0.6144164,7
Jennie,TaylorSwift,000003,000070,0.7076785,6
Jennie,TaylorSwift,000003,000080,0.68809384,7
Jennie,TaylorSwift,000003,000091,0.5373969,7
Jennie,TaylorSwift,000003,000096,0.5885212,6
Jennie,TaylorSwift,000003,000097,0.4481399,7
Jennie,TaylorSwift,000003,000098,0.56859,7
Jennie,TaylorSwift,000003,000101,0.6018907,7
Jennie,TaylorSwift,000003,000103,0.64171135,7
Jennie,TaylorSwift,000003,108,0.7385214,6
Jennie,TaylorSwift,000003,109,0.71447045,7
Jennie,TaylorSwift,000003,111,0.4018081,6
Jennie,TaylorSwift,000003,113,0.67954063,7
Jennie,TaylorSwift,000003,114,0.7247365,5
Jennie,TaylorSwift,000003,115,0.6461989,7
Jennie,TaylorSwift,000003,116,0.49220067,7
Jennie,TaylorSwift,000003,117,0.4716997,7
Jennie,TaylorSwift,000003,118,0.5259052,6
Jennie,TaylorSwift,000003,200,0.68405396,7
Jennie,TaylorSwift,000004,000001,0.47394213,7
Jennie,TaylorSwift,000004,000003,0.43511602,7
Jennie,TaylorSwift,000004,000005,0.50137645,6
Jennie,TaylorSwift,000004,000006,0.40801874,7
Jennie,TaylorSwift,000004,000008,0.53962386,6
Jennie,TaylorSwift,000004,000009,0.47738716,7
Jennie,TaylorSwift,000004,000010,0.55248,5
Jennie,TaylorSwift,000004,000012,0.47660753,7
Jennie,TaylorSwift,000004,000013,0.4464657,7
Jennie,TaylorSwift,000004,000014,0.4649347,6
Jennie,TaylorSwift,000004,000019,0.43734622,6
