celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
Jennie,TomHolland,000001,000001,0.5335843,8
Jennie,TomHolland,000001,000003,0.55972457,8
Jennie,TomHolland,000001,000008,0.48353767,9
Jennie,TomHolland,000001,000009,0.5327278,9
Jennie,TomHolland,000001,000010,0.5555282,9
Jennie,TomHolland,000001,000013,0.60799736,8
Jennie,TomHolland,000001,000016,0.5669189,8
Jennie,TomHolland,000001,000021,0.58081836,9
Jennie,TomHolland,000001,000022,0.54946125,8
Jennie,TomHolland,000001,000024,0.5324715,7
Jennie,TomHolland,000001,000026,0.58697116,9
Jennie,TomHolland,000001,000027,0.52905107,9
Jennie,TomHolland,000001,000029,0.47502068,6
Jennie,TomHolland,000001,000030,0.50086766,8
Jennie,TomHolland,000001,000034,0.4913347,7
Jennie,TomHolland,000001,000035,0.5622037,9
Jennie,TomHolland,000001,000038,0.5985668,8
Jennie,TomHolland,000001,000040,0.5287933,9
Jennie,TomHolland,000001,000041,0.51865315,9
Jennie,TomHolland,000001,000042,0.5773485,9
Jennie,TomHolland,000001,000044,0.6175355,8
Jennie,TomHolland,000001,000046,0.58040106,9
Jennie,TomHolland,000001,000047,0.5223814,8
Jennie,TomHolland,000001,000049,0.50020134,8
Jennie,TomHolland,000001,000050,0.55376923,9
Jennie,TomHolland,000001,000055,0.5042236,9
Jennie,TomHolland,000001,000058,0.5061654,8
Jennie,TomHolland,000001,000060,0.5094538,7
Jennie,TomHolland,000001,000062,0.56007916,9
Jennie,TomHolland,000001,000063,0.49959362,9
Jennie,TomHolland,000001,000065,0.5809436,8
Jennie,TomHolland,000001,000069,0.53030545,9
Jennie,TomHolland,000001,000073,0.5509725,9
Jennie,TomHolland,000001,000075,0.5763784,9
Jennie,TomHolland,000001,000076,0.51924556,9
Jennie,TomHolland,000001,000079,0.5573014,9
Jennie,TomHolland,000001,000083,0.6048847,9
Jennie,TomHolland,000001,000091,0.5936803,9
Jennie,TomHolland,000001,000092,0.56415963,8
Jennie,TomHolland,000001,000096,0.6138779,8
Jennie,TomHolland,000001,000097,0.5624885,8
Jennie,TomHolland,000001,000100,0.5176985,9
Jennie,TomHolland,000001,105,0.48813117,9
Jennie,TomHolland,000001,106,0.55013037,8
Jennie,TomHolland,000001,107,0.565892,8
Jennie,TomHolland,000001,108,0.5667356,8
Jennie,TomHolland,000001,110,0.6029302,8
Jennie,TomHolland,000001,111,0.57374674,9
Jennie,TomHolland,000001,113,0.5692214,9
Jennie,TomHolland,000001,114,0.47845384,9
Jennie,TomHolland,000003,000001,0.47718337,6
Jennie,TomHolland,000003,000003,0.49545896,6
Jennie,TomHolland,000003,000008,0.4010542,7
Jennie,TomHolland,000003,000009,0.36979958,7
Jennie,TomHolland,000003,000010,0.3705038,7
Jennie,TomHolland,000003,000013,0.51581043,6
Jennie,TomHolland,000003,000016,0.45316604,6
Jennie,TomHolland,000003,000021,0.36978763,7
Jennie,TomHolland,000003,000022,0.4344957,6
Jennie,TomHolland,000003,000024,0.4592303,6
Jennie,TomHolland,000003,000026,0.426023,7
Jennie,TomHolland,000003,000027,0.341209,7
Jennie,TomHolland,000003,000029,0.5962893,6
Jennie,TomHolland,000003,000030,0.6306271,6
Jennie,TomHolland,000003,000034,0.44254938,6
Jennie,TomHolland,000003,000035,0.41042128,7
Jennie,TomHolland,000003,000038,0.5346338,6
Jennie,TomHolland,000003,000040,0.42201266,7
Jennie,TomHolland,000003,000041,0.35469392,7
Jennie,TomHolland,000003,000042,0.399901,7
Jennie,TomHolland,000003,000044,0.4692794,6
Jennie,TomHolland,000003,000046,0.55076736,7
Jennie,TomHolland,000003,000047,0.4891095,6
Jennie,TomHolland,000003,000049,0.40590563,6
Jennie,TomHolland,000003,000050,0.44390148,7
Jennie,TomHolland,000003,000055,0.37631223,7
Jennie,TomHolland,000003,000058,0.48799744,6
Jennie,TomHolland,000003,000060,0.5006037,6
Jennie,TomHolland,000003,000062,0.4030077,7
Jennie,TomHolland,000003,000063,0.42532057,7
Jennie,TomHolland,000003,000065,0.47079453,6
Jennie,TomHolland,000003,000069,0.37094903,7
Jennie,TomHolland,000003,000073,0.40445045,7
Jennie,TomHolland,000003,000075,0.40406683,7
Jennie,TomHolland,000003,000076,0.3576497,7
