celeb1,celeb2,image_id1,image_id2,cosine_similarity,num_features_compared
Obama,TomHolland,000001,000001,0.36401993,8
Obama,TomHolland,000001,000003,0.49391764,8
Obama,TomHolland,000001,000008,0.35379976,8
Obama,TomHolland,000001,000009,0.4367664,8
Obama,TomHolland,000001,000010,0.45357686,8
Obama,TomHolland,000001,000013,0.45079964,8
Obama,TomHolland,000001,000016,0.42570627,8
Obama,TomHolland,000001,000021,0.42174244,8
Obama,TomHolland,000001,000022,0.46083617,8
Obama,TomHolland,000001,000024,0.46370134,6
Obama,TomHolland,000001,000026,0.4478178,8
Obama,TomHolland,000001,000027,0.43872786,8
Obama,TomHolland,000001,000029,0.6826641,6
Obama,TomHolland,000001,000030,0.60130024,8
Obama,TomHolland,000001,000034,0.4318483,6
Obama,TomHolland,000001,000035,0.4231609,8
Obama,TomHolland,000001,000038,0.46646643,8
Obama,TomHolland,000001,000040,0.38661903,8
Obama,TomHolland,000001,000041,0.33660436,8
Obama,TomHolland,000001,000042,0.44037396,8
Obama,TomHolland,000001,000044,0.41880947,8
Obama,TomHolland,000001,000046,0.53078187,8
Obama,TomHolland,000001,000047,0.45596766,8
Obama,TomHolland,000001,000049,0.33004755,8
Obama,TomHolland,000001,000050,0.4356723,8
Obama,TomHolland,000001,000055,0.4772925,8
Obama,TomHolland,000001,000058,0.49262083,8
Obama,TomHolland,000001,000060,0.44834828,6
Obama,TomHolland,000001,000062,0.46743485,8
Obama,TomHolland,000001,000063,0.39452535,8
Obama,TomHolland,000001,000065,0.42605233,8
Obama,TomHolland,000001,000069,0.43947816,8
Obama,TomHolland,000001,000073,0.39218187,8
Obama,TomHolland,000001,000075,0.48298702,8
Obama,TomHolland,000001,000076,0.39701158,8
Obama,TomHolland,000001,000079,0.4423173,8
Obama,TomHolland,000001,000083,0.518317,8
Obama,TomHolland,000001,000091,0.4698583,8
Obama,TomHolland,000001,000092,0.40859818,8
Obama,TomHolland,000001,000096,0.44690013,8
Obama,TomHolland,000001,000097,0.44634697,8
