folder1_image,folder2_image,similarity
1_001,2_001,0.7910407781600952
1_002,2_002,0.8191792964935303
1_003,2_003,0.7551369667053223
1_004,2_004,0.7444485425949097
1_005,2_005,0.6633569002151489
1_006,2_006,0.8489663600921631
1_007,2_007,0.5150863528251648
1_008,2_008,0.6297251582145691
1_009,2_009,0.7732158899307251
1_010,2_010,0.7801576256752014
1_011,2_011,0.6957566738128662
1_012,2_012,0.5762200951576233
1_013,2_013,0.6970553994178772
1_014,2_014,0.6465384364128113
1_015,2_015,0.4577853679656982
1_016,2_016,0.8347786068916321
1_017,2_017,0.6374099254608154
1_018,2_018,0.7433332204818726
1_019,2_019,0.5650784373283386
1_020,2_020,0.7144997715950012
1_021,2_021,0.766616940498352
1_022,2_022,0.5911909341812134
1_023,2_023,0.6958967447280884
1_024,2_024,0.8129148483276367
1_025,2_025,0.6792880296707153
