folder1_image,folder2_image,similarity
1_001,2_002,0.7462727483966758
1_001,2_003,0.3598854775498251
1_001,2_004,0.31318287332755346
1_001,2_005,0.7830541281198427
1_001,2_006,0.41321483569459316
1_001,2_007,0.6900611581879355
1_001,2_008,0.576147943120869
1_001,2_009,0.6571279549076116
1_001,2_010,0.4762836261784677
1_001,2_011,0.31825639503502473
1_001,2_012,0.5434340803448631
1_001,2_013,0.23955493312858028
1_001,2_014,0.31177454599060694
1_001,2_015,0.07701145588086057
1_001,2_016,0.841346478338803
1_001,2_017,0.17492920848024068
1_001,2_018,0.2573837860564091
1_001,2_019,0.17608276236822962
1_001,2_020,0.3037926141481236
1_001,2_021,0.6106444267646978
1_001,2_022,0.8588268191693552
1_001,2_023,0.45023578443151774
1_001,2_024,0.5755958238043943
1_001,2_025,0.6335662366345578
1_002,2_001,0.9147113157025788
1_002,2_003,0.30304270496157076
1_002,2_004,0.42220607760938683
1_002,2_005,0.7796365677243555
1_002,2_006,0.5536838528567646
1_002,2_007,0.7258012324186323
1_002,2_008,0.5494629694328051
1_002,2_009,0.711764101204687
1_002,2_010,0.5646671402076991
1_002,2_011,0.21526961595249341
1_002,2_012,0.6298525202838734
1_002,2_013,0.28435711516335016
1_002,2_014,0.339273816342983
1_002,2_015,0.1325942435347271
1_002,2_016,0.6875263805213997
1_002,2_017,0.2558953379565834
1_002,2_018,0.30739209891608904
1_002,2_019,0.17418458779288784
1_002,2_020,0.31673211735311935
1_002,2_021,0.5361218047135732
1_002,2_022,0.8963834928752347
1_002,2_023,0.573864501378811
1_002,2_024,0.5151863551432142
1_002,2_025,0.6826959975646462
1_003,2_001,0.4189479654647781
1_003,2_002,0.42941007121955765
1_003,2_004,0.4510941078516695
1_003,2_005,0.3794395711291574
1_003,2_006,0.653226761260289
1_003,2_007,0.5244917339104849
1_003,2_008,0.6453954194325242
1_003,2_009,0.5200630124679674
1_003,2_010,0.6613295353094912
1_003,2_011,0.24810709739729817
1_003,2_012,0.33627576614653176
1_003,2_013,0.4415711073423209
1_003,2_014,0.35853466264167805
1_003,2_015,0.5214853543277937
1_003,2_016,0.4852162979646219
1_003,2_017,0.4538188748519633
1_003,2_018,0.44584051274643993
1_003,2_019,0.3484504201547349
1_003,2_020,0.4550193641703518
1_003,2_021,0.316872130369438
1_003,2_022,0.4266994509546237
1_003,2_023,0.23330934778592022
1_003,2_024,0.4077790517919253
