folder1_image,folder2_image,similarity
1_001,2_002,0.0808963924646377
1_001,2_003,-0.0335090234875679
1_001,2_004,-0.0632229372859001
1_001,2_005,0.0371109135448932
1_001,2_006,0.0272530633956193
1_001,2_007,0.0570970363914966
1_001,2_008,0.0763048157095909
1_001,2_009,0.0293583646416664
1_001,2_010,0.0487773865461349
1_001,2_011,0.096278928220272
1_001,2_012,0.1738070845603943
1_001,2_013,0.08272535353899
1_001,2_014,0.0890258252620697
1_001,2_015,0.0598585084080696
1_001,2_016,0.0687460601329803
1_001,2_017,-0.0325139015913009
1_001,2_018,-0.0761900916695594
1_001,2_019,0.0446423776447773
1_001,2_020,0.0682212561368942
1_001,2_021,-0.0475789830088615
1_001,2_022,0.0720610618591308
1_001,2_023,0.0742242708802223
1_001,2_024,0.1889557242393493
1_001,2_025,0.1429292410612106
1_002,2_001,0.1048179119825363
1_002,2_003,0.0419460944831371
1_002,2_004,-0.0066846646368503
1_002,2_005,0.0669258534908294
1_002,2_006,0.0566028952598571
1_002,2_007,0.0129374079406261
1_002,2_008,0.0245944615453481
1_002,2_009,-0.0109484251588583
1_002,2_010,0.0947619751095771
1_002,2_011,0.0739939883351326
1_002,2_012,0.0791815668344497
1_002,2_013,0.1264546513557434
1_002,2_014,-0.0119168180972337
1_002,2_015,0.0003242716193199
1_002,2_016,-0.0223361980170011
1_002,2_017,0.0511658824980258
1_002,2_018,0.0429717749357223
1_002,2_019,0.1160489171743393
1_002,2_020,0.0381369851529598
1_002,2_021,0.0307691693305969
1_002,2_022,0.0831262171268463
1_002,2_023,-0.0085511021316051
1_002,2_024,-0.0612170659005641
1_002,2_025,0.078299656510353
1_003,2_001,-0.0038947165012359
1_003,2_002,0.0653952360153198
1_003,2_004,-0.0340558998286724
1_003,2_005,0.0393579043447971
1_003,2_006,-0.0222834609448909
1_003,2_007,-0.0503357723355293
1_003,2_008,-0.0211209673434495
1_003,2_009,-0.0743085592985153
1_003,2_010,0.0889018401503562
1_003,2_011,0.0584876835346221
1_003,2_012,0.0155690684914588
1_003,2_013,-0.0486835911870002
1_003,2_014,-0.0861349552869796
1_003,2_015,0.1174451187252998
1_003,2_016,-0.0251170843839645
1_003,2_017,0.0703600347042083
1_003,2_018,0.0959284007549285
1_003,2_019,0.0461390540003776
1_003,2_020,0.0503236949443817
1_003,2_021,0.0073357811197638
1_003,2_022,-0.0212445706129074
1_003,2_023,0.0456276722252368
1_003,2_024,0.0246207695454359
1_003,2_025,-0.0526156164705753
1_004,2_001,-0.0063767805695533
1_004,2_002,0.0411016009747982
1_004,2_003,-0.0114787947386503
1_004,2_005,-0.0686495006084442
1_004,2_006,0.0693499520421028
1_004,2_007,-0.0204594060778617
1_004,2_008,-0.0691733658313751
1_004,2_009,0.0177529361099004
1_004,2_010,-0.0502119548618793
1_004,2_011,0.0310875810682773
1_004,2_012,0.031169319525361
1_004,2_013,-0.0493076629936695
1_004,2_014,-0.0130539443343877
1_004,2_015,-0.0683997496962547
1_004,2_016,-0.0200544632971286
1_004,2_017,-0.003408636432141
1_004,2_018,0.009582420811057
1_004,2_019,-0.0051224855706095
1_004,2_020,0.1172332316637039
1_004,2_021,-0.050122071057558
1_004,2_022,0.0185800921171903
1_004,2_023,-0.0173841286450624
1_004,2_024,0.0026756580919027
1_004,2_025,0.0937581434845924
1_005,2_001,0.1145302578806877
1_005,2_002,-0.0317241325974464
1_005,2_003,0.0971685945987701
1_005,2_004,-0.0501900911331176
1_005,2_006,0.1464544087648391
1_005,2_007,-0.1271644085645675
1_005,2_008,0.1923021078109741
1_005,2_009,0.0404840931296348
1_005,2_010,0.1149312332272529
1_005,2_011,0.0133457593619823
1_005,2_012,0.0800070986151695
1_005,2_013,0.0349716059863567
1_005,2_014,0.0522713102400302
1_005,2_015,-0.0098743624985218
1_005,2_016,0.0966364294290542
1_005,2_017,-0.0443894565105438
1_005,2_018,-0.0548660233616828
1_005,2_019,0.0145702585577964
1_005,2_020,-0.0518688298761844
1_005,2_021,-0.0270949229598045
1_005,2_022,0.1447164863348007
1_005,2_023,-0.0170715227723121
1_005,2_024,0.1561986804008484
1_005,2_025,-0.0183177143335342
1_006,2_001,0.0795040130615234
1_006,2_002,0.0604617446660995
1_006,2_003,0.0307852327823638
1_006,2_004,0.0413900166749954
1_006,2_005,0.1652178466320037
1_006,2_007,0.0447692424058914
1_006,2_008,0.0513973757624626
1_006,2_009,0.0778768658638
1_006,2_010,0.055563498288393
1_006,2_011,0.0092046353965997
1_006,2_012,-0.0005324110388755
1_006,2_013,-0.029792595654726
1_006,2_014,0.0727101191878318
1_006,2_015,-0.0835112780332565
1_006,2_016,0.0002183020114898
1_006,2_017,-0.0105491885915398
1_006,2_018,-0.021241633221507
1_006,2_019,-0.036097414791584
1_006,2_020,0.055930521339178
1_006,2_021,0.0952769368886947
1_006,2_022,0.1541524678468704
1_006,2_023,0.0087249912321567
1_006,2_024,0.2201917767524719
1_006,2_025,0.1233550086617469
1_007,2_001,0.0915961489081382
1_007,2_002,-0.0361252650618553
1_007,2_003,0.00946781411767
