folder1_image,folder2_image,similarity
1_001,2_002,0.45400027039459595
1_001,2_003,0.2244573377182462
1_001,2_004,0.16483936545886615
1_001,2_005,0.36614912142385636
1_001,2_006,0.34637033897448666
1_001,2_007,0.4062492619010843
1_001,2_008,0.44478773456148196
1_001,2_009,0.3505944136667784
1_001,2_010,0.3895567232791149
1_001,2_011,0.484863777510572
1_001,2_012,0.640416206765641
1_001,2_013,0.4576698963931859
1_001,2_014,0.47031115768770637
1_001,2_015,0.41178987708885345
1_001,2_016,0.42962185357588467
1_001,2_017,0.22645394947424036
1_001,2_018,0.1388220775453672
1_001,2_019,0.3812602448129472
1_001,2_020,0.4285688872688333
1_001,2_021,0.19622738248164712
1_001,2_022,0.4362730703186798
1_001,2_023,0.44061333112329687
1_001,2_024,0.6708104249853216
1_001,2_025,0.5784629269096857
1_002,2_001,0.501996387523412
1_002,2_003,0.37585042449021605
1_002,2_004,0.2782777093021302
1_002,2_005,0.42596979246287897
1_002,2_006,0.4052578175400942
1_002,2_007,0.31764741961815024
1_002,2_008,0.341036122403962
1_002,2_009,0.26972290368995333
1_002,2_010,0.4818201640342058
1_002,2_011,0.440151292413817
1_002,2_012,0.4505596456575086
1_002,2_013,0.5454083236449908
1_002,2_014,0.26777992089313696
1_002,2_015,0.2923404332544213
1_002,2_016,0.24687448557308497
1_002,2_017,0.3943489995967997
1_002,2_018,0.37790834890852826
1_002,2_019,0.5245302671231922
1_002,2_020,0.36820783065620544
1_002,2_021,0.35342505103683036
1_002,2_022,0.45847418876688034
1_002,2_023,0.2745328906444008
1_002,2_024,0.1688639441602272
1_002,2_025,0.44879018150700656
1_003,2_001,0.2838754589517743
1_003,2_002,0.42289876281616257
1_003,2_004,0.2233600854762642
1_003,2_005,0.37065748192072473
1_003,2_006,0.24698029719128664
1_003,2_007,0.19069616263906075
1_003,2_008,0.24931272339918426
1_003,2_009,0.14259718255049542
1_003,2_010,0.47006239406131645
1_003,2_011,0.409039455187776
1_003,2_012,0.3229275811875917
1_003,2_013,0.1940110975395587
1_003,2_014,0.11886871134491891
1_003,2_015,0.5273316047692057
1_003,2_016,0.24129491744862544
1_003,2_017,0.43286013083104097
1_003,2_018,0.48416047949177754
1_003,2_019,0.38426317502453233
1_003,2_020,0.39265923518033397
1_003,2_021,0.3064083201619113
1_003,2_022,0.24906472590078255
1_003,2_023,0.3832371390505703
1_003,2_024,0.34108890675374776
1_003,2_025,0.18612188523752532
1_004,2_001,0.27889544764208085
1_004,2_002,0.37415603340814324
1_004,2_003,0.268658770600322
1_004,2_005,0.1539515132619818
1_004,2_006,0.43083350180674646
1_004,2_007,0.25064007937953
1_004,2_008,0.15290043050861862
1_004,2_009,0.32730929138497794
1_004,2_010,0.1909445899165777
1_004,2_011,0.3540639120859984
1_004,2_012,0.3542279120592101
1_004,2_013,0.1927589603788202
1_004,2_014,0.26549839174412715
1_004,2_015,0.15445261328723342
1_004,2_016,0.2514525562424647
1_004,2_017,0.28485072960349045
1_004,2_018,0.3109159761947513
1_004,2_019,0.28141206409858777
1_004,2_020,0.5269064747427109
1_004,2_021,0.19112493270780215
1_004,2_022,0.32896889651917466
1_004,2_023,0.256810313496882
1_004,2_024,0.2970582531432772
1_004,2_025,0.47980607708566037
1_005,2_001,0.5214832303627418
1_005,2_002,0.228038541335363
1_005,2_003,0.4866488034022599
1_005,2_004,0.19098845728402206
1_005,2_006,0.5855358204972138
1_005,2_007,0.03654724996078915
1_005,2_008,0.6775246062371219
1_005,2_009,0.37291706617438325
1_005,2_010,0.5222877469690181
1_005,2_011,0.3184667355748338
1_005,2_012,0.452215991944848
1_005,2_013,0.3618568164940941
1_005,2_014,0.39656692891115564
1_005,2_015,0.2718779021301915
1_005,2_016,0.4855810676424789
1_005,2_017,0.20262684583029342
1_005,2_018,0.18160667069806954
1_005,2_019,0.3209235697563941
1_005,2_020,0.18762023724763893
1_005,2_021,0.2373265837532312
1_005,2_022,0.5820488543598616
1_005,2_023,0.257437525663419
1_005,2_024,0.6050867191107808
1_005,2_025,0.2549371679377066
1_006,2_001,0.4512066015028844
1_006,2_002,0.41300020982190117
1_006,2_003,0.3534572807332726
1_006,2_004,0.3747347104323221
1_006,2_005,0.623182766835128
1_006,2_007,0.38151478616553125
1_006,2_008,0.3948134674925839
1_006,2_009,0.44794189470073814
1_006,2_010,0.40317237230956016
1_006,2_011,0.31015798784922477
1_006,2_012,0.29062158587207976
1_006,2_013,0.23191397547206483
1_006,2_014,0.43757533841031754
1_006,2_015,0.12413285523359137
1_006,2_016,0.29212781592023807
1_006,2_017,0.270523931610976
1_006,2_018,0.24907061948047765
1_006,2_019,0.21926399153010745
1_006,2_020,0.403908767057447
1_006,2_021,0.48285338292520885
1_006,2_022,0.6009811999217637
1_006,2_023,0.3091956301913204
1_006,2_024,0.7334824151128694
1_006,2_025,0.5391892030875688
1_007,2_001,0.4754682529417668
1_007,2_002,0.21920811277069124
1_007,2_003,0.31068602941919493
1_007,2_004,0.0950933605808808
1_007,2_005,0.2566135755667089
1_007,2_006,0.3341736187736366
1_007,2_008,0.46457681302357173
1_007,2_009,0.33705220828133364
1_007,2_010,0.11246080190235332
1_007,2_011,0.16503869327536047
1_007,2_012,0.16649902291399862
1_007,2_013,0.44116764901465905
1_007,2_014,0.3743831511159575
1_007,2_015,0.11952758141481429
1_007,2_016,0.48129021275007977
1_007,2_017,0.3371225313562357
1_007,2_018,0.4470013436614262
1_007,2_019,0.2420725672543772
1_007,2_020,0.20134202303352952
1_007,2_021,0.38574785632156783
1_007,2_022,0.3772306208784929
1_007,2_023,0.28746053431813906
1_007,2_024,0.5926605865553611
1_007,2_025,0.31917228713107676
1_008,2_001,0.6022290990867036
1_008,2_002,0.5056395092308181
1_008,2_003,0.37911445112019704
1_008,2_004,0.3042511653516769
1_008,2_005,0.5318979368629214
1_008,2_006,0.19699422801415975
1_008,2_007,0.3216986932083896
1_008,2_009,0.1932541630871671
1_008,2_010,0.35156740368627576
1_008,2_011,0.33085406841916065
1_008,2_012,0.08444901001913034
1_008,2_013,0.24417410490987437
1_008,2_014,0.3473468830804077
1_008,2_015,0.2669739505122878
1_008,2_016,0.23867920327114073
1_008,2_017,0.5483691504521095
1_008,2_018,0.3399370464036471
1_008,2_019,0.5806100884211854
1_008,2_020,0.37652030437988393
1_008,2_021,0.2388956886173621
1_008,2_022,0.3184669411213672
1_008,2_023,0.17810476319634158
1_008,2_024,0.458684503979889
1_008,2_025,0.21927678773611614
1_009,2_001,0.37201853632092435
1_009,2_002,0.5731020042386534
1_009,2_003,0.21771628592871178
1_009,2_004,0.06023396905961088
1_009,2_005,0.3124652794532934
1_009,2_006,0.4417107552769249
1_009,2_007,0.2875897259202161
1_009,2_008,0.2744170950704889
1_009,2_010,0.3578292405505548
1_009,2_011,0.41510889302234233
1_009,2_012,0.25346211743006497
1_009,2_013,0.3494290320919876
1_009,2_014,0.3466330872395694
1_009,2_015,0.356236710856032
1_009,2_016,0.23857699806029856
1_009,2_017,0.48170773381762777
1_009,2_018,0.23551540860528117
1_009,2_019,0.3669507155321483
1_009,2_020,0.19054483554393775
1_009,2_021,0.1463040311576852
1_009,2_022,0.29867934446292305
1_009,2_023,0.23330391102881676
1_009,2_024,0.05422800399456878
1_009,2_025,0.3541455290086102
1_010,2_001,0.35383289273125845
1_010,2_002,0.5761942014411039
1_010,2_003,0.49541405502978486
1_010,2_004,0.2727649531440607
1_010,2_005,0.37155035363869976
1_010,2_006,0.5228561167688478
1_010,2_007,0.1445642703498691
